Year,Attribute,Value
1835,"Closed Anocracy (e.g. Egypt, Rwanda)",6.694064776
1835,Dictatorship / Monarchy,46.66393668
1836,% of the world population living in a Democracy,1.34199629
1836,Colony,35.92472845
1836,Country in Transition or no Data,9.368107262
1836,"Open Anocracy (e.g. Russia, Singapore)",0.445015654
1836,"Closed Anocracy (e.g. Egypt, Rwanda)",7.561304059
1836,Dictatorship / Monarchy,45.35884829
1837,% of the world population living in a Democracy,1.370498696
1837,Colony,35.93080508
1837,Country in Transition or no Data,9.457303485
1837,"Open Anocracy (e.g. Russia, Singapore)",2.153590576
1837,"Closed Anocracy (e.g. Egypt, Rwanda)",5.874469717
1837,Dictatorship / Monarchy,45.21333245
1838,% of the world population living in a Democracy,1.398746602
1838,Colony,35.93792568
1838,Country in Transition or no Data,9.517361019
1838,"Open Anocracy (e.g. Russia, Singapore)",2.377250549
1838,"Closed Anocracy (e.g. Egypt, Rwanda)",5.916127383
1838,Dictatorship / Monarchy,44.85258877
1839,% of the world population living in a Democracy,1.4265744
1839,Colony,35.9451523
1839,Country in Transition or no Data,9.524913805
1839,"Open Anocracy (e.g. Russia, Singapore)",2.389878428
1839,"Closed Anocracy (e.g. Egypt, Rwanda)",6.009928787
1839,Dictatorship / Monarchy,44.70355228
1840,% of the world population living in a Democracy,1.455411835
1840,Colony,35.95279443
1840,Country in Transition or no Data,9.612550659
1840,"Open Anocracy (e.g. Russia, Singapore)",2.402445492
1840,"Closed Anocracy (e.g. Egypt, Rwanda)",6.021415866
1840,Dictatorship / Monarchy,44.55538172
1841,% of the world population living in a Democracy,1.498652101
1841,Colony,35.96254718
1841,Country in Transition or no Data,9.788508517
1841,"Open Anocracy (e.g. Russia, Singapore)",2.421068273
1841,"Closed Anocracy (e.g. Egypt, Rwanda)",5.944224141
1841,Dictatorship / Monarchy,44.38499979
1842,% of the world population living in a Democracy,1.541320034
1842,Colony,35.96980442
1842,Country in Transition or no Data,9.77688723
1842,"Open Anocracy (e.g. Russia, Singapore)",2.127639388
1842,"Closed Anocracy (e.g. Egypt, Rwanda)",6.368378824
1842,Dictatorship / Monarchy,44.21597011
1843,% of the world population living in a Democracy,1.583505518
1843,Colony,35.97630959
1843,Country in Transition or no Data,9.876110136
1843,"Open Anocracy (e.g. Russia, Singapore)",2.139381561
1843,"Closed Anocracy (e.g. Egypt, Rwanda)",6.3777009
1843,Dictatorship / Monarchy,44.0469923
1844,% of the world population living in a Democracy,1.625214863
1844,Colony,35.97408708
1844,Country in Transition or no Data,9.968917936
1844,"Open Anocracy (e.g. Russia, Singapore)",2.153179479
1844,"Closed Anocracy (e.g. Egypt, Rwanda)",6.397865526
1844,Dictatorship / Monarchy,43.88073512
1845,% of the world population living in a Democracy,1.666535959
1845,Colony,35.98191107
1845,Country in Transition or no Data,10.06222277
1845,"Open Anocracy (e.g. Russia, Singapore)",2.166374838
1845,"Closed Anocracy (e.g. Egypt, Rwanda)",6.407396487
1845,Dictatorship / Monarchy,43.71555888
1846,% of the world population living in a Democracy,1.707311628
1846,Colony,35.98881016
1846,Country in Transition or no Data,10.7669341
1846,"Open Anocracy (e.g. Russia, Singapore)",2.179029369
1846,"Closed Anocracy (e.g. Egypt, Rwanda)",6.153783735
1846,Dictatorship / Monarchy,43.20413101
1847,% of the world population living in a Democracy,1.747630843
1847,Colony,35.98046428
1847,Country in Transition or no Data,10.86510627
1847,"Open Anocracy (e.g. Russia, Singapore)",2.207912604
1847,"Closed Anocracy (e.g. Egypt, Rwanda)",6.160754464
1847,Dictatorship / Monarchy,43.03813154
1848,% of the world population living in a Democracy,4.863176082
1848,Colony,35.9577077
1848,Country in Transition or no Data,10.22035007
1848,"Open Anocracy (e.g. Russia, Singapore)",2.198922128
1848,"Closed Anocracy (e.g. Egypt, Rwanda)",4.132469272
1848,Dictatorship / Monarchy,42.62737475
1849,% of the world population living in a Democracy,4.898450182
1849,Colony,35.94774789
1849,Country in Transition or no Data,10.35045287
1849,"Open Anocracy (e.g. Russia, Singapore)",2.312350794
1849,"Closed Anocracy (e.g. Egypt, Rwanda)",4.143237702
1849,Dictatorship / Monarchy,42.34776057
1850,% of the world population living in a Democracy,4.934632197
1850,Colony,35.93845633
1850,Country in Transition or no Data,10.47465034
1850,"Open Anocracy (e.g. Russia, Singapore)",2.308438897
1850,"Closed Anocracy (e.g. Egypt, Rwanda)",4.155894389
1850,Dictatorship / Monarchy,42.18792785
1851,% of the world population living in a Democracy,2.111853495
1851,Colony,35.93810975
1851,Country in Transition or no Data,10.85626489
1851,"Open Anocracy (e.g. Russia, Singapore)",2.303261486
1851,"Closed Anocracy (e.g. Egypt, Rwanda)",7.041422884
1851,Dictatorship / Monarchy,41.74908749
1852,% of the world population living in a Democracy,2.166240781
1852,Colony,35.95238246
1852,Country in Transition or no Data,11.22772364
1852,"Open Anocracy (e.g. Russia, Singapore)",2.316544571
1852,"Closed Anocracy (e.g. Egypt, Rwanda)",4.151125748
1852,Dictatorship / Monarchy,44.1859828
1853,% of the world population living in a Democracy,2.581343328
1853,Colony,35.97055092
1853,Country in Transition or no Data,11.55416033
1853,"Open Anocracy (e.g. Russia, Singapore)",2.330480264
1853,"Closed Anocracy (e.g. Egypt, Rwanda)",3.808571855
1853,Dictatorship / Monarchy,43.7548933
1854,% of the world population living in a Democracy,2.627777176
1854,Colony,35.9912941
1854,Country in Transition or no Data,11.85835389
1854,"Open Anocracy (e.g. Russia, Singapore)",2.34514106
1854,"Closed Anocracy (e.g. Egypt, Rwanda)",3.846750859
1854,Dictatorship / Monarchy,43.33068291
1855,% of the world population living in a Democracy,2.681436483
1855,Colony,36.01566427
1855,Country in Transition or no Data,11.82827116
1855,"Open Anocracy (e.g. Russia, Singapore)",2.734202795
1855,"Closed Anocracy (e.g. Egypt, Rwanda)",3.806090967
1855,Dictatorship / Monarchy,42.93433432
1856,% of the world population living in a Democracy,2.734572657
1856,Colony,36.04107725
1856,Country in Transition or no Data,12.13548782
1856,"Open Anocracy (e.g. Russia, Singapore)",2.754595195
1856,"Closed Anocracy (e.g. Egypt, Rwanda)",3.818081846
1856,Dictatorship / Monarchy,42.51618523
1857,% of the world population living in a Democracy,2.7960235
1857,Colony,36.05834585
1857,Country in Transition or no Data,12.44159355
1857,"Open Anocracy (e.g. Russia, Singapore)",2.769900624
1857,"Closed Anocracy (e.g. Egypt, Rwanda)",3.829418878
1857,Dictatorship / Monarchy,42.1047176
1858,% of the world population living in a Democracy,2.848041876
1858,Colony,36.08542383
1858,Country in Transition or no Data,12.70886497
1858,"Open Anocracy (e.g. Russia, Singapore)",2.557671715
1858,"Closed Anocracy (e.g. Egypt, Rwanda)",3.871064854
1858,Dictatorship / Monarchy,41.92893275
1859,% of the world population living in a Democracy,2.899555101
1859,Colony,35.46684673
1859,Country in Transition or no Data,13.00302146
1859,"Open Anocracy (e.g. Russia, Singapore)",2.572757968
1859,"Closed Anocracy (e.g. Egypt, Rwanda)",3.346893012
1859,Dictatorship / Monarchy,42.71092572
1860,% of the world population living in a Democracy,2.950564695
1860,Colony,35.49089582
1860,Country in Transition or no Data,13.29049728
1860,"Open Anocracy (e.g. Russia, Singapore)",2.420485116
1860,"Closed Anocracy (e.g. Egypt, Rwanda)",3.758532867
1860,Dictatorship / Monarchy,42.08902422
1861,% of the world population living in a Democracy,3.002692725
1861,Colony,33.54473769
1861,Country in Transition or no Data,13.4668349
1861,"Open Anocracy (e.g. Russia, Singapore)",2.435304181
1861,"Closed Anocracy (e.g. Egypt, Rwanda)",6.059831064
1861,Dictatorship / Monarchy,41.49059945
1862,% of the world population living in a Democracy,3.05427905
1862,Colony,33.56148106
1862,Country in Transition or no Data,13.64018271
1862,"Open Anocracy (e.g. Russia, Singapore)",2.451408659
1862,"Closed Anocracy (e.g. Egypt, Rwanda)",8.569112421
1862,Dictatorship / Monarchy,38.7235361
1863,% of the world population living in a Democracy,3.105403555
1863,Colony,33.57713788
1863,Country in Transition or no Data,14.44842492
1863,"Open Anocracy (e.g. Russia, Singapore)",2.720633229
1863,"Closed Anocracy (e.g. Egypt, Rwanda)",7.69194142
1863,Dictatorship / Monarchy,38.456459
1864,% of the world population living in a Democracy,3.411014334
1864,Colony,33.5929617
1864,Country in Transition or no Data,13.97383741
1864,"Open Anocracy (e.g. Russia, Singapore)",2.480806363
1864,"Closed Anocracy (e.g. Egypt, Rwanda)",8.242469142
1864,Dictatorship / Monarchy,38.29891105
1865,% of the world population living in a Democracy,3.462125165
1865,Colony,33.61072543
1865,Country in Transition or no Data,14.13462856
1865,"Open Anocracy (e.g. Russia, Singapore)",2.496425093
1865,"Closed Anocracy (e.g. Egypt, Rwanda)",8.260142873
1865,Dictatorship / Monarchy,38.03595288
1866,% of the world population living in a Democracy,3.512624935
1866,Colony,33.62550985
1866,Country in Transition or no Data,14.30349317
1866,"Open Anocracy (e.g. Russia, Singapore)",2.378864736
1866,"Closed Anocracy (e.g. Egypt, Rwanda)",7.759987326
1866,Dictatorship / Monarchy,38.41951998
1867,% of the world population living in a Democracy,3.732633814
1867,Colony,32.95442249
1867,Country in Transition or no Data,14.45661864
1867,"Open Anocracy (e.g. Russia, Singapore)",2.658561383
1867,"Closed Anocracy (e.g. Egypt, Rwanda)",8.03633433
1867,Dictatorship / Monarchy,38.16142935
1868,% of the world population living in a Democracy,3.782813018
1868,Colony,32.96542943
1868,Country in Transition or no Data,11.83975125
1868,"Open Anocracy (e.g. Russia, Singapore)",5.143502943
1868,"Closed Anocracy (e.g. Egypt, Rwanda)",6.738065434
1868,Dictatorship / Monarchy,39.53043792
1869,% of the world population living in a Democracy,3.830099701
1869,Colony,32.9774888
1869,Country in Transition or no Data,11.96831354
1869,"Open Anocracy (e.g. Russia, Singapore)",5.1567073
1869,"Closed Anocracy (e.g. Egypt, Rwanda)",12.34221084
1869,Dictatorship / Monarchy,33.72517982
1870,% of the world population living in a Democracy,3.882831655
1870,Colony,33.08947508
1870,Country in Transition or no Data,12.05775957
1870,"Open Anocracy (e.g. Russia, Singapore)",5.169768377
1870,"Closed Anocracy (e.g. Egypt, Rwanda)",12.34761908
1870,Dictatorship / Monarchy,33.45254624
1871,% of the world population living in a Democracy,3.935082857
1871,Colony,33.14023326
1871,Country in Transition or no Data,12.01718174
1871,"Open Anocracy (e.g. Russia, Singapore)",6.343254444
1871,"Closed Anocracy (e.g. Egypt, Rwanda)",11.14619042
1871,Dictatorship / Monarchy,33.41805729
1872,% of the world population living in a Democracy,3.998905979
1872,Colony,33.20309808
1872,Country in Transition or no Data,11.90725397
1872,"Open Anocracy (e.g. Russia, Singapore)",9.020496588
1872,"Closed Anocracy (e.g. Egypt, Rwanda)",8.593319001
1872,Dictatorship / Monarchy,33.27692638
1873,% of the world population living in a Democracy,4.062103997
1873,Colony,33.25750461
1873,Country in Transition or no Data,11.77451541
1873,"Open Anocracy (e.g. Russia, Singapore)",7.890604434
1873,"Closed Anocracy (e.g. Egypt, Rwanda)",9.896971686
1873,Dictatorship / Monarchy,33.11829987
1874,% of the world population living in a Democracy,4.125863789
1874,Colony,33.30704437
1874,Country in Transition or no Data,11.64322328
1874,"Open Anocracy (e.g. Russia, Singapore)",8.05256779
1874,"Closed Anocracy (e.g. Egypt, Rwanda)",9.787646713
1874,Dictatorship / Monarchy,33.08365406
1875,% of the world population living in a Democracy,4.199563675
1875,Colony,33.34552587
1875,Country in Transition or no Data,11.52197351
1875,"Open Anocracy (e.g. Russia, Singapore)",8.063871556
1875,"Closed Anocracy (e.g. Egypt, Rwanda)",9.82017768
1875,Dictatorship / Monarchy,33.04888771
1876,% of the world population living in a Democracy,6.891621541
1876,Colony,33.3827219
1876,Country in Transition or no Data,11.381461
1876,"Open Anocracy (e.g. Russia, Singapore)",5.46128169
1876,"Closed Anocracy (e.g. Egypt, Rwanda)",9.921128464
1876,Dictatorship / Monarchy,32.96178541
1877,% of the world population living in a Democracy,6.981032404
1877,Colony,33.43074129
1877,Country in Transition or no Data,11.23132899
1877,"Open Anocracy (e.g. Russia, Singapore)",5.461994685
1877,"Closed Anocracy (e.g. Egypt, Rwanda)",9.11898852
1877,Dictatorship / Monarchy,33.77591411
1878,% of the world population living in a Democracy,7.039977835
1878,Colony,33.48899605
1878,Country in Transition or no Data,11.08425103
1878,"Open Anocracy (e.g. Russia, Singapore)",5.491249427
1878,"Closed Anocracy (e.g. Egypt, Rwanda)",9.150494421
1878,Dictatorship / Monarchy,33.74503124
1879,% of the world population living in a Democracy,7.096258281
1879,Colony,33.32785851
1879,Country in Transition or no Data,10.94768868
1879,"Open Anocracy (e.g. Russia, Singapore)",6.740968752
1879,"Closed Anocracy (e.g. Egypt, Rwanda)",8.172886944
1879,Dictatorship / Monarchy,33.71433883
1880,% of the world population living in a Democracy,9.249204654
1880,Colony,33.38433742
1880,Country in Transition or no Data,10.80909304
1880,"Open Anocracy (e.g. Russia, Singapore)",4.956075689
1880,"Closed Anocracy (e.g. Egypt, Rwanda)",8.336025464
1880,Dictatorship / Monarchy,33.26526373
1881,% of the world population living in a Democracy,9.333201954
1881,Colony,33.42449713
1881,Country in Transition or no Data,10.86907541
1881,"Open Anocracy (e.g. Russia, Singapore)",4.976609408
1881,"Closed Anocracy (e.g. Egypt, Rwanda)",7.947684848
1881,Dictatorship / Monarchy,33.44893125
1882,% of the world population living in a Democracy,9.412229463
1882,Colony,33.45606702
1882,Country in Transition or no Data,10.74184503
1882,"Open Anocracy (e.g. Russia, Singapore)",4.995749612
1882,"Closed Anocracy (e.g. Egypt, Rwanda)",7.964300498
1882,Dictatorship / Monarchy,33.42980838
1883,% of the world population living in a Democracy,9.489230508
1883,Colony,33.57796312
1883,Country in Transition or no Data,10.31914904
1883,"Open Anocracy (e.g. Russia, Singapore)",5.018451798
1883,"Closed Anocracy (e.g. Egypt, Rwanda)",8.392807949
1883,Dictatorship / Monarchy,33.20239759
1884,% of the world population living in a Democracy,9.567611621
1884,Colony,33.82333027
1884,Country in Transition or no Data,9.966002819
1884,"Open Anocracy (e.g. Russia, Singapore)",5.007141089
1884,"Closed Anocracy (e.g. Egypt, Rwanda)",8.455435241
1884,Dictatorship / Monarchy,33.18047896
1885,% of the world population living in a Democracy,9.641305704
1885,Colony,33.88314278
1885,Country in Transition or no Data,9.812239777
1885,"Open Anocracy (e.g. Russia, Singapore)",5.02461072
1885,"Closed Anocracy (e.g. Egypt, Rwanda)",8.480639861
1885,Dictatorship / Monarchy,33.15806116
1886,% of the world population living in a Democracy,9.506968018
1886,Colony,34.19125607
1886,Country in Transition or no Data,9.417013548
1886,"Open Anocracy (e.g. Russia, Singapore)",5.244577274
1886,"Closed Anocracy (e.g. Egypt, Rwanda)",8.505088358
1886,Dictatorship / Monarchy,33.13509673
1887,% of the world population living in a Democracy,9.569373195
1887,Colony,34.24070779
1887,Country in Transition or no Data,9.281910205
1887,"Open Anocracy (e.g. Russia, Singapore)",5.260394039
1887,"Closed Anocracy (e.g. Egypt, Rwanda)",8.536135365
1887,Dictatorship / Monarchy,33.11147941
1888,% of the world population living in a Democracy,9.943140083
1888,Colony,34.28670199
1888,Country in Transition or no Data,9.140641317
1888,"Open Anocracy (e.g. Russia, Singapore)",4.972423699
1888,"Closed Anocracy (e.g. Egypt, Rwanda)",8.569729556
1888,Dictatorship / Monarchy,33.08736336
1889,% of the world population living in a Democracy,10.00832617
1889,Colony,34.32467326
1889,Country in Transition or no Data,9.001945368
1889,"Open Anocracy (e.g. Russia, Singapore)",4.99783406
1889,"Closed Anocracy (e.g. Egypt, Rwanda)",9.504714115
1889,Dictatorship / Monarchy,32.16250703
1890,% of the world population living in a Democracy,10.0810882
1890,Colony,34.58817165
1890,Country in Transition or no Data,8.648574831
1890,"Open Anocracy (e.g. Russia, Singapore)",8.064310959
1890,"Closed Anocracy (e.g. Egypt, Rwanda)",6.492654029
1890,Dictatorship / Monarchy,32.12520032
1891,% of the world population living in a Democracy,10.14099339
1891,Colony,34.61135758
1891,Country in Transition or no Data,8.49107292
1891,"Open Anocracy (e.g. Russia, Singapore)",8.095872317
1891,"Closed Anocracy (e.g. Egypt, Rwanda)",6.522380998
1891,Dictatorship / Monarchy,32.1383228
1892,% of the world population living in a Democracy,10.20482888
1892,Colony,34.65185712
1892,Country in Transition or no Data,8.312984881
1892,"Open Anocracy (e.g. Russia, Singapore)",8.125892635
1892,"Closed Anocracy (e.g. Egypt, Rwanda)",6.553834827
1892,Dictatorship / Monarchy,32.15060165
1893,% of the world population living in a Democracy,10.26915026
1893,Colony,34.65431318
1893,Country in Transition or no Data,8.173708911
1893,"Open Anocracy (e.g. Russia, Singapore)",8.155330645
1893,"Closed Anocracy (e.g. Egypt, Rwanda)",6.585761942
1893,Dictatorship / Monarchy,32.16173506
1894,% of the world population living in a Democracy,10.33365302
1894,Colony,34.69582195
1894,Country in Transition or no Data,7.987266348
1894,"Open Anocracy (e.g. Russia, Singapore)",8.221984334
1894,"Closed Anocracy (e.g. Egypt, Rwanda)",6.359818531
1894,Dictatorship / Monarchy,32.40145582
1895,% of the world population living in a Democracy,10.39644211
1895,Colony,34.73848623
1895,Country in Transition or no Data,7.79293726
1895,"Open Anocracy (e.g. Russia, Singapore)",8.267786175
1895,"Closed Anocracy (e.g. Egypt, Rwanda)",6.38986993
1895,Dictatorship / Monarchy,32.41447829
1896,% of the world population living in a Democracy,10.46069977
1896,Colony,34.7719741
1896,Country in Transition or no Data,7.608760808
1896,"Open Anocracy (e.g. Russia, Singapore)",8.235315317
1896,"Closed Anocracy (e.g. Egypt, Rwanda)",6.503793309
1896,Dictatorship / Monarchy,32.41945669
1897,% of the world population living in a Democracy,10.5279424
1897,Colony,34.81743315
1897,Country in Transition or no Data,7.399842871
1897,"Open Anocracy (e.g. Russia, Singapore)",8.2914562
1897,"Closed Anocracy (e.g. Egypt, Rwanda)",6.538160877
1897,Dictatorship / Monarchy,32.4251645
1898,% of the world population living in a Democracy,10.72585231
1898,Colony,34.86291013
1898,Country in Transition or no Data,7.191429783
1898,"Open Anocracy (e.g. Russia, Singapore)",8.434685753
1898,"Closed Anocracy (e.g. Egypt, Rwanda)",6.355431098
1898,Dictatorship / Monarchy,32.42969093
1899,% of the world population living in a Democracy,10.78703341
1899,Colony,34.90614805
1899,Country in Transition or no Data,6.993086422
1899,"Open Anocracy (e.g. Russia, Singapore)",8.493171059
1899,"Closed Anocracy (e.g. Egypt, Rwanda)",6.387634795
1899,Dictatorship / Monarchy,32.43292626
1900,% of the world population living in a Democracy,11.97066329
1900,Colony,34.94640101
1900,Country in Transition or no Data,6.807580614
1900,"Open Anocracy (e.g. Russia, Singapore)",7.33916813
1900,"Closed Anocracy (e.g. Egypt, Rwanda)",6.417745765
1900,Dictatorship / Monarchy,32.51844119
1901,% of the world population living in a Democracy,12.26755619
1901,Colony,34.7553512
1901,Country in Transition or no Data,6.590594856
1901,"Open Anocracy (e.g. Russia, Singapore)",7.403657789
1901,"Closed Anocracy (e.g. Egypt, Rwanda)",6.451822879
1901,Dictatorship / Monarchy,32.53101709
1902,% of the world population living in a Democracy,12.34624929
1902,Colony,34.67099824
1902,Country in Transition or no Data,6.370011761
1902,"Open Anocracy (e.g. Russia, Singapore)",7.579613369
1902,"Closed Anocracy (e.g. Egypt, Rwanda)",6.490275962
1902,Dictatorship / Monarchy,32.54285138
1903,% of the world population living in a Democracy,12.41864139
1903,Colony,34.67618604
1903,Country in Transition or no Data,6.156480204
1903,"Open Anocracy (e.g. Russia, Singapore)",7.914606521
1903,"Closed Anocracy (e.g. Egypt, Rwanda)",6.230874995
1903,Dictatorship / Monarchy,32.60321085
1904,% of the world population living in a Democracy,12.49552194
1904,Colony,34.69938534
1904,Country in Transition or no Data,5.940546844
1904,"Open Anocracy (e.g. Russia, Singapore)",8.106232982
1904,"Closed Anocracy (e.g. Egypt, Rwanda)",6.141882023
1904,Dictatorship / Monarchy,32.61643087
1905,% of the world population living in a Democracy,12.57060244
1905,Colony,34.73065753
1905,Country in Transition or no Data,5.722937807
1905,"Open Anocracy (e.g. Russia, Singapore)",8.166614933
1905,"Closed Anocracy (e.g. Egypt, Rwanda)",6.178424604
1905,Dictatorship / Monarchy,32.63076268
1906,% of the world population living in a Democracy,12.65224012
1906,Colony,34.75828927
1906,Country in Transition or no Data,5.503510103
1906,"Open Anocracy (e.g. Russia, Singapore)",8.224240875
1906,"Closed Anocracy (e.g. Egypt, Rwanda)",6.830096951
1906,Dictatorship / Monarchy,32.03162268
1907,% of the world population living in a Democracy,12.73344502
1907,Colony,34.78386717
1907,Country in Transition or no Data,5.302073596
1907,"Open Anocracy (e.g. Russia, Singapore)",8.287765959
1907,"Closed Anocracy (e.g. Egypt, Rwanda)",6.501444883
1907,Dictatorship / Monarchy,32.39140337
1908,% of the world population living in a Democracy,12.82366811
1908,Colony,34.81633403
1908,Country in Transition or no Data,5.015144413
1908,"Open Anocracy (e.g. Russia, Singapore)",8.725652332
1908,"Closed Anocracy (e.g. Egypt, Rwanda)",7.382178618
1908,Dictatorship / Monarchy,31.2370225
1909,% of the world population living in a Democracy,12.91531471
1909,Colony,34.85436112
1909,Country in Transition or no Data,4.746120661
1909,"Open Anocracy (e.g. Russia, Singapore)",8.800082005
1909,"Closed Anocracy (e.g. Egypt, Rwanda)",7.224485301
1909,Dictatorship / Monarchy,31.4596362
1910,% of the world population living in a Democracy,13.01606226
1910,Colony,34.56771531
1910,Country in Transition or no Data,4.460243192
1910,"Open Anocracy (e.g. Russia, Singapore)",9.583500669
1910,"Closed Anocracy (e.g. Egypt, Rwanda)",7.569500273
1910,Dictatorship / Monarchy,30.80297829
1911,% of the world population living in a Democracy,13.59290493
1911,Colony,35.18677945
1911,Country in Transition or no Data,3.46688205
1911,"Open Anocracy (e.g. Russia, Singapore)",9.175319035
1911,"Closed Anocracy (e.g. Egypt, Rwanda)",32.77803121
1911,Dictatorship / Monarchy,5.800083315
1912,% of the world population living in a Democracy,13.65887505
1912,Colony,35.2230574
1912,Country in Transition or no Data,3.121793785
1912,"Open Anocracy (e.g. Russia, Singapore)",33.65843196
1912,"Closed Anocracy (e.g. Egypt, Rwanda)",8.511976082
1912,Dictatorship / Monarchy,5.825865722
1913,% of the world population living in a Democracy,13.75753102
1913,Colony,35.49481682
