date,Temperature
October,10.83333333
October,18.33333333
October,9.444444444
November,9.444444444
November,16.66666667
November,18.05555556
November,12.22222222
November,11.66666667
November,11.11111111
November,8.333333333
November,11.94444444
November,12.22222222
November,8.888888889
November,11.11111111
November,6.388888889
November,10.55555556
November,12.22222222
November,10.83333333
November,11.66666667
November,12.77777778
November,12.22222222
November,10
November,3.333333333
November,3.611111111
November,3.888888889
November,4.444444444
November,6.111111111
November,9.722222222
November,7.222222222
November,6.944444444
November,7.222222222
November,13.05555556
November,12.22222222
December,8.888888889
December,7.5
December,6.666666667
December,6.111111111
December,6.388888889
December,5.277777778
December,6.111111111
December,4.444444444
December,1.111111111
December,-0.277777778
December,-0.277777778
December,4.444444444
December,3.888888889
December,3.333333333
December,-3.055555556
December,-5.555555556
December,-0.277777778
December,6.944444444
December,-2.777777778
December,-3.055555556
December,1.666666667
December,6.111111111
December,5.833333333
December,5.833333333
December,6.111111111
December,5.277777778
December,10
December,2.777777778
December,4.166666667
December,2.5
December,3.055555556
