date,Attribute,Value
1/1/2002 0:00,Other,304
1/1/2002 0:00,Transportation and Utilities,368
1/1/2002 0:00,Information,263
1/1/2002 0:00,Agriculture,195
1/1/2002 0:00,Mining and Extraction,33
2/1/2002 0:00,Wholesale and Retail Trade,1264
2/1/2002 0:00,Manufacturing,1296
2/1/2002 0:00,Leisure and hospitality,973
2/1/2002 0:00,Business services,973
2/1/2002 0:00,Construction,1060
2/1/2002 0:00,Education and Health,590
2/1/2002 0:00,Government,508
2/1/2002 0:00,Finance,318
2/1/2002 0:00,Self-employed,250
2/1/2002 0:00,Other,339
2/1/2002 0:00,Transportation and Utilities,331
2/1/2002 0:00,Information,279
2/1/2002 0:00,Agriculture,187
2/1/2002 0:00,Mining and Extraction,35
3/1/2002 0:00,Wholesale and Retail Trade,1269
3/1/2002 0:00,Manufacturing,1367
3/1/2002 0:00,Leisure and hospitality,976
3/1/2002 0:00,Business services,964
3/1/2002 0:00,Construction,1009
3/1/2002 0:00,Education and Health,540
3/1/2002 0:00,Government,477
3/1/2002 0:00,Finance,287
3/1/2002 0:00,Self-employed,217
3/1/2002 0:00,Other,314
3/1/2002 0:00,Transportation and Utilities,313
3/1/2002 0:00,Information,266
3/1/2002 0:00,Agriculture,269
3/1/2002 0:00,Mining and Extraction,28
4/1/2002 0:00,Wholesale and Retail Trade,1222
4/1/2002 0:00,Manufacturing,1322
4/1/2002 0:00,Leisure and hospitality,953
4/1/2002 0:00,Business services,951
4/1/2002 0:00,Construction,855
4/1/2002 0:00,Education and Health,493
4/1/2002 0:00,Government,447
4/1/2002 0:00,Finance,292
4/1/2002 0:00,Self-employed,255
4/1/2002 0:00,Other,268
4/1/2002 0:00,Transportation and Utilities,280
4/1/2002 0:00,Information,257
4/1/2002 0:00,Agriculture,151
4/1/2002 0:00,Mining and Extraction,33
5/1/2002 0:00,Wholesale and Retail Trade,1138
5/1/2002 0:00,Manufacturing,1194
5/1/2002 0:00,Leisure and hospitality,1022
5/1/2002 0:00,Business services,983
5/1/2002 0:00,Construction,626
5/1/2002 0:00,Education and Health,533
5/1/2002 0:00,Government,484
5/1/2002 0:00,Finance,340
5/1/2002 0:00,Self-employed,264
5/1/2002 0:00,Other,264
5/1/2002 0:00,Transportation and Utilities,257
5/1/2002 0:00,Information,260
5/1/2002 0:00,Agriculture,89
5/1/2002 0:00,Mining and Extraction,25
6/1/2002 0:00,Wholesale and Retail Trade,1240
6/1/2002 0:00,Manufacturing,1187
6/1/2002 0:00,Leisure and hospitality,1034
6/1/2002 0:00,Business services,1079
6/1/2002 0:00,Construction,593
6/1/2002 0:00,Education and Health,638
6/1/2002 0:00,Government,561
6/1/2002 0:00,Finance,373
6/1/2002 0:00,Self-employed,246
6/1/2002 0:00,Other,335
6/1/2002 0:00,Transportation and Utilities,274
6/1/2002 0:00,Information,255
6/1/2002 0:00,Agriculture,89
6/1/2002 0:00,Mining and Extraction,35
7/1/2002 0:00,Wholesale and Retail Trade,1132
7/1/2002 0:00,Manufacturing,1185
7/1/2002 0:00,Leisure and hospitality,999
7/1/2002 0:00,Business services,1075
7/1/2002 0:00,Construction,594
7/1/2002 0:00,Education and Health,671
7/1/2002 0:00,Government,645
7/1/2002 0:00,Finance,345
7/1/2002 0:00,Self-employed,249
7/1/2002 0:00,Other,356
7/1/2002 0:00,Transportation and Utilities,270
7/1/2002 0:00,Information,264
7/1/2002 0:00,Agriculture,114
7/1/2002 0:00,Mining and Extraction,19
8/1/2002 0:00,Wholesale and Retail Trade,1170
8/1/2002 0:00,Manufacturing,1108
8/1/2002 0:00,Leisure and hospitality,884
8/1/2002 0:00,Business services,926
8/1/2002 0:00,Construction,654
8/1/2002 0:00,Education and Health,660
8/1/2002 0:00,Government,596
8/1/2002 0:00,Finance,343
8/1/2002 0:00,Self-employed,271
8/1/2002 0:00,Other,353
8/1/2002 0:00,Transportation and Utilities,221
8/1/2002 0:00,Information,270
8/1/2002 0:00,Agriculture,125
8/1/2002 0:00,Mining and Extraction,32
9/1/2002 0:00,Wholesale and Retail Trade,1171
9/1/2002 0:00,Manufacturing,1076
9/1/2002 0:00,Leisure and hospitality,885
9/1/2002 0:00,Business services,1007
9/1/2002 0:00,Construction,615
9/1/2002 0:00,Education and Health,562
9/1/2002 0:00,Government,530
9/1/2002 0:00,Finance,299
9/1/2002 0:00,Self-employed,266
9/1/2002 0:00,Other,281
9/1/2002 0:00,Transportation and Utilities,235
9/1/2002 0:00,Information,231
9/1/2002 0:00,Agriculture,92
9/1/2002 0:00,Mining and Extraction,42
10/1/2002 0:00,Wholesale and Retail Trade,1212
10/1/2002 0:00,Manufacturing,1046
10/1/2002 0:00,Leisure and hospitality,956
10/1/2002 0:00,Business services,962
10/1/2002 0:00,Construction,680
10/1/2002 0:00,Education and Health,517
10/1/2002 0:00,Government,499
10/1/2002 0:00,Finance,312
10/1/2002 0:00,Self-employed,275
10/1/2002 0:00,Other,272
10/1/2002 0:00,Transportation and Utilities,262
10/1/2002 0:00,Information,211
10/1/2002 0:00,Agriculture,97
10/1/2002 0:00,Mining and Extraction,36
11/1/2002 0:00,Wholesale and Retail Trade,1242
11/1/2002 0:00,Manufacturing,1115
11/1/2002 0:00,Leisure and hospitality,978
11/1/2002 0:00,Business services,1029
11/1/2002 0:00,Construction,758
11/1/2002 0:00,Education and Health,493
11/1/2002 0:00,Government,468
11/1/2002 0:00,Finance,337
11/1/2002 0:00,Self-employed,297
11/1/2002 0:00,Other,284
11/1/2002 0:00,Transportation and Utilities,233
11/1/2002 0:00,Information,220
11/1/2002 0:00,Agriculture,137
11/1/2002 0:00,Mining and Extraction,32
12/1/2002 0:00,Wholesale and Retail Trade,1150
12/1/2002 0:00,Manufacturing,1188
12/1/2002 0:00,Leisure and hospitality,922
12/1/2002 0:00,Business services,1038
12/1/2002 0:00,Construction,941
12/1/2002 0:00,Education and Health,558
12/1/2002 0:00,Government,446
12/1/2002 0:00,Finance,322
12/1/2002 0:00,Self-employed,327
12/1/2002 0:00,Other,241
12/1/2002 0:00,Transportation and Utilities,243
12/1/2002 0:00,Information,255
12/1/2002 0:00,Agriculture,120
12/1/2002 0:00,Mining and Extraction,45
1/1/2003 0:00,Wholesale and Retail Trade,1342
1/1/2003 0:00,Manufacturing,1302
1/1/2003 0:00,Leisure and hospitality,1049
1/1/2003 0:00,Business services,1112
1/1/2003 0:00,Construction,1196
1/1/2003 0:00,Education and Health,559
1/1/2003 0:00,Government,571
1/1/2003 0:00,Finance,327
1/1/2003 0:00,Self-employed,324
1/1/2003 0:00,Other,304
1/1/2003 0:00,Transportation and Utilities,331
1/1/2003 0:00,Information,243
1/1/2003 0:00,Agriculture,159
1/1/2003 0:00,Mining and Extraction,54
2/1/2003 0:00,Wholesale and Retail Trade,1238
2/1/2003 0:00,Manufacturing,1229
2/1/2003 0:00,Leisure and hospitality,1145
2/1/2003 0:00,Business services,1140
2/1/2003 0:00,Construction,1173
2/1/2003 0:00,Education and Health,576
2/1/2003 0:00,Government,483
2/1/2003 0:00,Finance,310
2/1/2003 0:00,Self-employed,304
2/1/2003 0:00,Other,331
2/1/2003 0:00,Transportation and Utilities,316
2/1/2003 0:00,Information,321
2/1/2003 0:00,Agriculture,172
2/1/2003 0:00,Mining and Extraction,41
3/1/2003 0:00,Wholesale and Retail Trade,1179
3/1/2003 0:00,Manufacturing,1222
3/1/2003 0:00,Leisure and hospitality,1035
3/1/2003 0:00,Business services,1190
3/1/2003 0:00,Construction,987
3/1/2003 0:00,Education and Health,518
3/1/2003 0:00,Government,526
3/1/2003 0:00,Finance,357
3/1/2003 0:00,Self-employed,279
3/1/2003 0:00,Other,370
3/1/2003 0:00,Transportation and Utilities,319
3/1/2003 0:00,Information,267
3/1/2003 0:00,Agriculture,161
3/1/2003 0:00,Mining and Extraction,46
4/1/2003 0:00,Wholesale and Retail Trade,1201
4/1/2003 0:00,Manufacturing,1199
4/1/2003 0:00,Leisure and hospitality,986
4/1/2003 0:00,Business services,1076
4/1/2003 0:00,Construction,772
4/1/2003 0:00,Education and Health,611
4/1/2003 0:00,Government,440
4/1/2003 0:00,Finance,323
4/1/2003 0:00,Self-employed,248
4/1/2003 0:00,Other,331
4/1/2003 0:00,Transportation and Utilities,274
4/1/2003 0:00,Information,268
4/1/2003 0:00,Agriculture,154
4/1/2003 0:00,Mining and Extraction,41
5/1/2003 0:00,Wholesale and Retail Trade,1247
5/1/2003 0:00,Manufacturing,1150
5/1/2003 0:00,Leisure and hospitality,955
5/1/2003 0:00,Business services,1105
5/1/2003 0:00,Construction,715
5/1/2003 0:00,Education and Health,618
5/1/2003 0:00,Government,478
5/1/2003 0:00,Finance,320
5/1/2003 0:00,Self-employed,271
5/1/2003 0:00,Other,339
5/1/2003 0:00,Transportation and Utilities,260
5/1/2003 0:00,Information,251
5/1/2003 0:00,Agriculture,133
5/1/2003 0:00,Mining and Extraction,40
6/1/2003 0:00,Wholesale and Retail Trade,1434
6/1/2003 0:00,Manufacturing,1232
6/1/2003 0:00,Leisure and hospitality,1048
6/1/2003 0:00,Business services,1092
6/1/2003 0:00,Construction,710
6/1/2003 0:00,Education and Health,769
6/1/2003 0:00,Government,704
6/1/2003 0:00,Finance,358
6/1/2003 0:00,Self-employed,295
6/1/2003 0:00,Other,359
6/1/2003 0:00,Transportation and Utilities,300
6/1/2003 0:00,Information,239
6/1/2003 0:00,Agriculture,94
6/1/2003 0:00,Mining and Extraction,36
7/1/2003 0:00,Wholesale and Retail Trade,1387
7/1/2003 0:00,Manufacturing,1193
7/1/2003 0:00,Leisure and hospitality,1020
7/1/2003 0:00,Business services,1021
7/1/2003 0:00,Construction,677
7/1/2003 0:00,Education and Health,697
7/1/2003 0:00,Government,749
7/1/2003 0:00,Finance,284
7/1/2003 0:00,Self-employed,270
7/1/2003 0:00,Other,405
7/1/2003 0:00,Transportation and Utilities,289
7/1/2003 0:00,Information,224
7/1/2003 0:00,Agriculture,113
7/1/2003 0:00,Mining and Extraction,43
8/1/2003 0:00,Wholesale and Retail Trade,1161
8/1/2003 0:00,Manufacturing,1186
8/1/2003 0:00,Leisure and hospitality,1050
8/1/2003 0:00,Business services,881
8/1/2003 0:00,Construction,650
8/1/2003 0:00,Education and Health,760
8/1/2003 0:00,Government,745
8/1/2003 0:00,Finance,342
8/1/2003 0:00,Self-employed,302
8/1/2003 0:00,Other,373
8/1/2003 0:00,Transportation and Utilities,255
8/1/2003 0:00,Information,224
8/1/2003 0:00,Agriculture,173
8/1/2003 0:00,Mining and Extraction,20
9/1/2003 0:00,Wholesale and Retail Trade,1229
9/1/2003 0:00,Manufacturing,1175
9/1/2003 0:00,Leisure and hospitality,978
9/1/2003 0:00,Business services,975
9/1/2003 0:00,Construction,681
9/1/2003 0:00,Education and Health,649
9/1/2003 0:00,Government,556
9/1/2003 0:00,Finance,305
9/1/2003 0:00,Self-employed,287
9/1/2003 0:00,Other,338
9/1/2003 0:00,Transportation and Utilities,255
9/1/2003 0:00,Information,248
9/1/2003 0:00,Agriculture,98
9/1/2003 0:00,Mining and Extraction,25
10/1/2003 0:00,Wholesale and Retail Trade,1189
10/1/2003 0:00,Manufacturing,1041
10/1/2003 0:00,Leisure and hospitality,933
10/1/2003 0:00,Business services,1014
10/1/2003 0:00,Construction,651
10/1/2003 0:00,Education and Health,639
10/1/2003 0:00,Government,500
10/1/2003 0:00,Finance,303
10/1/2003 0:00,Self-employed,338
10/1/2003 0:00,Other,378
10/1/2003 0:00,Transportation and Utilities,260
10/1/2003 0:00,Information,182
10/1/2003 0:00,Agriculture,136
10/1/2003 0:00,Mining and Extraction,31
11/1/2003 0:00,Wholesale and Retail Trade,1156
11/1/2003 0:00,Manufacturing,1034
11/1/2003 0:00,Leisure and hospitality,990
11/1/2003 0:00,Business services,948
11/1/2003 0:00,Construction,690
11/1/2003 0:00,Education and Health,662
11/1/2003 0:00,Government,542
11/1/2003 0:00,Finance,311
11/1/2003 0:00,Self-employed,308
11/1/2003 0:00,Other,357
11/1/2003 0:00,Transportation and Utilities,275
11/1/2003 0:00,Information,257
11/1/2003 0:00,Agriculture,148
11/1/2003 0:00,Mining and Extraction,34
12/1/2003 0:00,Wholesale and Retail Trade,1081
12/1/2003 0:00,Manufacturing,1025
12/1/2003 0:00,Leisure and hospitality,885
12/1/2003 0:00,Business services,948
12/1/2003 0:00,Construction,813
12/1/2003 0:00,Education and Health,620
12/1/2003 0:00,Government,516
12/1/2003 0:00,Finance,283
12/1/2003 0:00,Self-employed,299
12/1/2003 0:00,Other,278
12/1/2003 0:00,Transportation and Utilities,267
12/1/2003 0:00,Information,224
12/1/2003 0:00,Agriculture,137
12/1/2003 0:00,Mining and Extraction,32
1/1/2004 0:00,Wholesale and Retail Trade,1389
1/1/2004 0:00,Manufacturing,1110
1/1/2004 0:00,Leisure and hospitality,1097
1/1/2004 0:00,Business services,1070
1/1/2004 0:00,Construction,994
1/1/2004 0:00,Education and Health,662
1/1/2004 0:00,Government,511
1/1/2004 0:00,Finance,403
1/1/2004 0:00,Self-employed,302
1/1/2004 0:00,Other,322
1/1/2004 0:00,Transportation and Utilities,243
1/1/2004 0:00,Information,236
1/1/2004 0:00,Agriculture,184
1/1/2004 0:00,Mining and Extraction,31
2/1/2004 0:00,Wholesale and Retail Trade,1369
2/1/2004 0:00,Manufacturing,1094
2/1/2004 0:00,Leisure and hospitality,987
2/1/2004 0:00,Business services,964
2/1/2004 0:00,Construction,1039
2/1/2004 0:00,Education and Health,608
2/1/2004 0:00,Government,490
2/1/2004 0:00,Finance,363
2/1/2004 0:00,Self-employed,260
2/1/2004 0:00,Other,366
2/1/2004 0:00,Transportation and Utilities,291
2/1/2004 0:00,Information,194
2/1/2004 0:00,Agriculture,168
2/1/2004 0:00,Mining and Extraction,24
3/1/2004 0:00,Wholesale and Retail Trade,1386
3/1/2004 0:00,Manufacturing,1083
3/1/2004 0:00,Leisure and hospitality,1039
3/1/2004 0:00,Business services,999
3/1/2004 0:00,Construction,1011
3/1/2004 0:00,Education and Health,584
3/1/2004 0:00,Government,530
3/1/2004 0:00,Finance,343
3/1/2004 0:00,Self-employed,260
3/1/2004 0:00,Other,366
3/1/2004 0:00,Transportation and Utilities,284
3/1/2004 0:00,Information,216
3/1/2004 0:00,Agriculture,153
3/1/2004 0:00,Mining and Extraction,22
4/1/2004 0:00,Wholesale and Retail Trade,1248
4/1/2004 0:00,Manufacturing,1004
4/1/2004 0:00,Leisure and hospitality,925
4/1/2004 0:00,Business services,752
4/1/2004 0:00,Construction,849
