Year,Attribute,Value
1894,Cement production,0
1894,Gas flaring,0
1895,Solid fuel,393
1895,Liquid fuel,11
1895,Gas fuel,2
1895,Cement production,0
1895,Gas flaring,0
1896,Solid fuel,405
1896,Liquid fuel,12
1896,Gas fuel,2
1896,Cement production,0
1896,Gas flaring,0
1897,Solid fuel,425
1897,Liquid fuel,13
1897,Gas fuel,2
1897,Cement production,0
1897,Gas flaring,0
1898,Solid fuel,449
1898,Liquid fuel,13
1898,Gas fuel,2
1898,Cement production,0
1898,Gas flaring,0
1899,Solid fuel,491
1899,Liquid fuel,14
1899,Gas fuel,3
1899,Cement production,0
1899,Gas flaring,0
1900,Solid fuel,515
1900,Liquid fuel,16
1900,Gas fuel,3
1900,Cement production,0
1900,Gas flaring,0
1901,Solid fuel,531
1901,Liquid fuel,18
1901,Gas fuel,4
1901,Cement production,0
1901,Gas flaring,0
1902,Solid fuel,543
1902,Liquid fuel,19
1902,Gas fuel,4
1902,Cement production,0
1902,Gas flaring,0
1903,Solid fuel,593
1903,Liquid fuel,20
1903,Gas fuel,4
1903,Cement production,0
1903,Gas flaring,0
1904,Solid fuel,597
1904,Liquid fuel,23
1904,Gas fuel,4
1904,Cement production,0
1904,Gas flaring,0
1905,Solid fuel,636
1905,Liquid fuel,23
1905,Gas fuel,5
1905,Cement production,0
1905,Gas flaring,0
1906,Solid fuel,680
1906,Liquid fuel,23
1906,Gas fuel,5
1906,Cement production,0
1906,Gas flaring,0
1907,Solid fuel,750
1907,Liquid fuel,28
1907,Gas fuel,5
1907,Cement production,0
1907,Gas flaring,0
1908,Solid fuel,714
1908,Liquid fuel,30
1908,Gas fuel,5
1908,Cement production,0
1908,Gas flaring,0
1909,Solid fuel,747
1909,Liquid fuel,32
1909,Gas fuel,6
1909,Cement production,0
1909,Gas flaring,0
1910,Solid fuel,778
1910,Liquid fuel,34
1910,Gas fuel,7
1910,Cement production,0
1910,Gas flaring,0
1911,Solid fuel,792
1911,Liquid fuel,36
1911,Gas fuel,7
1911,Cement production,0
1911,Gas flaring,0
1912,Solid fuel,834
1912,Liquid fuel,37
1912,Gas fuel,8
1912,Cement production,0
1912,Gas flaring,0
1913,Solid fuel,895
1913,Liquid fuel,41
1913,Gas fuel,8
1913,Cement production,0
1913,Gas flaring,0
1914,Solid fuel,800
1914,Liquid fuel,42
1914,Gas fuel,8
1914,Cement production,0
1914,Gas flaring,0
1915,Solid fuel,784
1915,Liquid fuel,45
1915,Gas fuel,9
1915,Cement production,0
1915,Gas flaring,0
1916,Solid fuel,842
1916,Liquid fuel,48
1916,Gas fuel,10
1916,Cement production,0
1916,Gas flaring,0
1917,Solid fuel,891
1917,Liquid fuel,54
1917,Gas fuel,11
1917,Cement production,0
1917,Gas flaring,0
1918,Solid fuel,873
1918,Liquid fuel,53
1918,Gas fuel,10
1918,Cement production,0
1918,Gas flaring,0
1919,Solid fuel,735
1919,Liquid fuel,61
1919,Gas fuel,10
1919,Cement production,0
1919,Gas flaring,0
1920,Solid fuel,843
1920,Liquid fuel,78
1920,Gas fuel,11
1920,Cement production,0
1920,Gas flaring,0
1921,Solid fuel,709
1921,Liquid fuel,84
1921,Gas fuel,10
1921,Cement production,0
1921,Gas flaring,0
1922,Solid fuel,740
1922,Liquid fuel,94
1922,Gas fuel,11
1922,Cement production,0
1922,Gas flaring,0
1923,Solid fuel,845
1923,Liquid fuel,111
1923,Gas fuel,14
1923,Cement production,0
1923,Gas flaring,0
1924,Solid fuel,836
1924,Liquid fuel,110
1924,Gas fuel,16
1924,Cement production,0
1924,Gas flaring,0
1925,Solid fuel,842
1925,Liquid fuel,116
1925,Gas fuel,17
1925,Cement production,0
1925,Gas flaring,0
1926,Solid fuel,846
1926,Liquid fuel,119
1926,Gas fuel,19
1926,Cement production,0
1926,Gas flaring,0
1927,Solid fuel,905
1927,Liquid fuel,136
1927,Gas fuel,21
1927,Cement production,0
1927,Gas flaring,0
1928,Solid fuel,890
1928,Liquid fuel,143
1928,Gas fuel,23
1928,Cement production,10
1928,Gas flaring,0
1929,Solid fuel,947
1929,Liquid fuel,160
1929,Gas fuel,28
1929,Cement production,10
1929,Gas flaring,0
1930,Solid fuel,862
1930,Liquid fuel,152
1930,Gas fuel,28
1930,Cement production,10
1930,Gas flaring,0
1931,Solid fuel,759
1931,Liquid fuel,147
1931,Gas fuel,25
1931,Cement production,8
1931,Gas flaring,0
1932,Solid fuel,675
1932,Liquid fuel,141
1932,Gas fuel,24
1932,Cement production,7
1932,Gas flaring,0
1933,Solid fuel,708
1933,Liquid fuel,154
1933,Gas fuel,25
1933,Cement production,7
1933,Gas flaring,0
1934,Solid fuel,775
1934,Liquid fuel,162
1934,Gas fuel,28
1934,Cement production,8
1934,Gas flaring,0
1935,Solid fuel,811
1935,Liquid fuel,176
1935,Gas fuel,30
1935,Cement production,9
1935,Gas flaring,0
1936,Solid fuel,893
1936,Liquid fuel,192
1936,Gas fuel,34
1936,Cement production,11
1936,Gas flaring,0
1937,Solid fuel,941
1937,Liquid fuel,219
1937,Gas fuel,38
1937,Cement production,11
1937,Gas flaring,0
1938,Solid fuel,880
1938,Liquid fuel,214
1938,Gas fuel,37
1938,Cement production,12
1938,Gas flaring,0
1939,Solid fuel,918
1939,Liquid fuel,222
1939,Gas fuel,38
1939,Cement production,13
1939,Gas flaring,0
1940,Solid fuel,1017
1940,Liquid fuel,229
1940,Gas fuel,42
1940,Cement production,11
1940,Gas flaring,0
1941,Solid fuel,1043
1941,Liquid fuel,236
1941,Gas fuel,42
1941,Cement production,12
1941,Gas flaring,0
1942,Solid fuel,1063
1942,Liquid fuel,222
1942,Gas fuel,45
1942,Cement production,11
1942,Gas flaring,0
1943,Solid fuel,1092
1943,Liquid fuel,239
1943,Gas fuel,50
1943,Cement production,10
1943,Gas flaring,0
1944,Solid fuel,1047
1944,Liquid fuel,275
1944,Gas fuel,54
1944,Cement production,7
1944,Gas flaring,0
1945,Solid fuel,820
1945,Liquid fuel,275
1945,Gas fuel,59
1945,Cement production,7
1945,Gas flaring,0
1946,Solid fuel,875
1946,Liquid fuel,292
1946,Gas fuel,61
1946,Cement production,10
1946,Gas flaring,0
1947,Solid fuel,992
1947,Liquid fuel,322
1947,Gas fuel,67
1947,Cement production,12
1947,Gas flaring,0
1948,Solid fuel,1015
1948,Liquid fuel,364
1948,Gas fuel,76
1948,Cement production,14
1948,Gas flaring,0
1949,Solid fuel,960
1949,Liquid fuel,362
1949,Gas fuel,81
1949,Cement production,16
1949,Gas flaring,0
1950,Solid fuel,1070
1950,Liquid fuel,423
1950,Gas fuel,97
1950,Cement production,18
1950,Gas flaring,23
1951,Solid fuel,1129
1951,Liquid fuel,479
1951,Gas fuel,115
1951,Cement production,20
1951,Gas flaring,24
1952,Solid fuel,1119
1952,Liquid fuel,504
1952,Gas fuel,124
1952,Cement production,22
1952,Gas flaring,26
1953,Solid fuel,1125
1953,Liquid fuel,533
1953,Gas fuel,131
1953,Cement production,24
1953,Gas flaring,27
1954,Solid fuel,1116
1954,Liquid fuel,557
1954,Gas fuel,138
1954,Cement production,27
1954,Gas flaring,27
1955,Solid fuel,1208
1955,Liquid fuel,625
1955,Gas fuel,150
1955,Cement production,30
1955,Gas flaring,31
1956,Solid fuel,1273
1956,Liquid fuel,679
1956,Gas fuel,161
1956,Cement production,32
1956,Gas flaring,32
1957,Solid fuel,1309
1957,Liquid fuel,714
1957,Gas fuel,178
1957,Cement production,34
1957,Gas flaring,35
1958,Solid fuel,1336
1958,Liquid fuel,731
1958,Gas fuel,192
1958,Cement production,36
1958,Gas flaring,35
1959,Solid fuel,1382
1959,Liquid fuel,789
1959,Gas fuel,206
1959,Cement production,40
1959,Gas flaring,36
1960,Solid fuel,1410
1960,Liquid fuel,849
1960,Gas fuel,227
1960,Cement production,43
1960,Gas flaring,39
1961,Solid fuel,1349
1961,Liquid fuel,904
1961,Gas fuel,240
1961,Cement production,45
1961,Gas flaring,42
1962,Solid fuel,1351
1962,Liquid fuel,980
1962,Gas fuel,263
1962,Cement production,49
1962,Gas flaring,44
1963,Solid fuel,1396
1963,Liquid fuel,1052
1963,Gas fuel,286
1963,Cement production,51
1963,Gas flaring,47
1964,Solid fuel,1435
1964,Liquid fuel,1137
1964,Gas fuel,316
1964,Cement production,57
1964,Gas flaring,51
1965,Solid fuel,1460
1965,Liquid fuel,1219
1965,Gas fuel,337
1965,Cement production,59
1965,Gas flaring,55
1966,Solid fuel,1478
1966,Liquid fuel,1323
1966,Gas fuel,364
1966,Cement production,63
1966,Gas flaring,60
1967,Solid fuel,1448
1967,Liquid fuel,1423
1967,Gas fuel,392
1967,Cement production,65
1967,Gas flaring,66
1968,Solid fuel,1448
1968,Liquid fuel,1551
1968,Gas fuel,424
1968,Cement production,70
1968,Gas flaring,73
1969,Solid fuel,1486
1969,Liquid fuel,1673
1969,Gas fuel,467
1969,Cement production,74
1969,Gas flaring,80
1970,Solid fuel,1556
1970,Liquid fuel,1839
1970,Gas fuel,493
1970,Cement production,78
1970,Gas flaring,87
1971,Solid fuel,1559
1971,Liquid fuel,1947
1971,Gas fuel,530
1971,Cement production,84
1971,Gas flaring,88
1972,Solid fuel,1576
1972,Liquid fuel,2057
1972,Gas fuel,560
1972,Cement production,89
1972,Gas flaring,95
1973,Solid fuel,1581
1973,Liquid fuel,2241
1973,Gas fuel,588
1973,Cement production,95
1973,Gas flaring,110
1974,Solid fuel,1579
1974,Liquid fuel,2245
1974,Gas fuel,597
1974,Cement production,96
1974,Gas flaring,107
1975,Solid fuel,1673
1975,Liquid fuel,2132
1975,Gas fuel,604
1975,Cement production,95
1975,Gas flaring,92
1976,Solid fuel,1710
1976,Liquid fuel,2314
1976,Gas fuel,630
1976,Cement production,103
1976,Gas flaring,108
1977,Solid fuel,1756
1977,Liquid fuel,2398
1977,Gas fuel,650
1977,Cement production,108
1977,Gas flaring,104
1978,Solid fuel,1780
1978,Liquid fuel,2392
1978,Gas fuel,680
1978,Cement production,116
1978,Gas flaring,106
1979,Solid fuel,1875
1979,Liquid fuel,2544
1979,Gas fuel,721
1979,Cement production,119
1979,Gas flaring,98
1980,Solid fuel,1935
1980,Liquid fuel,2422
1980,Gas fuel,737
1980,Cement production,120
1980,Gas flaring,86
1981,Solid fuel,1908
1981,Liquid fuel,2289
1981,Gas fuel,755
1981,Cement production,121
1981,Gas flaring,65
1982,Solid fuel,1976
1982,Liquid fuel,2196
1982,Gas fuel,738
1982,Cement production,121
1982,Gas flaring,64
1983,Solid fuel,1977
1983,Liquid fuel,2176
1983,Gas fuel,739
1983,Cement production,125
1983,Gas flaring,58
1984,Solid fuel,2074
1984,Liquid fuel,2199
1984,Gas fuel,807
1984,Cement production,128
1984,Gas flaring,51
1985,Solid fuel,2216
1985,Liquid fuel,2186
1985,Gas fuel,835
1985,Cement production,131
1985,Gas flaring,49
1986,Solid fuel,2277
1986,Liquid fuel,2293
1986,Gas fuel,830
1986,Cement production,137
1986,Gas flaring,46
1987,Solid fuel,2339
1987,Liquid fuel,2306
1987,Gas fuel,892
1987,Cement production,143
1987,Gas flaring,44
1988,Solid fuel,2387
1988,Liquid fuel,2412
1988,Gas fuel,935
1988,Cement production,152
1988,Gas flaring,50
1989,Solid fuel,2428
1989,Liquid fuel,2459
1989,Gas fuel,982
1989,Cement production,156
1989,Gas flaring,41
1990,Solid fuel,2359
1990,Liquid fuel,2492
1990,Gas fuel,1026
1990,Cement production,157
1990,Gas flaring,40
1991,Solid fuel,2284
1991,Liquid fuel,2601
1991,Gas fuel,1051
1991,Cement production,161
1991,Gas flaring,45
1992,Solid fuel,2290
1992,Liquid fuel,2499
1992,Gas fuel,1085
1992,Cement production,167
1992,Gas flaring,36
1993,Solid fuel,2225
1993,Liquid fuel,2515
1993,Gas fuel,1117
1993,Cement production,176
1993,Gas flaring,37
1994,Solid fuel,2278
1994,Liquid fuel,2539
1994,Gas fuel,1133
1994,Cement production,186
1994,Gas flaring,39
1995,Solid fuel,2359
1995,Liquid fuel,2560
1995,Gas fuel,1151
1995,Cement production,197
1995,Gas flaring,39
1996,Solid fuel,2382
1996,Liquid fuel,2626
1996,Gas fuel,1198
1996,Cement production,203
1996,Gas flaring,40
1997,Solid fuel,2409
1997,Liquid fuel,2701
1997,Gas fuel,1197
1997,Cement production,209
1997,Gas flaring,40
1998,Solid fuel,2343
1998,Liquid fuel,2763
1998,Gas fuel,1224
1998,Cement production,209
1998,Gas flaring,36
1999,Solid fuel,2310
1999,Liquid fuel,2741
1999,Gas fuel,1258
1999,Cement production,217
1999,Gas flaring,35
2000,Solid fuel,2327
2000,Liquid fuel,2845
2000,Gas fuel,1289
2000,Cement production,226
2000,Gas flaring,46
2001,Solid fuel,2445
2001,Liquid fuel,2848
2001,Gas fuel,1316
2001,Cement production,237
2001,Gas flaring,47
2002,Solid fuel,2518
2002,Liquid fuel,2832
2002,Gas fuel,1342
2002,Cement production,252
2002,Gas flaring,49
2003,Solid fuel,2695
2003,Liquid fuel,2958
2003,Gas fuel,1397
2003,Cement production,276
2003,Gas flaring,48
2004,Solid fuel,2906
2004,Liquid fuel,3043
2004,Gas fuel,1443
2004,Cement production,298
2004,Gas flaring,54
2005,Solid fuel,3108
2005,Liquid fuel,3068
2005,Gas fuel,1485
2005,Cement production,320
2005,Gas flaring,60
2006,Solid fuel,3293
2006,Liquid fuel,3091
2006,Gas fuel,1534
2006,Cement production,356
2006,Gas flaring,62
2007,Solid fuel,3422
2007,Liquid fuel,3071
2007,Gas fuel,1562
2007,Cement production,382
2007,Gas flaring,66
2008,Solid fuel,3587
2008,Liquid fuel,3103
2008,Gas fuel,1630
2008,Cement production,388
2008,Gas flaring,69
2009,Solid fuel,3590
2009,Liquid fuel,3042
2009,Gas fuel,1584
2009,Cement production,415
2009,Gas flaring,66
2010,Solid fuel,3812
2010,Liquid fuel,3107
2010,Gas fuel,1696
2010,Cement production,446
2010,Gas flaring,67
2011,Solid fuel,4055
2011,Liquid fuel,3134
2011,Gas fuel,1756
2011,Cement production,494
2011,Gas flaring,64
2012,Solid fuel,4106
2012,Liquid fuel,3200
2012,Gas fuel,1783
2012,Cement production,519
2012,Gas flaring,65
2013,Solid fuel,4126
2013,Liquid fuel,3220
2013,Gas fuel,1806
2013,Cement production,554
2013,Gas flaring,68
2014,Solid fuel,4117
2014,Liquid fuel,3280
2014,Gas fuel,1823
2014,Cement production,568
2014,Gas flaring,68
