date,count
5/23/2016,22
5/24/2016,23
5/25/2016,24
5/26/2016,25
5/27/2016,26
5/28/2016,27
5/29/2016,28
5/30/2016,29
5/31/2016,30
6/1/2016,31
6/2/2016,32
6/3/2016,33
6/4/2016,34
6/5/2016,35
6/6/2016,36
6/7/2016,37
6/8/2016,38
6/9/2016,39
6/10/2016,40
6/11/2016,41
6/12/2016,42
6/13/2016,43
6/14/2016,44
6/15/2016,45
6/16/2016,46
6/17/2016,47
6/18/2016,48
6/19/2016,-1
6/20/2016,1
6/21/2016,2
6/22/2016,3
6/23/2016,4
6/24/2016,5
6/25/2016,6
6/26/2016,-1
6/27/2016,1
6/28/2016,2
6/29/2016,3
6/30/2016,4
7/1/2016,5
7/2/2016,-1
7/3/2016,-2
7/4/2016,-3
7/5/2016,1
7/6/2016,2
7/7/2016,3
7/8/2016,4
7/9/2016,-1
7/10/2016,1
7/11/2016,2
7/12/2016,3
7/13/2016,4
7/14/2016,5
7/15/2016,6
7/16/2016,7
7/17/2016,-1
7/18/2016,1
7/19/2016,-1
7/20/2016,-2
7/21/2016,-3
7/22/2016,1
7/23/2016,2
7/24/2016,-1
7/25/2016,-2
7/26/2016,1
7/27/2016,-1
7/28/2016,1
7/29/2016,-1
7/30/2016,1
7/31/2016,2
8/1/2016,-1
8/2/2016,1
8/3/2016,2
8/4/2016,3
8/5/2016,4
8/6/2016,5
8/7/2016,6
8/8/2016,7
8/9/2016,8
8/10/2016,9
8/11/2016,-1
8/12/2016,1
8/13/2016,2
8/14/2016,-1
8/15/2016,1
8/16/2016,2
8/17/2016,3
8/18/2016,4
8/19/2016,5
8/20/2016,6
8/21/2016,7
8/22/2016,8
8/23/2016,9
8/24/2016,10
8/25/2016,11
8/26/2016,12
8/27/2016,13
8/28/2016,14
8/29/2016,15
8/30/2016,16
8/31/2016,17
9/1/2016,18
9/2/2016,19
9/3/2016,20
9/4/2016,21
9/5/2016,22
9/6/2016,23
9/7/2016,24
9/8/2016,25
9/9/2016,26
9/10/2016,27
9/11/2016,28
9/12/2016,29
9/13/2016,30
9/14/2016,31
9/15/2016,-1
9/16/2016,-2
9/17/2016,-3
9/18/2016,-4
9/19/2016,1
9/20/2016,-1
9/21/2016,-2
9/22/2016,-3
9/23/2016,1
9/24/2016,2
9/25/2016,3
9/26/2016,4
9/27/2016,-1
9/28/2016,-2
9/29/2016,-3
9/30/2016,-4
10/1/2016,-5
10/2/2016,1
10/3/2016,-1
10/4/2016,1
10/5/2016,-1
10/6/2016,-2
10/7/2016,-3
10/8/2016,1
10/9/2016,2
10/10/2016,-1
10/11/2016,-2
10/12/2016,-3
10/13/2016,-4
10/14/2016,-5
10/15/2016,-6
10/16/2016,-7
10/17/2016,-8
10/18/2016,-9
10/19/2016,1
10/20/2016,-1
10/21/2016,1
10/22/2016,-1
10/23/2016,1
10/24/2016,-1
10/25/2016,-2
10/26/2016,-3
10/27/2016,-4
10/28/2016,-5
10/29/2016,1
10/30/2016,2
10/31/2016,-1
11/1/2016,-2
11/2/2016,-3
11/3/2016,-4
11/4/2016,1
11/5/2016,2
11/6/2016,3
11/7/2016,-1
11/8/2016,1
11/9/2016,-1
11/10/2016,-2
11/11/2016,-3
11/12/2016,1
11/13/2016,-1
11/14/2016,-2
11/15/2016,-3
11/16/2016,-4
11/17/2016,1
11/18/2016,-1
11/19/2016,1
11/20/2016,2
11/21/2016,-1
11/22/2016,1
11/23/2016,2
11/24/2016,3
11/25/2016,-1
11/26/2016,1
11/27/2016,2
11/28/2016,-1
11/29/2016,-2
11/30/2016,1
12/1/2016,-1
12/2/2016,1
12/3/2016,2
12/4/2016,-1
12/5/2016,-2
12/6/2016,1
12/7/2016,-1
12/8/2016,-2
12/9/2016,1
12/10/2016,2
12/11/2016,3
12/12/2016,-1
12/13/2016,-2
12/14/2016,-3
12/15/2016,-4
12/16/2016,-5
12/17/2016,-6
12/18/2016,1
12/19/2016,-1
12/20/2016,1
12/21/2016,2
12/22/2016,3
12/23/2016,4
12/24/2016,5
12/25/2016,6
12/26/2016,7
12/27/2016,8
12/28/2016,9
12/29/2016,10
12/30/2016,11
12/31/2016,12
1/1/2017,13
1/2/2017,14
1/3/2017,15
1/4/2017,16
1/5/2017,-1
1/6/2017,1
1/7/2017,2
1/8/2017,3
1/9/2017,-1
1/10/2017,1
1/11/2017,-1
1/12/2017,-2
1/13/2017,1
1/14/2017,2
1/15/2017,-1
1/16/2017,1
1/17/2017,-1
1/18/2017,1
1/19/2017,-1
1/20/2017,-2
1/21/2017,1
1/22/2017,2
1/23/2017,3
1/24/2017,-1
1/25/2017,1
1/26/2017,2
1/27/2017,3
1/28/2017,4
1/29/2017,5
1/30/2017,6
1/31/2017,7
2/1/2017,8
2/2/2017,9
2/3/2017,10
2/4/2017,11
2/5/2017,-1
2/6/2017,-2
2/7/2017,-3
2/8/2017,-4
2/9/2017,-5
2/10/2017,-6
2/11/2017,1
2/12/2017,2
2/13/2017,-1
2/14/2017,-2
2/15/2017,-3
2/16/2017,-4
2/17/2017,-5
2/18/2017,-6
2/19/2017,-7
2/20/2017,-8
2/21/2017,-9
2/22/2017,1
2/23/2017,-1
2/24/2017,-2
2/25/2017,1
2/26/2017,-1
2/27/2017,-2
2/28/2017,1
3/1/2017,2
3/2/2017,3
3/3/2017,4
3/4/2017,5
3/5/2017,-1
3/6/2017,1
3/7/2017,2
3/8/2017,3
3/9/2017,4
3/10/2017,-1
3/11/2017,-2
3/12/2017,1
3/13/2017,-1
3/14/2017,1
3/15/2017,-1
3/16/2017,1
3/17/2017,2
3/18/2017,3
3/19/2017,4
3/20/2017,5
3/21/2017,6
3/22/2017,7
3/23/2017,8
3/24/2017,-1
3/25/2017,1
3/26/2017,2
3/27/2017,3
3/28/2017,4
3/29/2017,5
3/30/2017,6
3/31/2017,7
4/1/2017,8
4/2/2017,9
4/3/2017,10
4/4/2017,11
4/5/2017,12
4/6/2017,-1
4/7/2017,1
4/8/2017,2
4/9/2017,-1
4/10/2017,1
4/11/2017,2
4/12/2017,3
4/13/2017,4
4/14/2017,5
4/15/2017,6
4/16/2017,7
4/17/2017,8
4/18/2017,-1
4/19/2017,1
4/20/2017,2
4/21/2017,3
4/22/2017,4
4/23/2017,5
4/24/2017,6
4/25/2017,7
4/26/2017,8
4/27/2017,9
4/28/2017,10
4/29/2017,-1
4/30/2017,1
5/1/2017,2
5/2/2017,3
5/3/2017,4
5/4/2017,5
5/5/2017,6
5/6/2017,7
5/7/2017,-1
5/8/2017,1
5/9/2017,2
5/10/2017,-1
5/11/2017,1
5/12/2017,2
5/13/2017,3
5/14/2017,4
5/15/2017,5
5/16/2017,-1
5/17/2017,-2
5/18/2017,-3
5/19/2017,1
5/20/2017,2
5/21/2017,3
5/22/2017,4
5/23/2017,5
5/24/2017,6
5/25/2017,7
5/26/2017,8
5/27/2017,9
5/28/2017,-1
5/29/2017,1
5/30/2017,2
5/31/2017,3
6/1/2017,4
6/2/2017,5
6/3/2017,6
6/4/2017,7
6/5/2017,8
6/6/2017,9
6/7/2017,10
6/8/2017,11
6/9/2017,12
6/10/2017,13
6/11/2017,14
6/12/2017,15
6/13/2017,16
6/14/2017,17
6/15/2017,18
6/16/2017,19
6/17/2017,20
6/18/2017,21
6/19/2017,22
6/20/2017,23
6/21/2017,24
6/22/2017,-1
6/23/2017,1
6/24/2017,2
6/25/2017,3
6/26/2017,4
6/27/2017,5
6/28/2017,6
6/29/2017,-1
6/30/2017,1
7/1/2017,2
7/2/2017,3
7/3/2017,4
7/4/2017,5
7/5/2017,6
7/6/2017,7
7/7/2017,8
7/8/2017,9
7/9/2017,10
7/10/2017,11
7/11/2017,12
7/12/2017,13
7/13/2017,14
7/14/2017,-1
7/15/2017,1
7/16/2017,-1
7/17/2017,1
7/18/2017,2
7/19/2017,3
7/20/2017,4
7/21/2017,5
7/22/2017,6
7/23/2017,7
7/24/2017,8
7/25/2017,9
7/26/2017,10
7/27/2017,11
7/28/2017,12
7/29/2017,13
7/30/2017,14
7/31/2017,15
8/1/2017,16
8/2/2017,17
8/3/2017,18
8/4/2017,19
8/5/2017,20
8/6/2017,21
8/7/2017,22
8/8/2017,23
8/9/2017,24
8/10/2017,25
8/11/2017,26
8/12/2017,27
8/13/2017,28
8/14/2017,29
8/15/2017,30
8/16/2017,31
8/17/2017,32
8/18/2017,33
8/19/2017,34
8/20/2017,35
8/21/2017,36
8/22/2017,37
8/23/2017,38
8/24/2017,39
8/25/2017,40
8/26/2017,41
8/27/2017,-1
8/28/2017,1
8/29/2017,2
8/30/2017,3
8/31/2017,4
9/1/2017,5
9/2/2017,6
9/3/2017,7
9/4/2017,8
9/5/2017,-1
9/6/2017,1
9/7/2017,2
9/8/2017,3
9/9/2017,4
9/10/2017,-1
9/11/2017,1
9/12/2017,2
9/13/2017,3
9/14/2017,4
9/15/2017,5
9/16/2017,6
9/17/2017,7
9/18/2017,-1
9/19/2017,1
9/20/2017,2
9/21/2017,3
9/22/2017,4
9/23/2017,5
9/24/2017,6
9/25/2017,7
9/26/2017,8
9/27/2017,9
9/28/2017,10
9/29/2017,11
9/30/2017,12
10/1/2017,13
10/2/2017,14
10/3/2017,15
10/4/2017,16
10/5/2017,17
10/6/2017,18
10/7/2017,19
10/8/2017,20
10/9/2017,-1
10/10/2017,-2
10/11/2017,-3
10/12/2017,1
10/13/2017,2
10/14/2017,3
10/15/2017,4
10/16/2017,5
10/17/2017,6
10/18/2017,7
10/19/2017,8
10/20/2017,9
10/21/2017,10
10/22/2017,11
10/23/2017,12
10/24/2017,13
10/25/2017,14
10/26/2017,15
10/27/2017,16
10/28/2017,17
10/29/2017,18
10/30/2017,19
10/31/2017,20
11/1/2017,21
11/2/2017,22
11/3/2017,23
11/4/2017,24
11/5/2017,25
11/6/2017,26
11/7/2017,27
11/8/2017,28
11/9/2017,29
11/10/2017,30
11/11/2017,31
11/12/2017,32
11/13/2017,33
11/14/2017,34
11/15/2017,35
11/16/2017,36
11/17/2017,37
11/18/2017,38
11/19/2017,39
11/20/2017,40
11/21/2017,41
11/22/2017,42
11/23/2017,43
11/24/2017,44
11/25/2017,45
11/26/2017,46
11/27/2017,47
11/28/2017,-1
11/29/2017,1
11/30/2017,2
12/1/2017,3
12/2/2017,4
12/3/2017,-1
12/4/2017,1
12/5/2017,2
12/6/2017,-1
12/7/2017,-2
12/8/2017,1
12/9/2017,2
12/10/2017,-1
12/11/2017,1
12/12/2017,2
12/13/2017,-1
12/14/2017,1
12/15/2017,-1
12/16/2017,1
12/17/2017,-1
12/18/2017,1
12/19/2017,2
12/20/2017,3
12/21/2017,-1
12/22/2017,1
12/23/2017,-1
12/24/2017,1
12/25/2017,2
12/26/2017,3
12/27/2017,4
12/28/2017,5
12/29/2017,6
12/30/2017,7
12/31/2017,-1
1/1/2018,1
1/2/2018,2
1/3/2018,3
1/4/2018,4
1/5/2018,5
1/6/2018,6
1/7/2018,-1
1/8/2018,1
1/9/2018,2
1/10/2018,3
1/11/2018,4
1/12/2018,5
1/13/2018,6
1/14/2018,7
1/15/2018,-1
1/16/2018,1
1/17/2018,2
1/18/2018,3
1/19/2018,4
1/20/2018,5
1/21/2018,-1
1/22/2018,1
1/23/2018,2
1/24/2018,3
1/25/2018,4
1/26/2018,5
1/27/2018,6
1/28/2018,7
1/29/2018,8
1/30/2018,9
1/31/2018,10
2/1/2018,11
2/2/2018,12
2/3/2018,-1
2/4/2018,-2
2/5/2018,1
2/6/2018,-1
2/7/2018,1
2/8/2018,2
2/9/2018,3
2/10/2018,4
2/11/2018,-1
2/12/2018,1
2/13/2018,2
2/14/2018,3
2/15/2018,4
2/16/2018,-1
2/17/2018,1
2/18/2018,2
2/19/2018,3
2/20/2018,4
2/21/2018,5
2/22/2018,6
2/23/2018,7
2/24/2018,8
2/25/2018,-1
2/26/2018,-2
2/27/2018,1
2/28/2018,2
3/1/2018,3
3/2/2018,-1
3/3/2018,-2
3/4/2018,1
3/5/2018,2
3/6/2018,-1
3/7/2018,1
3/8/2018,2
3/9/2018,3
3/10/2018,4
3/11/2018,5
3/12/2018,6
3/13/2018,7
3/14/2018,8
3/15/2018,9
3/16/2018,10
3/17/2018,11
3/18/2018,12
3/19/2018,13
3/20/2018,14
3/21/2018,15
3/22/2018,16
3/23/2018,17
3/24/2018,18
3/25/2018,19
3/26/2018,20
3/27/2018,21
3/28/2018,22
3/29/2018,23
3/30/2018,24
3/31/2018,25
4/1/2018,26
4/2/2018,27
4/3/2018,28
4/4/2018,29
4/5/2018,30
4/6/2018,-1
4/7/2018,1
4/8/2018,2
4/9/2018,3
4/10/2018,4
4/11/2018,5
4/12/2018,6
4/13/2018,7
4/14/2018,8
4/15/2018,9
4/16/2018,10
4/17/2018,11
4/18/2018,12
4/19/2018,13
4/20/2018,14
4/21/2018,15
4/22/2018,16
4/23/2018,17
4/24/2018,18
4/25/2018,19
4/26/2018,20
4/27/2018,21
4/28/2018,22
4/29/2018,23
4/30/2018,24
5/1/2018,25
5/2/2018,-1
5/3/2018,1
5/4/2018,2
5/5/2018,3
5/6/2018,4
5/7/2018,5
5/8/2018,-1
5/9/2018,1
5/10/2018,-1
5/11/2018,1
5/12/2018,2
5/13/2018,3
5/14/2018,4
5/15/2018,5
5/16/2018,6
5/17/2018,7
5/18/2018,8
5/19/2018,9
5/20/2018,10
5/21/2018,11
5/22/2018,12
5/23/2018,13
5/24/2018,14
5/25/2018,15
5/26/2018,-1
5/27/2018,-2
5/28/2018,-3
5/29/2018,1
5/30/2018,2
5/31/2018,-1
6/1/2018,-2
6/2/2018,-3
6/3/2018,-4
6/4/2018,-5
6/5/2018,-6
6/6/2018,-7
6/7/2018,-8
6/8/2018,-9
6/9/2018,-10
6/10/2018,-11
6/11/2018,-12
6/12/2018,1
6/13/2018,-1
6/14/2018,-2
6/15/2018,1
6/16/2018,2
6/17/2018,3
6/18/2018,4
6/19/2018,5
6/20/2018,6
6/21/2018,7
6/22/2018,8
6/23/2018,9
6/24/2018,10
6/25/2018,11
6/26/2018,12
6/27/2018,13
6/28/2018,-1
6/29/2018,1
6/30/2018,2
7/1/2018,3
7/2/2018,4
7/3/2018,5
7/4/2018,6
7/5/2018,-1
7/6/2018,1
7/7/2018,2
7/8/2018,3
7/9/2018,-1
7/10/2018,1
7/11/2018,2
7/12/2018,3
7/13/2018,-1
7/14/2018,-2
7/15/2018,1
7/16/2018,2
7/17/2018,3
7/18/2018,4
7/19/2018,-1
7/20/2018,1
7/21/2018,2
7/22/2018,3
7/23/2018,4
7/24/2018,5
7/25/2018,6
7/26/2018,7
7/27/2018,8
7/28/2018,-1
7/29/2018,-2
7/30/2018,1
7/31/2018,-1
8/1/2018,-2
8/2/2018,-3
8/3/2018,1
8/4/2018,2
8/5/2018,3
8/6/2018,4
8/7/2018,5
8/8/2018,6
8/9/2018,7
8/10/2018,8
8/11/2018,9
8/12/2018,10
8/13/2018,11
8/14/2018,12
8/15/2018,13
8/16/2018,14
8/17/2018,15
8/18/2018,16
8/19/2018,-1
8/20/2018,1
8/21/2018,2
8/22/2018,3
8/23/2018,4
8/24/2018,5
8/25/2018,6
8/26/2018,7
8/27/2018,8
8/28/2018,9
8/29/2018,10
8/30/2018,11
8/31/2018,12
9/1/2018,13
9/2/2018,14
9/3/2018,15
9/4/2018,16
9/5/2018,17
9/6/2018,18
9/7/2018,19
9/8/2018,20
9/9/2018,21
9/10/2018,22
9/11/2018,23
9/12/2018,24
9/13/2018,25
9/14/2018,26
9/15/2018,27
9/16/2018,28
9/17/2018,29
9/18/2018,30
9/19/2018,31
9/20/2018,32
9/21/2018,33
9/22/2018,-1
9/23/2018,1
9/24/2018,2
9/25/2018,3
9/26/2018,4
9/27/2018,5
9/28/2018,6
9/29/2018,7
9/30/2018,-1
10/1/2018,-2
10/2/2018,1
10/3/2018,2
10/4/2018,3
10/5/2018,4
10/6/2018,-1
10/7/2018,-2
10/8/2018,-3
10/9/2018,-4
10/10/2018,-5
10/11/2018,-6
10/12/2018,-7
10/13/2018,-8
10/14/2018,-9
10/15/2018,-10
10/16/2018,-11
10/17/2018,-12
10/18/2018,-13
10/19/2018,-14
10/20/2018,-15
10/21/2018,-16
10/22/2018,-17
10/23/2018,-18
10/24/2018,-19
10/25/2018,-20
10/26/2018,-21
10/27/2018,-22
10/28/2018,-23
10/29/2018,-24
10/30/2018,-25
10/31/2018,-26
11/1/2018,-27
11/2/2018,-28
11/3/2018,-29
11/4/2018,-30
11/5/2018,-31
11/6/2018,-32
11/7/2018,-33
11/8/2018,-34
11/9/2018,-35
11/10/2018,-36
11/11/2018,-37
11/12/2018,-38
11/13/2018,-39
11/14/2018,-40
11/15/2018,-41
11/16/2018,-42
11/17/2018,-43
11/18/2018,-44
11/19/2018,-45
11/20/2018,-46
11/21/2018,-47
11/22/2018,-48
11/23/2018,-49
11/24/2018,-50
11/25/2018,-51
11/26/2018,-52
11/27/2018,-53
11/28/2018,-54
11/29/2018,-55
11/30/2018,-56
12/1/2018,1
12/2/2018,2
12/3/2018,-1
12/4/2018,-2
12/5/2018,1
12/6/2018,-1
12/7/2018,-2
12/8/2018,1
12/9/2018,-1
12/10/2018,1
12/11/2018,2
12/12/2018,-1
12/13/2018,-2
12/14/2018,1
12/15/2018,2
12/16/2018,-1
12/17/2018,1
12/18/2018,-1
12/19/2018,1
12/20/2018,2
12/21/2018,3
12/22/2018,4
12/23/2018,5
12/24/2018,6
12/25/2018,7
12/26/2018,-1
12/27/2018,1
12/28/2018,2
12/29/2018,3
12/30/2018,4
12/31/2018,5
1/1/2019,6
1/2/2019,7
1/3/2019,8
1/4/2019,9
1/5/2019,10
1/6/2019,11
1/7/2019,12
1/8/2019,13
1/9/2019,14
1/10/2019,15
1/11/2019,16
1/12/2019,17
1/13/2019,18
1/14/2019,19
1/15/2019,20
1/16/2019,21
1/17/2019,22
1/18/2019,23
1/19/2019,24
1/20/2019,25
1/21/2019,-1
1/22/2019,1
1/23/2019,2
1/24/2019,3
1/25/2019,4
1/26/2019,5
1/27/2019,6
1/28/2019,7
1/29/2019,8
1/30/2019,9
1/31/2019,10
2/1/2019,11
2/2/2019,12
2/3/2019,13
2/4/2019,14
2/5/2019,15
2/6/2019,16
2/7/2019,17
2/8/2019,18
2/9/2019,19
2/10/2019,20
2/11/2019,21
2/12/2019,22
2/13/2019,23
2/14/2019,24
2/15/2019,25
2/16/2019,26
2/17/2019,27
2/18/2019,28
2/19/2019,29
2/20/2019,30
2/21/2019,31
2/22/2019,32
2/23/2019,33
2/24/2019,34
2/25/2019,35
2/26/2019,36
2/27/2019,37
2/28/2019,38
3/1/2019,39
3/2/2019,40
3/3/2019,41
3/4/2019,42
3/5/2019,43
3/6/2019,44
3/7/2019,45
3/8/2019,46
3/9/2019,47
3/10/2019,-1
3/11/2019,1
3/12/2019,2
3/13/2019,3
3/14/2019,4
3/15/2019,5
3/16/2019,6
3/17/2019,7
3/18/2019,8
3/19/2019,9
3/20/2019,10
3/21/2019,11
3/22/2019,12
3/23/2019,13
3/24/2019,14
3/25/2019,15
3/26/2019,16
3/27/2019,17
3/28/2019,18
3/29/2019,19
3/30/2019,20
3/31/2019,21
4/1/2019,22
4/2/2019,23
4/3/2019,24
4/4/2019,25
4/5/2019,26
4/6/2019,27
4/7/2019,28
4/8/2019,29
4/9/2019,30
4/10/2019,31
4/11/2019,32
4/12/2019,33
4/13/2019,34
4/14/2019,35
4/15/2019,36
4/16/2019,37
4/17/2019,-1
4/18/2019,1
4/19/2019,2
4/20/2019,3
4/21/2019,4
4/22/2019,5
4/23/2019,6
4/24/2019,7
4/25/2019,8
4/26/2019,9
4/27/2019,10
4/28/2019,11
4/29/2019,12
4/30/2019,13
5/1/2019,14
5/2/2019,15
5/3/2019,16
5/4/2019,17
5/5/2019,18
5/6/2019,-1
5/7/2019,1
5/8/2019,2
5/9/2019,3
5/10/2019,4
5/11/2019,5
5/12/2019,6
5/13/2019,7
5/14/2019,8
5/15/2019,9
5/16/2019,10
5/17/2019,11
5/18/2019,12
5/19/2019,13
5/20/2019,14
5/21/2019,15
5/22/2019,16
5/23/2019,17
5/24/2019,18
5/25/2019,19
5/26/2019,20
5/27/2019,21
5/28/2019,22
5/29/2019,23
5/30/2019,24
5/31/2019,25
6/1/2019,26
6/2/2019,27
6/3/2019,28
6/4/2019,29
6/5/2019,30
6/6/2019,31
6/7/2019,32
6/8/2019,33
6/9/2019,34
6/10/2019,35
6/11/2019,36
6/12/2019,37
6/13/2019,38
6/14/2019,39
6/15/2019,40
6/16/2019,41
6/17/2019,42
6/18/2019,43
6/19/2019,44
6/20/2019,45
6/21/2019,46
6/22/2019,47
6/23/2019,48
6/24/2019,49
6/25/2019,50
6/26/2019,51
6/27/2019,52
6/28/2019,53
6/29/2019,54
6/30/2019,55
7/1/2019,56
7/2/2019,57
7/3/2019,58
7/4/2019,59
7/5/2019,60
7/6/2019,61
7/7/2019,62
7/8/2019,63
7/9/2019,64
7/10/2019,65
7/11/2019,66
7/12/2019,67
7/13/2019,68
7/14/2019,69
7/15/2019,70
7/16/2019,71
7/17/2019,72
7/18/2019,73
7/19/2019,74
7/20/2019,75
7/21/2019,76
7/22/2019,77
7/23/2019,78
7/24/2019,79
7/25/2019,80
7/26/2019,81
7/27/2019,82
7/28/2019,83
7/29/2019,84
7/30/2019,85
7/31/2019,86
8/1/2019,87
8/2/2019,88
8/3/2019,89
8/4/2019,-1
8/5/2019,1
8/6/2019,-1
8/7/2019,1
8/8/2019,2
8/9/2019,3
8/10/2019,4
8/11/2019,5
8/12/2019,6
8/13/2019,7
8/14/2019,8
8/15/2019,9
8/16/2019,10
8/17/2019,11
8/18/2019,12
8/19/2019,13
8/20/2019,14
8/21/2019,15
8/22/2019,16
8/23/2019,17
8/24/2019,18
8/25/2019,19
8/26/2019,20
8/27/2019,21
8/28/2019,22
8/29/2019,23
8/30/2019,24
8/31/2019,25
9/1/2019,26
9/2/2019,27
9/3/2019,28
9/4/2019,29
9/5/2019,30
9/6/2019,31
9/7/2019,32
9/8/2019,33
9/9/2019,34
9/10/2019,35
9/11/2019,36
9/12/2019,37
9/13/2019,-1
9/14/2019,1
9/15/2019,2
9/16/2019,3
9/17/2019,4
9/18/2019,5
9/19/2019,6
9/20/2019,7
9/21/2019,8
9/22/2019,9
9/23/2019,10
9/24/2019,11
9/25/2019,12
9/26/2019,13
9/27/2019,14
9/28/2019,15
9/29/2019,16
9/30/2019,17
10/1/2019,18
10/2/2019,19
10/3/2019,20
10/4/2019,21
10/5/2019,22
10/6/2019,23
10/7/2019,24
10/8/2019,25
10/9/2019,26
10/10/2019,27
10/11/2019,28
10/12/2019,29
10/13/2019,30
10/14/2019,31
10/15/2019,32
10/16/2019,33
10/17/2019,34
10/18/2019,35
10/19/2019,36
10/20/2019,37
10/21/2019,38
10/22/2019,39
10/23/2019,40
10/24/2019,41
10/25/2019,42
10/26/2019,43
10/27/2019,44
10/28/2019,45
10/29/2019,46
10/30/2019,47
10/31/2019,48
11/1/2019,49
11/2/2019,50
11/3/2019,51
11/4/2019,52
11/5/2019,53
11/6/2019,54
11/7/2019,55
11/8/2019,56
11/9/2019,57
11/10/2019,-1
11/11/2019,1
11/12/2019,2
11/13/2019,3
11/14/2019,4
11/15/2019,5
11/16/2019,6
11/17/2019,7
11/18/2019,8
11/19/2019,9
11/20/2019,10
11/21/2019,11
11/22/2019,12
11/23/2019,13
11/24/2019,14
11/25/2019,15
11/26/2019,16
11/27/2019,17
11/28/2019,18
11/29/2019,19
11/30/2019,20
12/1/2019,21
12/2/2019,22
12/3/2019,23
12/4/2019,24
12/5/2019,25
12/6/2019,26
12/7/2019,27
12/8/2019,28
12/9/2019,29
12/10/2019,30
12/11/2019,31
12/12/2019,32
12/13/2019,33
12/14/2019,-1
12/15/2019,1
12/16/2019,2
12/17/2019,3
12/18/2019,4
12/19/2019,-1
12/20/2019,1
12/21/2019,2
12/22/2019,3
12/23/2019,4
12/24/2019,5
12/25/2019,6
12/26/2019,7
12/27/2019,8
12/28/2019,9
12/29/2019,10
12/30/2019,11
12/31/2019,12
1/1/2020,13
1/2/2020,-1
1/3/2020,1
1/4/2020,2
1/5/2020,3
1/6/2020,4
1/7/2020,5
1/8/2020,6
1/9/2020,7
1/10/2020,8
1/11/2020,9
1/12/2020,10
1/13/2020,11
1/14/2020,12
1/15/2020,13
1/16/2020,14
1/17/2020,15
1/18/2020,16
1/19/2020,17
1/20/2020,18
1/21/2020,19
1/22/2020,20
1/23/2020,21
1/24/2020,22
1/25/2020,23
1/26/2020,24
1/27/2020,25
1/28/2020,26
1/29/2020,27
1/30/2020,28
1/31/2020,29
2/1/2020,30
2/2/2020,31
2/3/2020,32
2/4/2020,33
2/5/2020,-1
2/6/2020,-2
2/7/2020,1
2/8/2020,2
2/9/2020,3
2/10/2020,4
2/11/2020,5
2/12/2020,6
2/13/2020,7
2/14/2020,8
2/15/2020,9
2/16/2020,10
2/17/2020,11
2/18/2020,12
2/19/2020,13
2/20/2020,14
2/21/2020,15
2/22/2020,16
2/23/2020,17
2/24/2020,18
2/25/2020,19
2/26/2020,20
2/27/2020,21
2/28/2020,-1
2/29/2020,1
3/1/2020,2
