Date,Open,High,Low,Close
3/7/2018,174.940002,175.850006,174.270004,175.029999
3/8/2018,175.479996,177.119995,175.070007,176.940002
3/9/2018,177.960007,180,177.389999,179.979996
3/12/2018,180.289993,182.389999,180.210007,181.720001
3/13/2018,182.589996,183.5,179.240005,179.970001
3/14/2018,180.320007,180.520004,177.809998,178.440002
3/15/2018,178.5,180.240005,178.070007,178.649994
3/16/2018,178.649994,179.119995,177.619995,178.020004
3/19/2018,177.320007,177.470001,173.660004,175.300003
3/20/2018,175.240005,176.800003,174.940002,175.240005
3/21/2018,175.039993,175.089996,171.259995,171.270004
3/22/2018,170,172.679993,168.600006,168.850006
3/23/2018,168.389999,169.919998,164.940002,164.940002
3/26/2018,168.070007,173.100006,166.440002,172.770004
3/27/2018,173.679993,175.149994,166.919998,168.339996
3/28/2018,167.25,170.020004,165.190002,166.479996
3/29/2018,167.809998,171.75,166.899994,167.779999
4/2/2018,166.639999,168.940002,164.470001,166.679993
4/3/2018,167.639999,168.75,164.880005,168.389999
4/4/2018,164.880005,172.009995,164.770004,171.610001
4/5/2018,172.580002,174.229996,172.080002,172.800003
4/6/2018,170.970001,172.479996,168.199997,168.380005
4/9/2018,169.880005,173.089996,169.850006,170.050003
4/10/2018,173,174,171.529999,173.25
4/11/2018,172.229996,173.919998,171.699997,172.440002
4/12/2018,173.410004,175,173.039993,174.139999
4/13/2018,174.779999,175.839996,173.850006,174.729996
4/16/2018,175.029999,176.190002,174.830002,175.820007
4/17/2018,176.490005,178.940002,176.410004,178.240005
4/18/2018,177.809998,178.820007,176.880005,177.839996
4/19/2018,173.759995,175.389999,172.660004,172.800003
4/20/2018,170.600006,171.220001,165.429993,165.720001
4/23/2018,166.830002,166.919998,164.089996,165.240005
4/24/2018,165.669998,166.330002,161.220001,162.940002
4/25/2018,162.619995,165.419998,162.410004,163.649994
4/26/2018,164.119995,165.729996,163.369995,164.220001
4/27/2018,164,164.330002,160.630005,162.320007
4/30/2018,162.130005,167.259995,161.839996,165.259995
5/1/2018,166.410004,169.199997,165.270004,169.100006
5/2/2018,175.229996,177.75,173.800003,176.570007
5/3/2018,175.880005,177.5,174.440002,176.889999
5/4/2018,178.25,184.25,178.169998,183.830002
5/7/2018,185.179993,187.669998,184.75,185.160004
5/8/2018,184.990005,186.220001,183.669998,186.050003
5/9/2018,186.550003,187.399994,185.220001,187.360001
5/10/2018,187.740005,190.369995,187.649994,190.039993
5/11/2018,189.490005,190.059998,187.449997,188.589996
