Line,Attribute,Value
39, After 2004,0
40,Training date,1.01692E+12
40, Miles for training run,6
40, Training time,2833020
40, Shoe brand,0
40, Running pace per mile,472140
40, Short or long,0
40, After 2004,0
41,Training date,1.0171E+12
41, Miles for training run,5
41, Training time,2335020
41, Shoe brand,0
41, Running pace per mile,466980
41, Short or long,1
41, After 2004,0
42,Training date,1.01718E+12
42, Miles for training run,4
42, Training time,2173020
42, Shoe brand,0
42, Running pace per mile,543240
42, Short or long,1
42, After 2004,0
43,Training date,1.01761E+12
43, Miles for training run,5
43, Training time,2379000
43, Shoe brand,0
43, Running pace per mile,475800
43, Short or long,1
43, After 2004,0
44,Training date,1.01796E+12
44, Miles for training run,5
44, Training time,2418000
44, Shoe brand,0
44, Running pace per mile,483600
44, Short or long,1
44, After 2004,0
45,Training date,1.01804E+12
45, Miles for training run,6
45, Training time,2865000
45, Shoe brand,0
45, Running pace per mile,477480
45, Short or long,0
45, After 2004,0
46,Training date,1.01813E+12
46, Miles for training run,5
46, Training time,2329980
46, Shoe brand,0
46, Running pace per mile,466020
46, Short or long,1
46, After 2004,0
47,Training date,1.01822E+12
47, Miles for training run,5
47, Training time,2182980
47, Shoe brand,0
47, Running pace per mile,436620
47, Short or long,1
47, After 2004,0
48,Training date,1.0183E+12
48, Miles for training run,4
48, Training time,1765020
48, Shoe brand,0
48, Running pace per mile,441240
48, Short or long,1
48, After 2004,0
49,Training date,1.01839E+12
49, Miles for training run,6
49, Training time,2821980
49, Shoe brand,0
49, Running pace per mile,470340
49, Short or long,0
49, After 2004,0
50,Training date,1.01856E+12
50, Miles for training run,5
50, Training time,2191020
50, Shoe brand,0
50, Running pace per mile,438180
50, Short or long,1
50, After 2004,0
51,Training date,1.01865E+12
51, Miles for training run,5
51, Training time,2223000
51, Shoe brand,0
51, Running pace per mile,444600
51, Short or long,1
51, After 2004,0
52,Training date,1.01874E+12
52, Miles for training run,4
52, Training time,1818000
52, Shoe brand,0
52, Running pace per mile,454500
52, Short or long,1
52, After 2004,0
53,Training date,1.01882E+12
53, Miles for training run,5
53, Training time,2230980
53, Shoe brand,0
53, Running pace per mile,446220
53, Short or long,1
53, After 2004,0
54,Training date,1.01891E+12
54, Miles for training run,4
54, Training time,1819020
54, Shoe brand,0
54, Running pace per mile,454740
54, Short or long,1
54, After 2004,0
55,Training date,1.01899E+12
55, Miles for training run,6
55, Training time,2790000
55, Shoe brand,0
55, Running pace per mile,465000
55, Short or long,0
55, After 2004,0
56,Training date,1.01925E+12
56, Miles for training run,5
56, Training time,2250000
56, Shoe brand,0
56, Running pace per mile,450000
56, Short or long,1
56, After 2004,0
57,Training date,1.01934E+12
57, Miles for training run,5
57, Training time,2271000
57, Shoe brand,0
57, Running pace per mile,454200
57, Short or long,1
57, After 2004,0
58,Training date,1.01943E+12
58, Miles for training run,4
58, Training time,1900020
58, Shoe brand,0
58, Running pace per mile,475020
58, Short or long,1
58, After 2004,0
59,Training date,1.0196E+12
59, Miles for training run,6
59, Training time,2851020
59, Shoe brand,0
59, Running pace per mile,475140
59, Short or long,0
59, After 2004,0
60,Training date,1.01977E+12
60, Miles for training run,5
60, Training time,2301000
60, Shoe brand,0
60, Running pace per mile,460200
60, Short or long,1
60, After 2004,0
61,Training date,1.01986E+12
61, Miles for training run,5.5
61, Training time,2823000
61, Shoe brand,0
61, Running pace per mile,513300
61, Short or long,0
61, After 2004,0
62,Training date,1.01994E+12
62, Miles for training run,5
62, Training time,2188020
62, Shoe brand,0
62, Running pace per mile,437580
62, Short or long,1
62, After 2004,0
63,Training date,1.02012E+12
63, Miles for training run,5
63, Training time,2284980
63, Shoe brand,0
63, Running pace per mile,457020
63, Short or long,1
63, After 2004,0
64,Training date,1.0202E+12
64, Miles for training run,8
64, Training time,3811980
64, Shoe brand,0
64, Running pace per mile,476520
64, Short or long,0
64, After 2004,0
65,Training date,1.02029E+12
65, Miles for training run,5
65, Training time,2295000
65, Shoe brand,0
65, Running pace per mile,459000
65, Short or long,1
65, After 2004,0
66,Training date,1.02038E+12
66, Miles for training run,5
66, Training time,2325000
66, Shoe brand,0
66, Running pace per mile,465000
66, Short or long,1
66, After 2004,0
67,Training date,1.02046E+12
67, Miles for training run,5
67, Training time,2211000
67, Shoe brand,0
67, Running pace per mile,442200
67, Short or long,1
67, After 2004,0
68,Training date,1.02055E+12
68, Miles for training run,3
68, Training time,1327020
68, Shoe brand,0
68, Running pace per mile,442320
68, Short or long,1
68, After 2004,0
69,Training date,1.02064E+12
69, Miles for training run,5
69, Training time,2251020
69, Shoe brand,0
69, Running pace per mile,450180
69, Short or long,1
69, After 2004,0
70,Training date,1.02072E+12
70, Miles for training run,8
70, Training time,3598020
70, Shoe brand,0
70, Running pace per mile,449760
70, Short or long,0
70, After 2004,0
71,Training date,1.0209E+12
71, Miles for training run,5
71, Training time,2151000
71, Shoe brand,0
71, Running pace per mile,430200
71, Short or long,1
71, After 2004,0
72,Training date,1.02098E+12
72, Miles for training run,5
72, Training time,2230980
72, Shoe brand,0
72, Running pace per mile,446220
72, Short or long,1
72, After 2004,0
73,Training date,1.02107E+12
73, Miles for training run,5
73, Training time,2290980
73, Shoe brand,0
73, Running pace per mile,458220
73, Short or long,1
73, After 2004,0
74,Training date,1.02124E+12
74, Miles for training run,5
74, Training time,2155020
74, Shoe brand,0
74, Running pace per mile,430980
74, Short or long,1
74, After 2004,0
75,Training date,1.02141E+12
75, Miles for training run,8
75, Training time,3814980
75, Shoe brand,0
75, Running pace per mile,476880
75, Short or long,0
75, After 2004,0
76,Training date,1.0215E+12
76, Miles for training run,5
76, Training time,2253000
76, Shoe brand,0
76, Running pace per mile,450600
76, Short or long,1
76, After 2004,0
77,Training date,1.02159E+12
77, Miles for training run,5
77, Training time,2314980
77, Shoe brand,0
77, Running pace per mile,463020
77, Short or long,1
77, After 2004,0
78,Training date,1.02167E+12
78, Miles for training run,5
78, Training time,2305020
78, Shoe brand,0
78, Running pace per mile,460980
78, Short or long,1
78, After 2004,0
79,Training date,1.02176E+12
79, Miles for training run,4
79, Training time,1900020
79, Shoe brand,0
79, Running pace per mile,475020
79, Short or long,1
79, After 2004,0
80,Training date,1.02193E+12
80, Miles for training run,8
80, Training time,3649980
80, Shoe brand,0
80, Running pace per mile,456240
80, Short or long,0
80, After 2004,0
81,Training date,1.0221E+12
81, Miles for training run,5
81, Training time,2134980
81, Shoe brand,0
81, Running pace per mile,427020
81, Short or long,1
81, After 2004,0
82,Training date,1.02219E+12
82, Miles for training run,5
82, Training time,2220000
82, Shoe brand,0
82, Running pace per mile,444000
82, Short or long,1
82, After 2004,0
83,Training date,1.02236E+12
83, Miles for training run,5
83, Training time,2203020
83, Shoe brand,0
83, Running pace per mile,440580
83, Short or long,1
83, After 2004,0
84,Training date,1.02254E+12
84, Miles for training run,8
84, Training time,3634980
84, Shoe brand,0
84, Running pace per mile,454380
84, Short or long,0
84, After 2004,0
85,Training date,1.02271E+12
85, Miles for training run,5
85, Training time,2200980
85, Shoe brand,0
85, Running pace per mile,440220
85, Short or long,1
85, After 2004,0
86,Training date,1.02288E+12
86, Miles for training run,5
86, Training time,2256000
86, Shoe brand,0
86, Running pace per mile,451200
86, Short or long,1
86, After 2004,0
87,Training date,1.02297E+12
87, Miles for training run,4
87, Training time,1825980
87, Shoe brand,0
87, Running pace per mile,456480
87, Short or long,1
87, After 2004,0
88,Training date,1.02306E+12
88, Miles for training run,5
88, Training time,2289000
88, Shoe brand,0
88, Running pace per mile,457800
88, Short or long,1
88, After 2004,0
89,Training date,1.02323E+12
89, Miles for training run,8
89, Training time,3549000
89, Shoe brand,0
89, Running pace per mile,443640
89, Short or long,0
89, After 2004,0
90,Training date,1.0234E+12
90, Miles for training run,5
90, Training time,2194980
90, Shoe brand,0
90, Running pace per mile,439020
90, Short or long,1
90, After 2004,0
91,Training date,1.02349E+12
91, Miles for training run,5
91, Training time,2224980
91, Shoe brand,0
91, Running pace per mile,445020
91, Short or long,1
91, After 2004,0
92,Training date,1.02357E+12
92, Miles for training run,5
92, Training time,2269980
92, Shoe brand,0
92, Running pace per mile,454020
92, Short or long,1
92, After 2004,0
93,Training date,1.02366E+12
93, Miles for training run,4
93, Training time,1828980
93, Shoe brand,0
93, Running pace per mile,457260
93, Short or long,1
93, After 2004,0
94,Training date,1.02383E+12
94, Miles for training run,3.5
94, Training time,1510020
94, Shoe brand,0
94, Running pace per mile,431400
94, Short or long,1
94, After 2004,0
95,Training date,1.02401E+12
95, Miles for training run,5
95, Training time,2127000
95, Shoe brand,0
95, Running pace per mile,425400
95, Short or long,1
95, After 2004,0
96,Training date,1.02409E+12
96, Miles for training run,5
96, Training time,2182020
96, Shoe brand,0
96, Running pace per mile,436380
96, Short or long,1
96, After 2004,0
97,Training date,1.02418E+12
97, Miles for training run,5
97, Training time,2269020
97, Shoe brand,0
97, Running pace per mile,453780
97, Short or long,1
97, After 2004,0
98,Training date,1.02435E+12
98, Miles for training run,4
98, Training time,1765020
98, Shoe brand,0
98, Running pace per mile,441240
98, Short or long,1
98, After 2004,0
99,Training date,1.02444E+12
99, Miles for training run,8
99, Training time,3586020
99, Shoe brand,0
99, Running pace per mile,448260
99, Short or long,0
99, After 2004,0
100,Training date,1.02461E+12
100, Miles for training run,5
100, Training time,2125020
100, Shoe brand,0
100, Running pace per mile,424980
100, Short or long,1
100, After 2004,0
101,Training date,1.0247E+12
101, Miles for training run,5
101, Training time,2275980
101, Shoe brand,0
101, Running pace per mile,455220
101, Short or long,1
101, After 2004,0
102,Training date,1.02478E+12
102, Miles for training run,4
102, Training time,1821000
102, Shoe brand,0
102, Running pace per mile,455280
102, Short or long,1
102, After 2004,0
103,Training date,1.02487E+12
103, Miles for training run,5
103, Training time,2286000
103, Shoe brand,0
103, Running pace per mile,457200
103, Short or long,1
103, After 2004,0
104,Training date,1.02496E+12
104, Miles for training run,4
104, Training time,1818000
104, Shoe brand,0
104, Running pace per mile,454500
104, Short or long,1
104, After 2004,0
105,Training date,1.02504E+12
105, Miles for training run,7
105, Training time,3262980
105, Shoe brand,0
105, Running pace per mile,466140
105, Short or long,0
105, After 2004,0
106,Training date,1.02522E+12
106, Miles for training run,5
106, Training time,2176020
106, Shoe brand,0
106, Running pace per mile,435180
106, Short or long,1
106, After 2004,0
107,Training date,1.0253E+12
107, Miles for training run,5
107, Training time,2316000
107, Shoe brand,0
107, Running pace per mile,463200
107, Short or long,1
107, After 2004,0
108,Training date,1.02547E+12
108, Miles for training run,6
108, Training time,2800980
108, Shoe brand,0
108, Running pace per mile,466860
108, Short or long,0
108, After 2004,0
109,Training date,1.02547E+12
109, Miles for training run,4
109, Training time,1800000
109, Shoe brand,0
109, Running pace per mile,450000
109, Short or long,1
109, After 2004,0
110,Training date,1.02556E+12
110, Miles for training run,8
110, Training time,3724020
110, Shoe brand,0
110, Running pace per mile,465480
110, Short or long,0
110, After 2004,0
111,Training date,1.02573E+12
111, Miles for training run,5
111, Training time,2269980
111, Shoe brand,0
111, Running pace per mile,454020
111, Short or long,1
111, After 2004,0
112,Training date,1.02591E+12
112, Miles for training run,6
112, Training time,2689980
112, Shoe brand,0
112, Running pace per mile,448320
112, Short or long,0
112, After 2004,0
113,Training date,1.02599E+12
113, Miles for training run,5
113, Training time,2193000
113, Shoe brand,0
113, Running pace per mile,438600
113, Short or long,1
113, After 2004,0
114,Training date,1.02608E+12
114, Miles for training run,5
114, Training time,2247000
114, Shoe brand,0
114, Running pace per mile,449400
114, Short or long,1
114, After 2004,0
115,Training date,1.02617E+12
115, Miles for training run,8
115, Training time,3807000
115, Shoe brand,0
115, Running pace per mile,475860
115, Short or long,0
115, After 2004,0
116,Training date,1.02634E+12
116, Miles for training run,5
116, Training time,2169000
116, Shoe brand,0
116, Running pace per mile,433800
116, Short or long,1
116, After 2004,0
117,Training date,1.02642E+12
117, Miles for training run,5
117, Training time,2274000
117, Shoe brand,0
117, Running pace per mile,454800
117, Short or long,1
117, After 2004,0
118,Training date,1.02651E+12
118, Miles for training run,6
118, Training time,2695020
118, Shoe brand,0
118, Running pace per mile,449160
118, Short or long,0
118, After 2004,0
119,Training date,1.0266E+12
119, Miles for training run,6
119, Training time,2811000
119, Shoe brand,0
119, Running pace per mile,468480
119, Short or long,0
119, After 2004,0
120,Training date,1.02668E+12
120, Miles for training run,4
120, Training time,1768020
120, Shoe brand,0
120, Running pace per mile,442020
120, Short or long,1
120, After 2004,0
121,Training date,1.02677E+12
121, Miles for training run,8
121, Training time,3564000
121, Shoe brand,0
121, Running pace per mile,445500
121, Short or long,0
121, After 2004,0
122,Training date,1.02694E+12
122, Miles for training run,5
122, Training time,2190000
122, Shoe brand,0
122, Running pace per mile,438000
122, Short or long,1
122, After 2004,0
123,Training date,1.02703E+12
123, Miles for training run,6
123, Training time,2809980
123, Shoe brand,0
123, Running pace per mile,468360
123, Short or long,0
123, After 2004,0
124,Training date,1.02712E+12
124, Miles for training run,5
124, Training time,2325000
124, Shoe brand,0
124, Running pace per mile,465000
124, Short or long,1
124, After 2004,0
125,Training date,1.0272E+12
125, Miles for training run,4
125, Training time,1870980
125, Shoe brand,0
125, Running pace per mile,467760
125, Short or long,1
125, After 2004,0
126,Training date,1.02729E+12
126, Miles for training run,5.2
126, Training time,2404020
126, Shoe brand,0
126, Running pace per mile,462300
126, Short or long,0
126, After 2004,0
127,Training date,1.02738E+12
127, Miles for training run,10
127, Training time,4855020
127, Shoe brand,0
127, Running pace per mile,485520
127, Short or long,0
127, After 2004,0
128,Training date,1.02755E+12
128, Miles for training run,5
128, Training time,2299980
128, Shoe brand,0
128, Running pace per mile,460020
128, Short or long,1
128, After 2004,0
129,Training date,1.02763E+12
129, Miles for training run,7
129, Training time,3378000
129, Shoe brand,0
129, Running pace per mile,482580
129, Short or long,0
129, After 2004,0
130,Training date,1.02772E+12
130, Miles for training run,5
130, Training time,2242980
130, Shoe brand,0
130, Running pace per mile,448620
130, Short or long,1
130, After 2004,0
131,Training date,1.02781E+12
131, Miles for training run,5
131, Training time,2259000
131, Shoe brand,0
131, Running pace per mile,451800
131, Short or long,1
131, After 2004,0
132,Training date,1.02798E+12
132, Miles for training run,8
132, Training time,3718980
132, Shoe brand,0
132, Running pace per mile,464880
132, Short or long,0
132, After 2004,0
133,Training date,1.02824E+12
133, Miles for training run,5
133, Training time,2299020
133, Shoe brand,0
133, Running pace per mile,459780
133, Short or long,1
133, After 2004,0
134,Training date,1.02833E+12
134, Miles for training run,8
134, Training time,3777000
134, Shoe brand,0
134, Running pace per mile,472140
134, Short or long,0
134, After 2004,0
135,Training date,1.02841E+12
135, Miles for training run,4
135, Training time,1804020
135, Shoe brand,0
135, Running pace per mile,451020
135, Short or long,1
135, After 2004,0
136,Training date,1.0285E+12
136, Miles for training run,6
136, Training time,2700000
136, Shoe brand,0
136, Running pace per mile,450000
136, Short or long,0
136, After 2004,0
137,Training date,1.02858E+12
137, Miles for training run,3
137, Training time,1290000
137, Shoe brand,0
137, Running pace per mile,430020
137, Short or long,1
137, After 2004,0
138,Training date,1.02867E+12
138, Miles for training run,12
138, Training time,5587020
138, Shoe brand,0
138, Running pace per mile,465600
138, Short or long,0
138, After 2004,0
139,Training date,1.02884E+12
139, Miles for training run,6
139, Training time,2731980
139, Shoe brand,0
139, Running pace per mile,455340
139, Short or long,0
139, After 2004,0
140,Training date,1.02893E+12
140, Miles for training run,8
140, Training time,3597000
140, Shoe brand,0
140, Running pace per mile,449640
140, Short or long,0
140, After 2004,0
141,Training date,1.02902E+12
141, Miles for training run,4
141, Training time,1776000
141, Shoe brand,0
141, Running pace per mile,444000
141, Short or long,1
141, After 2004,0
142,Training date,1.0291E+12
142, Miles for training run,6
142, Training time,2680020
142, Shoe brand,0
142, Running pace per mile,446640
142, Short or long,0
142, After 2004,0
143,Training date,1.02919E+12
143, Miles for training run,3
143, Training time,1339980
143, Shoe brand,0
143, Running pace per mile,446640
143, Short or long,1
143, After 2004,0
144,Training date,1.02928E+12
144, Miles for training run,14.4
144, Training time,6766020
144, Shoe brand,0
144, Running pace per mile,469860
144, Short or long,0
144, After 2004,0
145,Training date,1.02945E+12
145, Miles for training run,6
145, Training time,2790000
145, Shoe brand,0
145, Running pace per mile,465000
145, Short or long,0
145, After 2004,0
146,Training date,1.02962E+12
146, Miles for training run,9
146, Training time,4102980
146, Shoe brand,0
146, Running pace per mile,455880
146, Short or long,0
146, After 2004,0
147,Training date,1.02971E+12
147, Miles for training run,7
147, Training time,3240000
147, Shoe brand,0
147, Running pace per mile,462840
147, Short or long,0
147, After 2004,0
148,Training date,1.02979E+12
148, Miles for training run,4
148, Training time,1831980
148, Shoe brand,0
148, Running pace per mile,457980
148, Short or long,1
148, After 2004,0
149,Training date,1.02988E+12
149, Miles for training run,16
149, Training time,7486980
149, Shoe brand,0
149, Running pace per mile,467940
149, Short or long,0
149, After 2004,0
150,Training date,1.03005E+12
150, Miles for training run,7
150, Training time,3108000
150, Shoe brand,0
150, Running pace per mile,444000
150, Short or long,0
150, After 2004,0
151,Training date,1.03014E+12
151, Miles for training run,10
151, Training time,4840020
151, Shoe brand,0
151, Running pace per mile,484020
151, Short or long,0
151, After 2004,0
152,Training date,1.03023E+12
152, Miles for training run,5
152, Training time,2211000
152, Shoe brand,0
152, Running pace per mile,442200
152, Short or long,1
152, After 2004,0
153,Training date,1.03031E+12
153, Miles for training run,7
153, Training time,3252000
153, Shoe brand,0
153, Running pace per mile,464580
153, Short or long,0
153, After 2004,0
154,Training date,1.0304E+12
154, Miles for training run,4
154, Training time,1771020
154, Shoe brand,0
154, Running pace per mile,442740
154, Short or long,1
154, After 2004,0
155,Training date,1.03049E+12
155, Miles for training run,12
155, Training time,5892000
155, Shoe brand,0
155, Running pace per mile,490980
155, Short or long,0
155, After 2004,0
156,Training date,1.03066E+12
156, Miles for training run,7
156, Training time,3271020
156, Shoe brand,0
156, Running pace per mile,467280
156, Short or long,0
156, After 2004,0
157,Training date,1.03074E+12
157, Miles for training run,10
157, Training time,4782000
157, Shoe brand,0
157, Running pace per mile,478200
157, Short or long,0
157, After 2004,0
158,Training date,1.03083E+12
158, Miles for training run,5
158, Training time,2214000
158, Shoe brand,0
158, Running pace per mile,442800
158, Short or long,1
158, After 2004,0
159,Training date,1.03092E+12
159, Miles for training run,7
159, Training time,3322020
159, Shoe brand,0
159, Running pace per mile,474600
159, Short or long,0
159, After 2004,0
160,Training date,1.031E+12
160, Miles for training run,4
160, Training time,1789020
160, Shoe brand,0
160, Running pace per mile,447240
160, Short or long,1
160, After 2004,0
161,Training date,1.03109E+12
161, Miles for training run,14.4
161, Training time,7501980
161, Shoe brand,0
161, Running pace per mile,520980
161, Short or long,0
161, After 2004,0
162,Training date,1.03126E+12
162, Miles for training run,7
162, Training time,3046020
162, Shoe brand,0
162, Running pace per mile,435120
162, Short or long,0
162, After 2004,0
163,Training date,1.03135E+12
163, Miles for training run,10
163, Training time,4608000
163, Shoe brand,0
163, Running pace per mile,460800
163, Short or long,0
163, After 2004,0
164,Training date,1.03144E+12
164, Miles for training run,6
164, Training time,2773020
164, Shoe brand,0
164, Running pace per mile,462180
164, Short or long,0
164, After 2004,0
165,Training date,1.03152E+12
165, Miles for training run,8
165, Training time,3640980
165, Shoe brand,0
165, Running pace per mile,455100
165, Short or long,0
165, After 2004,0
166,Training date,1.03161E+12
166, Miles for training run,5
166, Training time,2472000
166, Shoe brand,0
166, Running pace per mile,494400
166, Short or long,1
166, After 2004,0
167,Training date,1.0317E+12
167, Miles for training run,14.2
167, Training time,6757020
167, Shoe brand,0
167, Running pace per mile,475860
167, Short or long,0
167, After 2004,0
168,Training date,1.03187E+12
168, Miles for training run,7
168, Training time,3204000
168, Shoe brand,0
168, Running pace per mile,457740
168, Short or long,0
168, After 2004,0
169,Training date,1.03195E+12
169, Miles for training run,10.2
169, Training time,4924020
169, Shoe brand,0
169, Running pace per mile,482760
169, Short or long,0
169, After 2004,0
170,Training date,1.03204E+12
170, Miles for training run,6.2
170, Training time,2827980
170, Shoe brand,0
170, Running pace per mile,456120
170, Short or long,0
170, After 2004,0
171,Training date,1.03213E+12
171, Miles for training run,7
171, Training time,3249000
171, Shoe brand,0
171, Running pace per mile,464160
171, Short or long,0
171, After 2004,0
172,Training date,1.03221E+12
172, Miles for training run,5
172, Training time,2230020
172, Shoe brand,0
172, Running pace per mile,445980
172, Short or long,1
172, After 2004,0
173,Training date,1.0323E+12
173, Miles for training run,20.4
173, Training time,10336980
173, Shoe brand,0
173, Running pace per mile,506700
173, Short or long,0
173, After 2004,0
174,Training date,1.03247E+12
174, Miles for training run,7
174, Training time,3193980
174, Shoe brand,0
174, Running pace per mile,456300
174, Short or long,0
174, After 2004,0
175,Training date,1.03256E+12
175, Miles for training run,10
175, Training time,4753020
175, Shoe brand,0
175, Running pace per mile,475320
175, Short or long,0
175, After 2004,0
176,Training date,1.03265E+12
176, Miles for training run,6
176, Training time,2854980
176, Shoe brand,0
176, Running pace per mile,475860
176, Short or long,0
176, After 2004,0
177,Training date,1.03282E+12
177, Miles for training run,8
177, Training time,3607020
177, Shoe brand,0
177, Running pace per mile,450900
177, Short or long,0
177, After 2004,0
178,Training date,1.0329E+12
178, Miles for training run,14.4
178, Training time,7000020
178, Shoe brand,0
178, Running pace per mile,486120
178, Short or long,0
178, After 2004,0
179,Training date,1.03308E+12
179, Miles for training run,7
179, Training time,3180000
179, Shoe brand,0
179, Running pace per mile,454260
179, Short or long,0
179, After 2004,0
180,Training date,1.03316E+12
180, Miles for training run,8
180, Training time,3750000
180, Shoe brand,0
180, Running pace per mile,468780
180, Short or long,0
180, After 2004,0
181,Training date,1.03325E+12
181, Miles for training run,8
181, Training time,3810000
181, Shoe brand,0
181, Running pace per mile,476280
181, Short or long,0
181, After 2004,0
182,Training date,1.03334E+12
