date,value
5/25/1998,14176
5/26/1998,14837
5/27/1998,14670
5/28/1998,14663
5/29/1998,14724
5/30/1998,12987
5/31/1998,13651
6/1/1998,14640
6/2/1998,14633
6/3/1998,14737
6/4/1998,14693
6/5/1998,14846
6/6/1998,13285
6/7/1998,14267
6/8/1998,14895
6/9/1998,14862
6/10/1998,14670
6/11/1998,14617
6/12/1998,14862
6/13/1998,12904
6/14/1998,14255
6/15/1998,14810
6/16/1998,14486
6/17/1998,14754
6/18/1998,14747
6/19/1998,14574
6/20/1998,13498
6/21/1998,14293
6/22/1998,14864
6/23/1998,14668
6/24/1998,14837
6/25/1998,14917
6/26/1998,14594
6/27/1998,13144
6/28/1998,14243
6/29/1998,14719
6/30/1998,14243
7/1/1998,14843
7/2/1998,14984
7/3/1998,13360
7/4/1998,12317
7/5/1998,14307
7/6/1998,15023
7/7/1998,14881
7/8/1998,14848
7/9/1998,15016
7/10/1998,15046
7/11/1998,13588
7/12/1998,14442
7/13/1998,15066
7/14/1998,15007
7/15/1998,14982
7/16/1998,15008
7/17/1998,15049
7/18/1998,13589
7/19/1998,14484
7/20/1998,14908
7/21/1998,14765
7/22/1998,14795
7/23/1998,14876
7/24/1998,15036
7/25/1998,13589
7/26/1998,14470
7/27/1998,15007
7/28/1998,14997
7/29/1998,14835
7/30/1998,14876
7/31/1998,15105
8/1/1998,13630
8/2/1998,14387
8/3/1998,15022
8/4/1998,14717
8/5/1998,15013
8/6/1998,15080
8/7/1998,15094
8/8/1998,13666
8/9/1998,14540
8/10/1998,14584
8/11/1998,14961
8/12/1998,15048
8/13/1998,15176
8/14/1998,15224
8/15/1998,13726
8/16/1998,14559
8/17/1998,14923
8/18/1998,14790
8/19/1998,15017
8/20/1998,15171
8/21/1998,15194
8/22/1998,13671
8/23/1998,14565
8/24/1998,14586
8/25/1998,14854
8/26/1998,14908
8/27/1998,15017
8/28/1998,14975
8/29/1998,12345
8/30/1998,13135
8/31/1998,13606
9/1/1998,13593
9/2/1998,13545
9/3/1998,13648
9/4/1998,13737
9/5/1998,11370
9/6/1998,11095
9/7/1998,12942
9/8/1998,13669
9/9/1998,13550
9/10/1998,13577
9/11/1998,13644
9/12/1998,12009
9/13/1998,12975
9/14/1998,13590
9/15/1998,13491
9/16/1998,13995
9/17/1998,14120
9/18/1998,14363
9/19/1998,12728
9/20/1998,14051
9/21/1998,14851
9/22/1998,14882
9/23/1998,14963
9/24/1998,14929
9/25/1998,14444
9/26/1998,12975
9/27/1998,13918
9/28/1998,14732
9/29/1998,14732
9/30/1998,14890
10/1/1998,14858
10/2/1998,14743
10/3/1998,12941
10/4/1998,14209
10/5/1998,14103
10/6/1998,14590
10/7/1998,14944
10/8/1998,15010
10/9/1998,15003
10/10/1998,13162
10/11/1998,14245
10/12/1998,14952
10/13/1998,14995
10/14/1998,14985
10/15/1998,15011
10/16/1998,15072
10/17/1998,13015
10/18/1998,14278
10/19/1998,15014
10/20/1998,14979
10/21/1998,14977
10/22/1998,15022
10/23/1998,15106
10/24/1998,13045
10/25/1998,14256
10/26/1998,15001
10/27/1998,14905
10/28/1998,14920
10/29/1998,14925
10/30/1998,14972
10/31/1998,12901
11/1/1998,14136
11/2/1998,14778
11/3/1998,14843
11/4/1998,14917
11/5/1998,14977
11/6/1998,15024
11/7/1998,12908
11/8/1998,14220
11/9/1998,14859
11/10/1998,14240
11/11/1998,14835
11/12/1998,15002
11/13/1998,15066
11/14/1998,12986
11/15/1998,14315
11/16/1998,14844
11/17/1998,14827
11/18/1998,14913
11/19/1998,14994
11/20/1998,15100
11/21/1998,13056
11/22/1998,14269
11/23/1998,14916
11/24/1998,15098
11/25/1998,15192
11/26/1998,11176
11/27/1998,11766
11/28/1998,13272
11/29/1998,14557
11/30/1998,15023
12/1/1998,15024
12/2/1998,14756
12/3/1998,14967
12/4/1998,15009
12/5/1998,12969
12/6/1998,14158
12/7/1998,14901
12/8/1998,14809
12/9/1998,14817
12/10/1998,14980
12/11/1998,15049
12/12/1998,13036
12/13/1998,14107
12/14/1998,14927
12/15/1998,15046
12/16/1998,14998
12/17/1998,15107
12/18/1998,15130
12/19/1998,13157
12/20/1998,14205
12/21/1998,14823
12/22/1998,14954
12/23/1998,13969
12/24/1998,13368
12/25/1998,12312
12/26/1998,13095
12/27/1998,13999
12/28/1998,14667
12/29/1998,14624
12/30/1998,14842
12/31/1998,13394
1/1/1999,12680
1/2/1999,10249
1/3/1999,12321
1/4/1999,14306
1/5/1999,14588
1/6/1999,14177
1/7/1999,14477
1/8/1999,12964
1/9/1999,12103
1/10/1999,13985
1/11/1999,14158
1/12/1999,14556
1/13/1999,14121
1/14/1999,13289
1/15/1999,13732
1/16/1999,12581
1/17/1999,13855
1/18/1999,14535
1/19/1999,14718
1/20/1999,14603
1/21/1999,14655
1/22/1999,14085
1/23/1999,11826
1/24/1999,13874
1/25/1999,14846
1/26/1999,14728
1/27/1999,14891
1/28/1999,14810
1/29/1999,14972
1/30/1999,12626
1/31/1999,13960
2/1/1999,14669
2/2/1999,14676
2/3/1999,14980
2/4/1999,14988
2/5/1999,15141
2/6/1999,12766
2/7/1999,13750
2/8/1999,14409
2/9/1999,14262
2/10/1999,14228
2/11/1999,14039
2/12/1999,14283
2/13/1999,12390
2/14/1999,13762
2/15/1999,14932
2/16/1999,15074
2/17/1999,14962
2/18/1999,15005
2/19/1999,15105
2/20/1999,13063
2/21/1999,14346
2/22/1999,15111
2/23/1999,14926
2/24/1999,15075
2/25/1999,14760
2/26/1999,15095
2/27/1999,13108
2/28/1999,14199
3/1/1999,15057
3/2/1999,15020
3/3/1999,14943
3/4/1999,14857
3/5/1999,14829
3/6/1999,12495
3/7/1999,14109
3/8/1999,14055
3/9/1999,13712
3/10/1999,15036
3/11/1999,15144
3/12/1999,15113
3/13/1999,13185
3/14/1999,14036
3/15/1999,14647
3/16/1999,15054
3/17/1999,15141
3/18/1999,15131
3/19/1999,15295
3/20/1999,13270
3/21/1999,14363
3/22/1999,15171
3/23/1999,15193
3/24/1999,15154
3/25/1999,15208
3/26/1999,15328
3/27/1999,13297
3/28/1999,14427
3/29/1999,15262
3/30/1999,15145
3/31/1999,15171
4/1/1999,15190
4/2/1999,14963
4/3/1999,12655
4/4/1999,14243
4/5/1999,15205
4/6/1999,15148
4/7/1999,15170
4/8/1999,15154
4/9/1999,14903
4/10/1999,13115
4/11/1999,14356
4/12/1999,15246
4/13/1999,15206
4/14/1999,15214
4/15/1999,15115
4/16/1999,15163
4/17/1999,13195
4/18/1999,14426
4/19/1999,15279
4/20/1999,15209
4/21/1999,15215
4/22/1999,14552
4/23/1999,14828
4/24/1999,13124
4/25/1999,14414
4/26/1999,14756
4/27/1999,15149
4/28/1999,15186
4/29/1999,15151
4/30/1999,15167
5/1/1999,13185
5/2/1999,14294
5/3/1999,15140
5/4/1999,14763
5/5/1999,14878
5/6/1999,14913
5/7/1999,15112
5/8/1999,13143
5/9/1999,14407
5/10/1999,14788
5/11/1999,15091
5/12/1999,14897
5/13/1999,15147
5/14/1999,15308
5/15/1999,13357
5/16/1999,14448
5/17/1999,14341
5/18/1999,14610
5/19/1999,14884
5/20/1999,15198
5/21/1999,15339
5/22/1999,13279
5/23/1999,14425
5/24/1999,14590
5/25/1999,15089
5/26/1999,15164
5/27/1999,15339
5/28/1999,15399
5/29/1999,12662
5/30/1999,12480
5/31/1999,14527
6/1/1999,15090
6/2/1999,15103
6/3/1999,15318
6/4/1999,15322
6/5/1999,13462
6/6/1999,14601
6/7/1999,15203
6/8/1999,15210
6/9/1999,15234
6/10/1999,14942
6/11/1999,14889
6/12/1999,13148
6/13/1999,14350
6/14/1999,15193
6/15/1999,15259
6/16/1999,15401
6/17/1999,15480
6/18/1999,15516
6/19/1999,13757
6/20/1999,14781
6/21/1999,15482
6/22/1999,15127
6/23/1999,15273
6/24/1999,15458
6/25/1999,15413
6/26/1999,13703
6/27/1999,14735
6/28/1999,15048
6/29/1999,14988
6/30/1999,15305
7/1/1999,15031
7/2/1999,15359
7/3/1999,13308
7/4/1999,12155
7/5/1999,14957
7/6/1999,15068
7/7/1999,15146
7/8/1999,15389
7/9/1999,15308
7/10/1999,13657
7/11/1999,14864
7/12/1999,15452
7/13/1999,15445
7/14/1999,15405
7/15/1999,15518
7/16/1999,15595
7/17/1999,13576
7/18/1999,14716
7/19/1999,15242
7/20/1999,15303
7/21/1999,15225
7/22/1999,15209
7/23/1999,14867
7/24/1999,13421
7/25/1999,14558
7/26/1999,15346
7/27/1999,15390
7/28/1999,15049
7/29/1999,15150
7/30/1999,15162
7/31/1999,13303
8/1/1999,14651
8/2/1999,15433
8/3/1999,15463
8/4/1999,15413
8/5/1999,15428
8/6/1999,15582
8/7/1999,13772
8/8/1999,14889
8/9/1999,15566
8/10/1999,15443
8/11/1999,15459
8/12/1999,15496
8/13/1999,15216
8/14/1999,13486
8/15/1999,14834
8/16/1999,15599
8/17/1999,15502
8/18/1999,15452
8/19/1999,15514
8/20/1999,15458
8/21/1999,13893
8/22/1999,14844
8/23/1999,15412
8/24/1999,15293
8/25/1999,15353
8/26/1999,14788
8/27/1999,15092
8/28/1999,13704
8/29/1999,14776
8/30/1999,15464
8/31/1999,15563
9/1/1999,15605
9/2/1999,15702
9/3/1999,15761
9/4/1999,13125
9/5/1999,12494
9/6/1999,14788
9/7/1999,15588
9/8/1999,15417
9/9/1999,15078
9/10/1999,15375
9/11/1999,13581
9/12/1999,14838
9/13/1999,15539
9/14/1999,14556
9/15/1999,14660
9/16/1999,12625
9/17/1999,14924
9/18/1999,13495
9/19/1999,14783
9/20/1999,15382
9/21/1999,15306
9/22/1999,15366
9/23/1999,15571
9/24/1999,15625
9/25/1999,13518
9/26/1999,14787
9/27/1999,15494
9/28/1999,15259
9/29/1999,15260
9/30/1999,15506
10/1/1999,15659
10/2/1999,13536
10/3/1999,14953
10/4/1999,15216
10/5/1999,15568
10/6/1999,15538
10/7/1999,15739
10/8/1999,15761
10/9/1999,13566
10/10/1999,14878
10/11/1999,15689
10/12/1999,15575
10/13/1999,14995
10/14/1999,15402
10/15/1999,15182
10/16/1999,13356
10/17/1999,14899
10/18/1999,15644
10/19/1999,15620
10/20/1999,15539
10/21/1999,15703
10/22/1999,15698
10/23/1999,13552
10/24/1999,15046
10/25/1999,15697
10/26/1999,15638
10/27/1999,15576
10/28/1999,15686
10/29/1999,15696
10/30/1999,13317
10/31/1999,14619
11/1/1999,15381
11/2/1999,15116
11/3/1999,15405
11/4/1999,15545
11/5/1999,15574
11/6/1999,13467
11/7/1999,14742
11/8/1999,15536
11/9/1999,15587
11/10/1999,15492
11/11/1999,15600
11/12/1999,15617
11/13/1999,13376
11/14/1999,14800
11/15/1999,15459
11/16/1999,15388
11/17/1999,15482
11/18/1999,15652
11/19/1999,15596
11/20/1999,13501
11/21/1999,14809
11/22/1999,15264
11/23/1999,15589
11/24/1999,15790
11/25/1999,11496
11/26/1999,11849
11/27/1999,13772
11/28/1999,15119
11/29/1999,15688
11/30/1999,15627
12/1/1999,15449
12/2/1999,15557
12/3/1999,15573
12/4/1999,13173
12/5/1999,14768
12/6/1999,15483
12/7/1999,15470
12/8/1999,15566
12/9/1999,15502
12/10/1999,15509
12/11/1999,13364
12/12/1999,14777
12/13/1999,15429
12/14/1999,15286
12/15/1999,15276
12/16/1999,15627
12/17/1999,15378
12/18/1999,13522
12/19/1999,14842
12/20/1999,15411
12/21/1999,15581
12/22/1999,15718
12/23/1999,15638
12/24/1999,13711
12/25/1999,11972
12/26/1999,14829
12/27/1999,15665
12/28/1999,15432
12/29/1999,15576
12/30/1999,15500
12/31/1999,11199
1/1/2000,10889
1/2/2000,14704
1/3/2000,15391
1/4/2000,15259
1/5/2000,15397
1/6/2000,15384
1/7/2000,15479
1/8/2000,13350
1/9/2000,14593
1/10/2000,15116
1/11/2000,15168
1/12/2000,15249
1/13/2000,14975
1/14/2000,15412
1/15/2000,13394
1/16/2000,14699
1/17/2000,15122
1/18/2000,15148
1/19/2000,14719
1/20/2000,14151
1/21/2000,15216
1/22/2000,12903
1/23/2000,14163
1/24/2000,15131
1/25/2000,11105
1/26/2000,14347
1/27/2000,14379
1/28/2000,14740
1/29/2000,12257
1/30/2000,13121
1/31/2000,15001
2/1/2000,15236
2/2/2000,15303
2/3/2000,15216
2/4/2000,15130
2/5/2000,13231
2/6/2000,14657
2/7/2000,15293
2/8/2000,15272
2/9/2000,15270
2/10/2000,15170
2/11/2000,15053
2/12/2000,13113
2/13/2000,14231
2/14/2000,14909
2/15/2000,15297
2/16/2000,15288
2/17/2000,15224
2/18/2000,13336
2/19/2000,12956
2/20/2000,14516
2/21/2000,15429
2/22/2000,15278
2/23/2000,15316
2/24/2000,15305
2/25/2000,15136
2/26/2000,13422
2/27/2000,14732
2/28/2000,15525
2/29/2000,15467
3/1/2000,15642
3/2/2000,15373
3/3/2000,15658
3/4/2000,13692
3/5/2000,14873
3/6/2000,15466
3/7/2000,15392
3/8/2000,15478
3/9/2000,15596
3/10/2000,15555
3/11/2000,13565
3/12/2000,14997
3/13/2000,15710
3/14/2000,15534
3/15/2000,15540
3/16/2000,15611
3/17/2000,15626
3/18/2000,13774
3/19/2000,14927
3/20/2000,15160
3/21/2000,15335
3/22/2000,15657
3/23/2000,15755
3/24/2000,15828
3/25/2000,13783
3/26/2000,15034
3/27/2000,15696
3/28/2000,15401
3/29/2000,15586
3/30/2000,15730
3/31/2000,15733
4/1/2000,13622
4/2/2000,14968
4/3/2000,15521
4/4/2000,15455
4/5/2000,15621
4/6/2000,15706
4/7/2000,15540
4/8/2000,13465
4/9/2000,14799
4/10/2000,15626
4/11/2000,15309
4/12/2000,15532
4/13/2000,15671
4/14/2000,15702
4/15/2000,13680
4/16/2000,14887
4/17/2000,15390
4/18/2000,15460
4/19/2000,15342
4/20/2000,14732
4/21/2000,14668
4/22/2000,13382
4/23/2000,14857
4/24/2000,15607
4/25/2000,15598
4/26/2000,15541
4/27/2000,15600
4/28/2000,15692
4/29/2000,13652
4/30/2000,14996
5/1/2000,15571
5/2/2000,15501
5/3/2000,15577
5/4/2000,15544
5/5/2000,15646
5/6/2000,13583
5/7/2000,14908
5/8/2000,15420
5/9/2000,15221
5/10/2000,13998
5/11/2000,15030
5/12/2000,15271
5/13/2000,13098
5/14/2000,14818
5/15/2000,15635
5/16/2000,15502
5/17/2000,15464
5/18/2000,14071
5/19/2000,14491
5/20/2000,13366
5/21/2000,14842
5/22/2000,15521
5/23/2000,15506
5/24/2000,15211
5/25/2000,15529
5/26/2000,15546
5/27/2000,12956
5/28/2000,13501
5/29/2000,15122
5/30/2000,15680
5/31/2000,15267
6/1/2000,15492
6/2/2000,14989
6/3/2000,13746
6/4/2000,15007
6/5/2000,15637
6/6/2000,15355
6/7/2000,15607
6/8/2000,15687
6/9/2000,15777
6/10/2000,13663
6/11/2000,14916
6/12/2000,15273
6/13/2000,14664
6/14/2000,14164
6/15/2000,14493
6/16/2000,15192
6/17/2000,13631
6/18/2000,15000
6/19/2000,15558
6/20/2000,15394
6/21/2000,15243
6/22/2000,15662
6/23/2000,15751
6/24/2000,14056
6/25/2000,14869
6/26/2000,15450
6/27/2000,15207
6/28/2000,15530
6/29/2000,15608
6/30/2000,15847
7/1/2000,14230
7/2/2000,13845
7/3/2000,13341
7/4/2000,13966
7/5/2000,15603
7/6/2000,15844
7/7/2000,15934
7/8/2000,14252
7/9/2000,15234
7/10/2000,15416
7/11/2000,15710
7/12/2000,15761
7/13/2000,15793
7/14/2000,14898
7/15/2000,13976
7/16/2000,14613
7/17/2000,15498
7/18/2000,15579
7/19/2000,15651
7/20/2000,15801
7/21/2000,15900
7/22/2000,14311
7/23/2000,15229
7/24/2000,15802
7/25/2000,15768
7/26/2000,15584
7/27/2000,15672
7/28/2000,14666
7/29/2000,13901
7/30/2000,14863
7/31/2000,15175
8/1/2000,15285
8/2/2000,15193
8/3/2000,15104
8/4/2000,15480
8/5/2000,13955
8/6/2000,14805
8/7/2000,15482
8/8/2000,15632
8/9/2000,15606
8/10/2000,15771
8/11/2000,15636
8/12/2000,14074
8/13/2000,15175
8/14/2000,15621
8/15/2000,15773
8/16/2000,15712
8/17/2000,15540
8/18/2000,15792
8/19/2000,14317
8/20/2000,15238
8/21/2000,15881
8/22/2000,15666
8/23/2000,15596
8/24/2000,15755
8/25/2000,15889
8/26/2000,14279
8/27/2000,15132
8/28/2000,15727
8/29/2000,15699
8/30/2000,15789
8/31/2000,15771
9/1/2000,15832
9/2/2000,12988
9/3/2000,12800
9/4/2000,15016
9/5/2000,15787
9/6/2000,15691
9/7/2000,15737
9/8/2000,15844
9/9/2000,13804
9/10/2000,14995
9/11/2000,14821
9/12/2000,15103
9/13/2000,15607
9/14/2000,15726
9/15/2000,15764
9/16/2000,13719
9/17/2000,14876
9/18/2000,15626
9/19/2000,15447
9/20/2000,15644
9/21/2000,15659
9/22/2000,15536
9/23/2000,13631
9/24/2000,15046
9/25/2000,15691
9/26/2000,15471
9/27/2000,15696
9/28/2000,15696
9/29/2000,15762
9/30/2000,13717
10/1/2000,15028
10/2/2000,15652
10/3/2000,15605
10/4/2000,15492
10/5/2000,15677
10/6/2000,15704
10/7/2000,13803
10/8/2000,15091
10/9/2000,15720
10/10/2000,15686
10/11/2000,15696
10/12/2000,15817
10/13/2000,15905
10/14/2000,13879
10/15/2000,14996
10/16/2000,15571
10/17/2000,15708
10/18/2000,15696
10/19/2000,15590
10/20/2000,15867
10/21/2000,13907
10/22/2000,15104
10/23/2000,15744
10/24/2000,15644
10/25/2000,15603
10/26/2000,15659
10/27/2000,15783
10/28/2000,13646
10/29/2000,15181
10/30/2000,15597
10/31/2000,15341
11/1/2000,15700
11/2/2000,15835
11/3/2000,15876
11/4/2000,14010
11/5/2000,15124
11/6/2000,15456
11/7/2000,15770
11/8/2000,15688
11/9/2000,15616
11/10/2000,15835
11/11/2000,13959
11/12/2000,15288
11/13/2000,15825
11/14/2000,15732
11/15/2000,15772
11/16/2000,15832
11/17/2000,15901
11/18/2000,13992
11/19/2000,15243
11/20/2000,15631
11/21/2000,15802
11/22/2000,15978
11/23/2000,11812
11/24/2000,12230
11/25/2000,13803
11/26/2000,15359
11/27/2000,15954
11/28/2000,15881
11/29/2000,15701
11/30/2000,15734
12/1/2000,15669
12/2/2000,13787
12/3/2000,15013
12/4/2000,15697
12/5/2000,15667
12/6/2000,15678
12/7/2000,15483
12/8/2000,15674
12/9/2000,13790
12/10/2000,15123
12/11/2000,13384
12/12/2000,14329
12/13/2000,13419
12/14/2000,15108
12/15/2000,15162
12/16/2000,13008
12/17/2000,14168
12/18/2000,15022
12/19/2000,15523
12/20/2000,15601
12/21/2000,15564
12/22/2000,15826
12/23/2000,13773
12/24/2000,12685
12/25/2000,12745
12/26/2000,14481
12/27/2000,15506
12/28/2000,15646
12/29/2000,15392
12/30/2000,11785
12/31/2000,12730
1/1/2001,14891
1/2/2001,16906
1/3/2001,16998
1/4/2001,17096
1/5/2001,16699
1/6/2001,14914
1/7/2001,16370
1/8/2001,16985
1/9/2001,16940
1/10/2001,16774
1/11/2001,16787
1/12/2001,16893
1/13/2001,15020
1/14/2001,16319
1/15/2001,16846
1/16/2001,16863
1/17/2001,17029
1/18/2001,16648
1/19/2001,16836
1/20/2001,14427
1/21/2001,15473
1/22/2001,17106
1/23/2001,17044
1/24/2001,17133
1/25/2001,17075
1/26/2001,16964
1/27/2001,14825
1/28/2001,16174
1/29/2001,16368
1/30/2001,16653
1/31/2001,16993
2/1/2001,17153
2/2/2001,17138
2/3/2001,15022
2/4/2001,16327
2/5/2001,15874
2/6/2001,16676
2/7/2001,16748
2/8/2001,16893
2/9/2001,16487
2/10/2001,14835
2/11/2001,16267
2/12/2001,16924
2/13/2001,16666
2/14/2001,16491
2/15/2001,16937
2/16/2001,17084
2/17/2001,14945
2/18/2001,16268
2/19/2001,17049
2/20/2001,17040
2/21/2001,17131
2/22/2001,16679
2/23/2001,16989
2/24/2001,14657
2/25/2001,15669
2/26/2001,17041
2/27/2001,16821
2/28/2001,16565
3/1/2001,17051
3/2/2001,17126
3/3/2001,15055
3/4/2001,15845
3/5/2001,14749
3/6/2001,15494
3/7/2001,17111
3/8/2001,17163
3/9/2001,17133
3/10/2001,15145
3/11/2001,16518
3/12/2001,16993
3/13/2001,16968
3/14/2001,17120
3/15/2001,17138
3/16/2001,17115
3/17/2001,15159
3/18/2001,16549
3/19/2001,17235
3/20/2001,16923
3/21/2001,16836
3/22/2001,16998
3/23/2001,17231
3/24/2001,15227
3/25/2001,16577
3/26/2001,17148
3/27/2001,17198
3/28/2001,17324
3/29/2001,17228
3/30/2001,16943
3/31/2001,14943
4/1/2001,16425
4/2/2001,17208
4/3/2001,17136
4/4/2001,17113
4/5/2001,17112
4/6/2001,17014
4/7/2001,15014
4/8/2001,16429
4/9/2001,16950
4/10/2001,16974
4/11/2001,16022
4/12/2001,16956
4/13/2001,17025
4/14/2001,15041
4/15/2001,16313
4/16/2001,17296
4/17/2001,17330
4/18/2001,17260
4/19/2001,17407
4/20/2001,17364
4/21/2001,15158
4/22/2001,16476
4/23/2001,17193
4/24/2001,17284
4/25/2001,17349
4/26/2001,17359
4/27/2001,17404
4/28/2001,15221
4/29/2001,16601
4/30/2001,17339
5/1/2001,17243
5/2/2001,17290
5/3/2001,17348
5/4/2001,17262
5/5/2001,15257
5/6/2001,16626
5/7/2001,17182
5/8/2001,17294
5/9/2001,17321
5/10/2001,17380
5/11/2001,17356
5/12/2001,15300
5/13/2001,16552
5/14/2001,17195
5/15/2001,17162
5/16/2001,17257
5/17/2001,17349
5/18/2001,17416
5/19/2001,15242
5/20/2001,16661
5/21/2001,17164
5/22/2001,16795
5/23/2001,17189
5/24/2001,17350
5/25/2001,17455
5/26/2001,14375
5/27/2001,14321
5/28/2001,16242
5/29/2001,17388
5/30/2001,17310
5/31/2001,17206
6/1/2001,17275
6/2/2001,15328
6/3/2001,16468
6/4/2001,17147
6/5/2001,16912
6/6/2001,16850
6/7/2001,17313
6/8/2001,17370
6/9/2001,14854
6/10/2001,16772
6/11/2001,17256
6/12/2001,17006
6/13/2001,17063
6/14/2001,16967
6/15/2001,16579
6/16/2001,15577
6/17/2001,16662
6/18/2001,17459
6/19/2001,17415
6/20/2001,17048
6/21/2001,17167
6/22/2001,16642
6/23/2001,15564
6/24/2001,16896
6/25/2001,17437
6/26/2001,17420
6/27/2001,17415
6/28/2001,17491
6/29/2001,17603
6/30/2001,15765
7/1/2001,15956
7/2/2001,16884
7/3/2001,16689
7/4/2001,15361
7/5/2001,17024
7/6/2001,17215
7/7/2001,16052
7/8/2001,16956
7/9/2001,17507
7/10/2001,17134
7/11/2001,17394
7/12/2001,17532
7/13/2001,17618
7/14/2001,15995
7/15/2001,17009
7/16/2001,17508
7/17/2001,17353
7/18/2001,17358
7/19/2001,17516
7/20/2001,17597
7/21/2001,15900
7/22/2001,16834
7/23/2001,17183
7/24/2001,17376
7/25/2001,17398
7/26/2001,17319
7/27/2001,17607
7/28/2001,16049
7/29/2001,16906
7/30/2001,17379
7/31/2001,17545
8/1/2001,17595
8/2/2001,17184
8/3/2001,17512
8/4/2001,15918
8/5/2001,16974
8/6/2001,17581
8/7/2001,17479
8/8/2001,17524
8/9/2001,17404
8/10/2001,16884
8/11/2001,15730
8/12/2001,16766
8/13/2001,17060
8/14/2001,17506
8/15/2001,17519
8/16/2001,17564
8/17/2001,17377
8/18/2001,15915
8/19/2001,17006
8/20/2001,17475
8/21/2001,17435
8/22/2001,17113
8/23/2001,17496
8/24/2001,17589
8/25/2001,15844
8/26/2001,16978
8/27/2001,17213
8/28/2001,17166
8/29/2001,17556
8/30/2001,17402
8/31/2001,17268
9/1/2001,14461
9/2/2001,14210
9/3/2001,16660
9/4/2001,17225
9/5/2001,17325
9/6/2001,17330
9/7/2001,17078
9/8/2001,15322
9/9/2001,16522
9/10/2001,16905
9/11/2001,2541
9/12/2001,1
9/13/2001,1445
9/14/2001,7745
9/15/2001,9634
9/16/2001,12243
9/17/2001,13708
9/18/2001,13799
9/19/2001,14321
9/20/2001,14249
9/21/2001,14229
9/22/2001,12431
9/23/2001,13852
9/24/2001,14303
9/25/2001,14325
9/26/2001,14355
9/27/2001,14393
9/28/2001,14436
9/29/2001,12596
9/30/2001,13730
10/1/2001,14372
10/2/2001,14415
10/3/2001,14397
10/4/2001,14589
10/5/2001,14510
10/6/2001,12810
10/7/2001,13863
10/8/2001,14431
10/9/2001,14419
10/10/2001,14339
10/11/2001,14366
10/12/2001,14283
10/13/2001,12637
10/14/2001,13851
10/15/2001,14433
10/16/2001,14413
10/17/2001,14439
10/18/2001,14487
10/19/2001,14515
10/20/2001,12806
10/21/2001,13888
10/22/2001,14436
10/23/2001,14342
10/24/2001,14054
10/25/2001,14294
10/26/2001,14470
10/27/2001,12669
10/28/2001,13750
10/29/2001,14433
10/30/2001,14273
