pol,char
-0.5255,Aang
-0.2244,Aang
-0.2755,Aang
-0.296,Aang
0,Aang
0,Aang
0.4574,Aang
0,Aang
0,Aang
0,Aang
-0.296,Aang
-0.1759,Aang
0.7921,Aang
-0.6486,Aang
0.1511,Aang
0,Aang
0.7717,Aang
0,Aang
0.6369,Aang
0.5574,Aang
0.4926,Aang
0.6249,Aang
0.4939,Aang
0,Aang
-0.296,Aang
-0.1901,Aang
0.1531,Aang
0.6249,Aang
0.4404,Aang
0.2023,Aang
-0.1027,Aang
0,Aang
-0.4753,Aang
0.6546,Aang
-0.8164,Aang
-0.3164,Aang
0.3421,Aang
0,Aang
0,Aang
-0.296,Aang
0,Aang
0,Aang
0.4404,Aang
0.1779,Aang
0.1779,Aang
0.3802,Aang
0.7177,Aang
0,Aang
-0.68,Aang
0,Aang
-0.4927,Aang
0,Aang
0,Aang
0.4003,Aang
0.4404,Aang
0,Aang
0,Aang
0,Aang
0.5854,Aang
0,Aang
0,Aang
-0.5994,Aang
0.75,Aang
0.4926,Aang
0.4939,Aang
0.1356,Aang
0,Aang
0,Aang
-0.5423,Aang
0,Aang
0,Aang
0.6239,Aang
0,Aang
-0.0772,Aang
0,Aang
0.3182,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.4404,Aang
0.4019,Aang
0,Aang
-0.6597,Aang
0,Aang
0,Aang
0,Aang
0.7574,Aang
0.1027,Aang
0,Aang
0.2677,Aang
0,Aang
0.508,Aang
0.636,Aang
0.1779,Aang
0.1867,Aang
0.1571,Aang
0,Aang
-0.4588,Aang
0.4019,Aang
0,Aang
0,Aang
-0.4767,Aang
0,Aang
0,Aang
-0.784,Aang
0.1779,Aang
0.3612,Aang
0,Aang
-0.6908,Aang
0,Aang
-0.1174,Aang
0.4515,Aang
0,Aang
-0.4019,Aang
0,Aang
0,Aang
-0.3595,Aang
0.4404,Aang
0,Aang
-0.4574,Aang
0.0382,Aang
-0.743,Aang
-0.25,Aang
0,Aang
-0.6418,Aang
-0.296,Aang
0,Aang
-0.8689,Aang
0,Aang
0,Aang
-0.3595,Aang
0.481,Aang
0,Aang
0,Aang
-0.6124,Aang
0.4019,Aang
0,Aang
0.2732,Aang
-0.5469,Aang
0.75,Aang
0,Aang
0,Aang
0.3182,Aang
0.2838,Aang
-0.9552,Aang
0.4404,Aang
0,Aang
0,Aang
0.4019,Aang
-0.4939,Aang
0,Aang
-0.25,Aang
0,Aang
0.6826,Aang
0.3561,Aang
0.471,Aang
-0.4184,Aang
0,Aang
0,Aang
0,Aang
0.6249,Aang
0,Aang
0,Aang
0.4404,Aang
0,Aang
0.6892,Aang
0,Aang
0,Aang
0,Aang
0.664,Aang
0.8176,Aang
0,Aang
0.1531,Aang
0,Aang
-0.296,Aang
0.5267,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.5719,Aang
0.3895,Aang
0.0772,Aang
0.25,Aang
-0.4767,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.7717,Aang
0,Aang
0.5859,Aang
-0.3506,Aang
-0.296,Aang
0,Aang
0.4939,Aang
0,Aang
-0.3595,Aang
0.6808,Aang
0,Aang
0,Aang
-0.6964,Aang
-0.296,Aang
-0.0772,Aang
0,Aang
0.508,Aang
-0.296,Aang
-0.34,Aang
0.7414,Aang
0.3612,Aang
0,Aang
0,Aang
0.3612,Aang
0.4926,Aang
0,Aang
0,Aang
-0.484,Aang
-0.5255,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.09,Aang
-0.296,Aang
-0.296,Aang
0.6037,Aang
0,Aang
-0.4767,Aang
0.3832,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.3875,Aang
0.2263,Aang
0.296,Aang
-0.7177,Aang
0,Aang
0,Aang
0.3612,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.0772,Aang
0,Aang
0.4019,Aang
0.9387,Aang
0,Aang
0.7345,Aang
-0.296,Aang
0.4753,Aang
-0.6597,Aang
0,Aang
0.5983,Aang
0.4003,Aang
-0.5994,Aang
0,Aang
0,Aang
-0.0772,Aang
0.2263,Aang
0.4549,Aang
0,Aang
0,Aang
0.6249,Aang
0.3818,Aang
0.0772,Aang
0.5571,Aang
0,Aang
0,Aang
0.5267,Aang
0.5346,Aang
0.5972,Aang
0,Aang
0.0387,Aang
0,Aang
-0.3595,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.5777,Aang
0.3802,Aang
0.4374,Aang
0,Aang
0.4019,Aang
0,Aang
0.1027,Aang
0.4404,Aang
0.3164,Aang
0,Aang
0.1779,Aang
0.2263,Aang
-0.2382,Aang
0.8349,Aang
0.6369,Aang
-0.4019,Aang
0.4404,Aang
0.5859,Aang
-0.4019,Aang
-0.4585,Aang
0,Aang
0.2263,Aang
0,Aang
-0.0772,Aang
-0.2755,Aang
0,Aang
0.6249,Aang
0.2263,Aang
0.4303,Aang
0.6588,Aang
-0.1511,Aang
0,Aang
0.6705,Aang
0,Aang
0.6249,Aang
0,Aang
0,Aang
-0.1531,Aang
0,Aang
-0.296,Aang
0.4939,Aang
0,Aang
0.2263,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.3612,Aang
-0.4199,Aang
-0.2649,Aang
-0.5514,Aang
0.5507,Aang
0,Aang
0,Aang
0.1901,Aang
-0.3612,Aang
0.0772,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.7135,Aang
0.4404,Aang
0.2732,Aang
-0.3468,Aang
0.7263,Aang
0.3612,Aang
0.3612,Aang
0,Aang
0,Aang
0.6588,Aang
-0.4588,Aang
-0.0772,Aang
-0.296,Aang
0.6249,Aang
-0.0572,Aang
0.2598,Aang
0,Aang
0.4404,Aang
-0.1774,Aang
0.126,Aang
0,Aang
0,Aang
0,Aang
0.2942,Aang
0,Aang
0,Aang
0,Aang
-0.4364,Aang
-0.4651,Aang
-0.34,Aang
0.4588,Aang
-0.5362,Aang
-0.3769,Aang
-0.4184,Aang
0,Aang
0,Aang
-0.7412,Aang
0.2225,Aang
0,Aang
0,Aang
0,Aang
-0.636,Aang
0,Aang
0,Aang
0.7408,Aang
-0.1759,Aang
0.3612,Aang
0.5719,Aang
0,Aang
0.1531,Aang
0.4404,Aang
0,Aang
0,Aang
0.7647,Aang
0.3412,Aang
-0.2755,Aang
0,Aang
0.8469,Aang
0,Aang
-0.1779,Aang
0.4019,Aang
0,Aang
0,Aang
0.926,Aang
0.25,Aang
0.6808,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.4276,Aang
0.4753,Aang
-0.7037,Aang
0.8353,Aang
0,Aang
0,Aang
-0.5707,Aang
0,Aang
-0.0191,Aang
0,Aang
0,Aang
0.4815,Aang
0,Aang
0.296,Aang
0.3561,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.1779,Aang
0,Aang
0.3182,Aang
-0.296,Aang
0,Aang
0,Aang
-0.4215,Aang
0,Aang
-0.7081,Aang
0,Aang
0,Aang
0.6814,Aang
-0.3818,Aang
0.1635,Aang
-0.1869,Aang
0.3612,Aang
-0.3595,Aang
0.6253,Aang
0.9354,Aang
0.3182,Aang
0.6124,Aang
-0.0772,Aang
-0.3291,Aang
0,Aang
0,Aang
0,Aang
-0.296,Aang
0,Aang
0,Aang
0.4857,Aang
0,Aang
-0.0222,Aang
0.2023,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.5411,Aang
0,Aang
0,Aang
0.4404,Aang
0.3612,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.4939,Aang
0.4215,Aang
0,Aang
0,Aang
0.2023,Aang
0.4404,Aang
0,Aang
0.8271,Aang
0,Aang
0,Aang
0,Aang
0.3612,Aang
0,Aang
0,Aang
-0.3612,Aang
0,Aang
0.4215,Aang
0.2716,Aang
0.4374,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.2235,Aang
0.4728,Aang
0.5574,Aang
0,Aang
-0.6103,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.658,Aang
0,Aang
-0.4959,Aang
-0.4959,Aang
0.25,Aang
0,Aang
0,Aang
-0.296,Aang
0,Aang
0,Aang
-0.2987,Aang
0.4015,Aang
0,Aang
0,Aang
-0.5423,Aang
0.126,Aang
0,Aang
0.4574,Aang
0,Aang
0.5837,Aang
0.7494,Aang
0,Aang
0,Aang
0.1007,Aang
0,Aang
0,Aang
-0.296,Aang
-0.296,Aang
-0.8092,Aang
0,Aang
0.4767,Aang
0,Aang
-0.7351,Aang
0.5057,Aang
0,Aang
-0.4019,Aang
0.4019,Aang
0,Aang
0.6486,Aang
0,Aang
0,Aang
0,Aang
0.128,Aang
0.2387,Aang
0,Aang
0,Aang
0,Aang
0.296,Aang
0.8271,Aang
0.528,Aang
0.7812,Aang
0.4199,Aang
0,Aang
0.5267,Aang
0.4738,Aang
0,Aang
0.2732,Aang
0,Aang
0.3382,Aang
0,Aang
0,Aang
-0.5267,Aang
0.0258,Aang
0,Aang
-0.2617,Aang
0.3182,Aang
0,Aang
0.3612,Aang
0,Aang
0,Aang
0,Aang
0.7052,Aang
0.5191,Aang
-0.0387,Aang
0.2263,Aang
-0.6103,Aang
0.5719,Aang
0,Aang
0.8932,Aang
0.3269,Aang
0.2263,Aang
0,Aang
-0.508,Aang
0,Aang
0,Aang
0.1531,Aang
0.2023,Aang
0.8883,Aang
0.9029,Aang
-0.6508,Aang
0,Aang
0,Aang
-0.0772,Aang
-0.3595,Aang
0,Aang
0.5859,Aang
0,Aang
-0.4479,Aang
0,Aang
0.4215,Aang
-0.4939,Aang
0,Aang
0.7579,Aang
-0.1891,Aang
0.4215,Aang
0,Aang
0,Aang
-0.7312,Aang
-0.9275,Aang
0,Aang
-0.5719,Aang
0,Aang
0.2023,Aang
0.802,Aang
0.5983,Aang
-0.4862,Aang
-0.1882,Aang
-0.8246,Aang
0.5983,Aang
0.4939,Aang
0,Aang
-0.5106,Aang
-0.9712,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.6369,Aang
0,Aang
0.0516,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.8316,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.0516,Aang
-0.0772,Aang
-0.4391,Aang
0.2023,Aang
0.7579,Aang
0,Aang
0.765,Aang
0.4215,Aang
0.4215,Aang
0.6369,Aang
0.34,Aang
-0.34,Aang
-0.6239,Aang
-0.34,Aang
0,Aang
-0.34,Aang
-0.4939,Aang
-0.5106,Aang
0.6369,Aang
-0.4767,Aang
0,Aang
0,Aang
0.69,Aang
0,Aang
0,Aang
0.5911,Aang
0.6943,Aang
0.4574,Aang
0.8016,Aang
-0.1511,Aang
0.3595,Aang
0,Aang
-0.296,Aang
-0.1007,Aang
0,Aang
0.8164,Aang
0.4939,Aang
0.3412,Aang
0,Aang
0.4019,Aang
-0.6331,Aang
0,Aang
0.4738,Aang
0.4926,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.0258,Aang
0.4306,Aang
0.6808,Aang
0.5949,Aang
0.5413,Aang
0.3365,Aang
0.8476,Aang
-0.3519,Aang
0,Aang
-0.296,Aang
0,Aang
0,Aang
-0.5661,Aang
0.6307,Aang
0.8619,Aang
-0.5423,Aang
0,Aang
-0.4003,Aang
0,Aang
0,Aang
-0.4184,Aang
-0.3595,Aang
-0.5574,Aang
0,Aang
0.4389,Aang
0.4404,Aang
-0.296,Aang
0.6046,Aang
0,Aang
0.5514,Aang
0.3612,Aang
0,Aang
0,Aang
0.6808,Aang
0,Aang
0,Aang
0,Aang
0.25,Aang
-0.296,Aang
0,Aang
0.4926,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.4724,Aang
0.2263,Aang
0.2263,Aang
0,Aang
0,Aang
0.1779,Aang
0,Aang
0.4019,Aang
0,Aang
-0.3595,Aang
0,Aang
0.8745,Aang
0.4389,Aang
0.75,Aang
0,Aang
0,Aang
-0.6486,Aang
0.91,Aang
0,Aang
0.5267,Aang
0,Aang
-0.4404,Aang
0,Aang
0.3595,Aang
0,Aang
0,Aang
0,Aang
-0.3612,Aang
0.5859,Aang
0.2732,Aang
0.4019,Aang
0.3182,Aang
0.4404,Aang
0,Aang
0.1027,Aang
-0.657,Aang
0,Aang
0,Aang
0.8225,Aang
-0.4404,Aang
-0.4939,Aang
0.296,Aang
0,Aang
0.6249,Aang
0,Aang
0,Aang
0.6249,Aang
0.3818,Aang
0,Aang
0.2023,Aang
-0.4019,Aang
0,Aang
0.5574,Aang
0.3612,Aang
-0.3595,Aang
0,Aang
-0.2481,Aang
0.2942,Aang
0,Aang
0,Aang
-0.4003,Aang
-0.3595,Aang
0.7184,Aang
-0.3818,Aang
-0.5423,Aang
0.7096,Aang
0.9468,Aang
-0.4003,Aang
-0.4184,Aang
0.3612,Aang
0,Aang
0,Aang
0,Aang
0.1134,Aang
0,Aang
0,Aang
-0.4753,Aang
-0.3818,Aang
0.128,Aang
0.2944,Aang
0.6792,Aang
-0.765,Aang
0.2677,Aang
0.68,Aang
0,Aang
0,Aang
0.4404,Aang
0.3277,Aang
-0.7351,Aang
-0.3107,Aang
0.0258,Aang
0,Aang
0,Aang
0.8845,Aang
0.6696,Aang
0,Aang
0,Aang
0,Aang
-0.4003,Aang
0.128,Aang
0.2584,Aang
0,Aang
-0.2378,Aang
0.6059,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.4184,Aang
0,Aang
0.5093,Aang
-0.5574,Aang
0.2714,Aang
0.3818,Aang
0.1531,Aang
-0.4767,Aang
0.658,Aang
0.5267,Aang
0.3182,Aang
0,Aang
0.6697,Aang
-0.0772,Aang
-0.1154,Aang
0,Aang
0.3612,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0,Aang
-0.351,Aang
-0.8684,Aang
-0.276,Aang
0.128,Aang
0.5859,Aang
0,Aang
0,Aang
0.4404,Aang
0.1531,Aang
0.0258,Aang
0.4926,Aang
0.3818,Aang
-0.4137,Aang
0,Aang
-0.1531,Aang
0,Aang
-0.4767,Aang
0.5487,Aang
0,Aang
0,Aang
0.3595,Aang
-0.5848,Aang
0.8875,Aang
0.4926,Aang
-0.6124,Aang
-0.3595,Aang
0,Aang
0.3182,Aang
0.34,Aang
0.3382,Aang
0.5719,Aang
0.5994,Aang
0,Aang
0.7707,Aang
0.0547,Aang
-0.5106,Aang
0.3182,Aang
0,Aang
-0.4003,Aang
0,Aang
0,Aang
0,Aang
-0.4854,Aang
0.5927,Aang
0.8519,Aang
0.6124,Aang
0,Aang
0,Aang
0.5466,Aang
0.1689,Aang
0.4215,Aang
0,Aang
0,Aang
-0.0772,Aang
-0.1536,Aang
0.6239,Aang
0.4497,Aang
0,Aang
0.3612,Aang
0.2732,Aang
0.3612,Aang
0,Aang
0.3412,Aang
0.8271,Aang
-0.6908,Aang
0,Aang
0.4657,Aang
0.4767,Aang
0,Aang
-0.4782,Aang
0,Aang
0,Aang
0,Aang
0.506,Aang
0,Aang
0.2225,Aang
0,Aang
0.34,Aang
0.6114,Aang
0.3382,Aang
-0.4201,Aang
-0.5848,Aang
0,Aang
-0.2263,Aang
0,Aang
0.4574,Aang
0.2732,Aang
0.0341,Aang
0,Aang
-0.4268,Aang
0.0334,Aang
0,Aang
0,Aang
0,Aang
-0.0202,Aang
-0.4767,Aang
-0.34,Aang
0,Aang
0,Aang
-0.4389,Aang
0,Aang
0,Aang
0,Aang
0.34,Aang
0.5859,Aang
0.6369,Aang
-0.4336,Aang
-0.34,Aang
-0.2023,Aang
0.5423,Aang
0,Aang
0.0258,Aang
0,Aang
-0.4184,Aang
-0.5399,Aang
0,Aang
0,Aang
0.7635,Aang
0,Aang
0,Aang
0.4215,Aang
-0.8791,Aang
-0.5267,Aang
0.3612,Aang
-0.8225,Aang
0.2732,Aang
0.2001,Aang
0,Aang
0.4588,Aang
0.4963,Aang
0.4404,Aang
0.4019,Aang
0,Aang
0.3094,Aang
0.4767,Aang
0.2732,Aang
0,Aang
0,Aang
0.2263,Aang
0.2023,Aang
-0.4563,Aang
-0.4215,Aang
-0.4753,Aang
0.5562,Aang
0,Aang
0.296,Aang
0.6288,Aang
0.2746,Aang
0,Aang
0.3612,Aang
0.2321,Aang
0,Aang
0.2732,Aang
-0.75,Aang
0,Aang
0,Aang
0,Aang
0,Aang
0.6239,Aang
0,Aang
-0.451,Aang
0,Aang
0,Aang
0,Aang
-0.6124,Aang
-0.2755,Aang
0,Aang
-0.34,Aang
-0.7906,Aang
-0.4182,Aang
0.3612,Aang
0,Aang
0.3612,Aang
0.3626,Aang
0,Aang
0.296,Aang
0,Aang
-0.4243,Aang
0,Aang
-0.2144,Aang
0,Aang
0,Aang
-0.2755,Aang
-0.2914,Aang
0,Aang
0.4753,Aang
0,Aang
0.25,Aang
0.6072,Aang
0.6676,Aang
0,Aang
-0.34,Aang
-0.1779,Aang
0.5267,Aang
-0.1142,Aang
0,Aang
0,Aang
0.0767,Aang
