Movie,Attribute,Value
Ted 2 (2015),Rotten Tomatoes (u),2.9
Ted 2 (2015),Rotten Tomatoes,2.3
Southpaw (2015),Fandango,4.6
Southpaw (2015),IMDB,3.9
Southpaw (2015),Metacritic (u),4.1
Southpaw (2015),Metacritic,2.85
Southpaw (2015),Rotten Tomatoes (u),4
Southpaw (2015),Rotten Tomatoes,2.95
Pixels (2015),Fandango,4.1
Pixels (2015),IMDB,2.8
Pixels (2015),Metacritic (u),2.65
Pixels (2015),Metacritic,1.35
Pixels (2015),Rotten Tomatoes (u),2.7
Pixels (2015),Rotten Tomatoes,0.85
"McFarland, USA (2015)",Fandango,4.6
"McFarland, USA (2015)",IMDB,3.75
"McFarland, USA (2015)",Metacritic (u),3.6
"McFarland, USA (2015)",Metacritic,3
"McFarland, USA (2015)",Rotten Tomatoes (u),4.45
"McFarland, USA (2015)",Rotten Tomatoes,3.95
Insidious: Chapter 3 (2015),Fandango,4.1
Insidious: Chapter 3 (2015),IMDB,3.15
Insidious: Chapter 3 (2015),Metacritic (u),3.45
Insidious: Chapter 3 (2015),Metacritic,2.6
Insidious: Chapter 3 (2015),Rotten Tomatoes (u),2.8
Insidious: Chapter 3 (2015),Rotten Tomatoes,2.95
The Man From U.N.C.L.E. (2015),Fandango,4.1
The Man From U.N.C.L.E. (2015),IMDB,3.8
The Man From U.N.C.L.E. (2015),Metacritic (u),3.95
The Man From U.N.C.L.E. (2015),Metacritic,2.75
The Man From U.N.C.L.E. (2015),Rotten Tomatoes (u),4
The Man From U.N.C.L.E. (2015),Rotten Tomatoes,3.4
Run All Night (2015),Fandango,4.1
Run All Night (2015),IMDB,3.3
Run All Night (2015),Metacritic (u),3.65
Run All Night (2015),Metacritic,2.95
Run All Night (2015),Rotten Tomatoes (u),2.95
Run All Night (2015),Rotten Tomatoes,3
Trainwreck (2015),Fandango,4.1
Trainwreck (2015),IMDB,3.35
Trainwreck (2015),Metacritic (u),3
Trainwreck (2015),Metacritic,3.75
Trainwreck (2015),Rotten Tomatoes (u),3.7
Trainwreck (2015),Rotten Tomatoes,4.25
Ex Machina (2015),Fandango,4.1
Ex Machina (2015),IMDB,3.85
Ex Machina (2015),Metacritic (u),3.95
Ex Machina (2015),Metacritic,3.9
Ex Machina (2015),Rotten Tomatoes (u),4.3
Ex Machina (2015),Rotten Tomatoes,4.6
Still Alice (2015),Fandango,4.1
Still Alice (2015),IMDB,3.75
Still Alice (2015),Metacritic (u),3.9
Still Alice (2015),Metacritic,3.6
Still Alice (2015),Rotten Tomatoes (u),4.25
Still Alice (2015),Rotten Tomatoes,4.4
The End of the Tour (2015),Fandango,4.1
The End of the Tour (2015),IMDB,3.95
The End of the Tour (2015),Metacritic (u),3.75
The End of the Tour (2015),Metacritic,4.2
The End of the Tour (2015),Rotten Tomatoes (u),4.45
The End of the Tour (2015),Rotten Tomatoes,4.6
Red Army (2015),Fandango,4.1
Red Army (2015),IMDB,3.85
Red Army (2015),Metacritic (u),3.7
Red Army (2015),Metacritic,4.1
Red Army (2015),Rotten Tomatoes (u),4.3
Red Army (2015),Rotten Tomatoes,4.8
When Marnie Was There (2015),Fandango,4.1
When Marnie Was There (2015),IMDB,3.9
When Marnie Was There (2015),Metacritic (u),3.2
When Marnie Was There (2015),Metacritic,3.55
When Marnie Was There (2015),Rotten Tomatoes (u),4.45
When Marnie Was There (2015),Rotten Tomatoes,4.45
The Hunting Ground (2015),Fandango,4.1
The Hunting Ground (2015),IMDB,3.75
The Hunting Ground (2015),Metacritic (u),3.9
The Hunting Ground (2015),Metacritic,3.85
The Hunting Ground (2015),Rotten Tomatoes (u),3.6
The Hunting Ground (2015),Rotten Tomatoes,4.6
The Boy Next Door (2015),Fandango,3.6
The Boy Next Door (2015),IMDB,2.3
The Boy Next Door (2015),Metacritic (u),2.75
The Boy Next Door (2015),Metacritic,1.5
The Boy Next Door (2015),Rotten Tomatoes (u),1.75
The Boy Next Door (2015),Rotten Tomatoes,0.5
Aloha (2015),Fandango,3.1
Aloha (2015),IMDB,2.75
Aloha (2015),Metacritic (u),2
Aloha (2015),Metacritic,2
Aloha (2015),Rotten Tomatoes (u),1.55
Aloha (2015),Rotten Tomatoes,0.95
The Loft (2015),Fandango,3.6
The Loft (2015),IMDB,3.15
The Loft (2015),Metacritic (u),1.2
The Loft (2015),Metacritic,1.2
The Loft (2015),Rotten Tomatoes (u),2
The Loft (2015),Rotten Tomatoes,0.55
5 Flights Up (2015),Fandango,3.6
5 Flights Up (2015),IMDB,3.05
5 Flights Up (2015),Metacritic (u),3.4
5 Flights Up (2015),Metacritic,2.75
5 Flights Up (2015),Rotten Tomatoes (u),2.35
5 Flights Up (2015),Rotten Tomatoes,2.6
Welcome to Me (2015),Fandango,3.6
Welcome to Me (2015),IMDB,2.95
Welcome to Me (2015),Metacritic (u),3.45
Welcome to Me (2015),Metacritic,3.35
Welcome to Me (2015),Rotten Tomatoes (u),2.35
Welcome to Me (2015),Rotten Tomatoes,3.55
Saint Laurent (2015),Fandango,3.1
Saint Laurent (2015),IMDB,3.15
Saint Laurent (2015),Metacritic (u),3.4
Saint Laurent (2015),Metacritic,2.6
Saint Laurent (2015),Rotten Tomatoes (u),2.25
Saint Laurent (2015),Rotten Tomatoes,2.55
Maps to the Stars (2015),Fandango,3.1
Maps to the Stars (2015),IMDB,3.15
Maps to the Stars (2015),Metacritic (u),2.9
Maps to the Stars (2015),Metacritic,3.35
Maps to the Stars (2015),Rotten Tomatoes (u),2.3
Maps to the Stars (2015),Rotten Tomatoes,3
I'll See You In My Dreams (2015),Fandango,3.6
I'll See You In My Dreams (2015),IMDB,3.45
I'll See You In My Dreams (2015),Metacritic (u),3.45
I'll See You In My Dreams (2015),Metacritic,3.75
I'll See You In My Dreams (2015),Rotten Tomatoes (u),3.5
I'll See You In My Dreams (2015),Rotten Tomatoes,4.7
Timbuktu (2015),Fandango,3.6
Timbuktu (2015),IMDB,3.6
Timbuktu (2015),Metacritic (u),3.45
Timbuktu (2015),Metacritic,4.55
Timbuktu (2015),Rotten Tomatoes (u),3.9
Timbuktu (2015),Rotten Tomatoes,4.95
About Elly (2015),Fandango,3.6
About Elly (2015),IMDB,4.1
About Elly (2015),Metacritic (u),4.8
About Elly (2015),Metacritic,4.35
About Elly (2015),Rotten Tomatoes (u),4.3
About Elly (2015),Rotten Tomatoes,4.85
The Diary of a Teenage Girl (2015),Fandango,3.6
The Diary of a Teenage Girl (2015),IMDB,3.5
The Diary of a Teenage Girl (2015),Metacritic (u),3.15
The Diary of a Teenage Girl (2015),Metacritic,4.35
The Diary of a Teenage Girl (2015),Rotten Tomatoes (u),4.05
The Diary of a Teenage Girl (2015),Rotten Tomatoes,4.75
Kingsman: The Secret Service (2015),Fandango,4.2
Kingsman: The Secret Service (2015),IMDB,3.9
Kingsman: The Secret Service (2015),Metacritic (u),3.95
Kingsman: The Secret Service (2015),Metacritic,2.9
Kingsman: The Secret Service (2015),Rotten Tomatoes (u),4.2
Kingsman: The Secret Service (2015),Rotten Tomatoes,3.75
Tomorrowland (2015),Fandango,3.7
Tomorrowland (2015),IMDB,3.3
Tomorrowland (2015),Metacritic (u),3.2
Tomorrowland (2015),Metacritic,3
Tomorrowland (2015),Rotten Tomatoes (u),2.65
Tomorrowland (2015),Rotten Tomatoes,2.5
The Divergent Series: Insurgent (2015),Fandango,4.2
The Divergent Series: Insurgent (2015),IMDB,3.2
The Divergent Series: Insurgent (2015),Metacritic (u),2.7
The Divergent Series: Insurgent (2015),Metacritic,2.1
The Divergent Series: Insurgent (2015),Rotten Tomatoes (u),3.05
The Divergent Series: Insurgent (2015),Rotten Tomatoes,1.5
Fantastic Four (2015),Fandango,2.7
Fantastic Four (2015),IMDB,2
Fantastic Four (2015),Metacritic (u),1.25
Fantastic Four (2015),Metacritic,1.35
Fantastic Four (2015),Rotten Tomatoes (u),1
Fantastic Four (2015),Rotten Tomatoes,0.45
Terminator Genisys (2015),Fandango,4.2
Terminator Genisys (2015),IMDB,3.45
Terminator Genisys (2015),Metacritic (u),3.2
Terminator Genisys (2015),Metacritic,1.9
Terminator Genisys (2015),Rotten Tomatoes (u),3
Terminator Genisys (2015),Rotten Tomatoes,1.3
Pitch Perfect 2 (2015),Fandango,4.2
Pitch Perfect 2 (2015),IMDB,3.35
Pitch Perfect 2 (2015),Metacritic (u),2.85
Pitch Perfect 2 (2015),Metacritic,3.15
Pitch Perfect 2 (2015),Rotten Tomatoes (u),3.4
Pitch Perfect 2 (2015),Rotten Tomatoes,3.35
Entourage (2015),Fandango,4.2
Entourage (2015),IMDB,3.55
Entourage (2015),Metacritic (u),2.6
Entourage (2015),Metacritic,1.9
Entourage (2015),Rotten Tomatoes (u),3.4
Entourage (2015),Rotten Tomatoes,1.6
The Age of Adaline (2015),Fandango,4.2
The Age of Adaline (2015),IMDB,3.65
The Age of Adaline (2015),Metacritic (u),3.7
The Age of Adaline (2015),Metacritic,2.55
The Age of Adaline (2015),Rotten Tomatoes (u),3.4
The Age of Adaline (2015),Rotten Tomatoes,2.7
Hot Pursuit (2015),Fandango,3.7
Hot Pursuit (2015),IMDB,2.45
Hot Pursuit (2015),Metacritic (u),1.85
Hot Pursuit (2015),Metacritic,1.55
Hot Pursuit (2015),Rotten Tomatoes (u),1.85
Hot Pursuit (2015),Rotten Tomatoes,0.4
The DUFF (2015),Fandango,4.2
The DUFF (2015),IMDB,3.3
The DUFF (2015),Metacritic (u),3.2
The DUFF (2015),Metacritic,2.8
The DUFF (2015),Rotten Tomatoes (u),3.4
The DUFF (2015),Rotten Tomatoes,3.55
Black or White (2015),Fandango,4.2
Black or White (2015),IMDB,3.3
Black or White (2015),Metacritic (u),3.95
Black or White (2015),Metacritic,2.25
Black or White (2015),Rotten Tomatoes (u),3.4
Black or White (2015),Rotten Tomatoes,1.95
Project Almanac (2015),Fandango,3.7
Project Almanac (2015),IMDB,3.2
Project Almanac (2015),Metacritic (u),2.7
Project Almanac (2015),Metacritic,2.35
Project Almanac (2015),Rotten Tomatoes (u),2.3
Project Almanac (2015),Rotten Tomatoes,1.7
Ricki and the Flash (2015),Fandango,3.7
Ricki and the Flash (2015),IMDB,3.1
Ricki and the Flash (2015),Metacritic (u),3.5
Ricki and the Flash (2015),Metacritic,2.7
Ricki and the Flash (2015),Rotten Tomatoes (u),2.65
Ricki and the Flash (2015),Rotten Tomatoes,3.2
Seventh Son (2015),Fandango,3.2
Seventh Son (2015),IMDB,2.75
Seventh Son (2015),Metacritic (u),1.95
Seventh Son (2015),Metacritic,1.5
Seventh Son (2015),Rotten Tomatoes (u),1.75
Seventh Son (2015),Rotten Tomatoes,0.6
Mortdecai (2015),Fandango,3.2
Mortdecai (2015),IMDB,2.75
Mortdecai (2015),Metacritic (u),1.6
Mortdecai (2015),Metacritic,1.35
Mortdecai (2015),Rotten Tomatoes (u),1.5
Mortdecai (2015),Rotten Tomatoes,0.6
Unfinished Business (2015),Fandango,3.2
Unfinished Business (2015),IMDB,2.7
Unfinished Business (2015),Metacritic (u),1.9
Unfinished Business (2015),Metacritic,1.6
Unfinished Business (2015),Rotten Tomatoes (u),1.35
Unfinished Business (2015),Rotten Tomatoes,0.55
American Ultra (2015),Fandango,3.7
American Ultra (2015),IMDB,3.25
American Ultra (2015),Metacritic (u),3.4
American Ultra (2015),Metacritic,2.5
American Ultra (2015),Rotten Tomatoes (u),2.6
American Ultra (2015),Rotten Tomatoes,2.3
True Story (2015),Fandango,3.2
True Story (2015),IMDB,3.15
True Story (2015),Metacritic (u),2.85
True Story (2015),Metacritic,2.5
True Story (2015),Rotten Tomatoes (u),2.05
True Story (2015),Rotten Tomatoes,2.25
Child 44 (2015),Fandango,3.7
Child 44 (2015),IMDB,3.2
Child 44 (2015),Metacritic (u),2.65
Child 44 (2015),Metacritic,2.05
Child 44 (2015),Rotten Tomatoes (u),2.2
Child 44 (2015),Rotten Tomatoes,1.3
Dark Places (2015),Fandango,3.7
Dark Places (2015),IMDB,3.15
Dark Places (2015),Metacritic (u),3.95
Dark Places (2015),Metacritic,1.95
Dark Places (2015),Rotten Tomatoes (u),1.65
Dark Places (2015),Rotten Tomatoes,1.3
The Gift (2015),Fandango,3.7
The Gift (2015),IMDB,3.8
The Gift (2015),Metacritic (u),4.15
The Gift (2015),Metacritic,3.85
The Gift (2015),Rotten Tomatoes (u),3.95
The Gift (2015),Rotten Tomatoes,4.65
Unfriended (2015),Fandango,2.7
Unfriended (2015),IMDB,2.95
Unfriended (2015),Metacritic (u),2.9
Unfriended (2015),Metacritic,2.95
Unfriended (2015),Rotten Tomatoes (u),1.95
Unfriended (2015),Rotten Tomatoes,3
Monkey Kingdom (2015),Fandango,4.2
Monkey Kingdom (2015),IMDB,3.65
Monkey Kingdom (2015),Metacritic (u),3.75
Monkey Kingdom (2015),Metacritic,3.6
Monkey Kingdom (2015),Rotten Tomatoes (u),3.85
Monkey Kingdom (2015),Rotten Tomatoes,4.7
Seymour: An Introduction (2015),Fandango,4.2
Seymour: An Introduction (2015),IMDB,3.85
Seymour: An Introduction (2015),Metacritic (u),3
Seymour: An Introduction (2015),Metacritic,4.15
Seymour: An Introduction (2015),Rotten Tomatoes (u),4.35
Seymour: An Introduction (2015),Rotten Tomatoes,5
The Wrecking Crew (2015),Fandango,4.2
The Wrecking Crew (2015),IMDB,3.9
The Wrecking Crew (2015),Metacritic (u),3.5
The Wrecking Crew (2015),Metacritic,3.35
The Wrecking Crew (2015),Rotten Tomatoes (u),4.2
The Wrecking Crew (2015),Rotten Tomatoes,4.65
American Sniper (2015),Fandango,4.8
American Sniper (2015),IMDB,3.7
American Sniper (2015),Metacritic (u),3.3
American Sniper (2015),Metacritic,3.6
American Sniper (2015),Rotten Tomatoes (u),4.25
American Sniper (2015),Rotten Tomatoes,3.6
Furious 7 (2015),Fandango,4.8
Furious 7 (2015),IMDB,3.7
Furious 7 (2015),Metacritic (u),3.4
Furious 7 (2015),Metacritic,3.35
Furious 7 (2015),Rotten Tomatoes (u),4.2
Furious 7 (2015),Rotten Tomatoes,4.05
San Andreas (2015),Fandango,4.3
San Andreas (2015),IMDB,3.25
San Andreas (2015),Metacritic (u),2.75
San Andreas (2015),Metacritic,2.15
San Andreas (2015),Rotten Tomatoes (u),2.9
San Andreas (2015),Rotten Tomatoes,2.5
Straight Outta Compton (2015),Fandango,4.8
Straight Outta Compton (2015),IMDB,4.2
Straight Outta Compton (2015),Metacritic (u),3.65
Straight Outta Compton (2015),Metacritic,3.6
Straight Outta Compton (2015),Rotten Tomatoes (u),4.7
Straight Outta Compton (2015),Rotten Tomatoes,4.5
Vacation (2015),Fandango,3.8
Vacation (2015),IMDB,3.15
Vacation (2015),Metacritic (u),3.1
Vacation (2015),Metacritic,1.7
Vacation (2015),Rotten Tomatoes (u),2.75
Vacation (2015),Rotten Tomatoes,1.35
Chappie (2015),Fandango,3.8
Chappie (2015),IMDB,3.5
Chappie (2015),Metacritic (u),3.7
Chappie (2015),Metacritic,2.05
Chappie (2015),Rotten Tomatoes (u),2.85
Chappie (2015),Rotten Tomatoes,1.5
Poltergeist (2015),Fandango,2.8
Poltergeist (2015),IMDB,2.5
Poltergeist (2015),Metacritic (u),1.85
Poltergeist (2015),Metacritic,2.35
Poltergeist (2015),Rotten Tomatoes (u),1.2
Poltergeist (2015),Rotten Tomatoes,1.55
Paper Towns (2015),Fandango,3.8
Paper Towns (2015),IMDB,3.45
Paper Towns (2015),Metacritic (u),3.1
Paper Towns (2015),Metacritic,2.8
Paper Towns (2015),Rotten Tomatoes (u),2.85
Paper Towns (2015),Rotten Tomatoes,2.75
Blackhat (2015),Fandango,2.8
Blackhat (2015),IMDB,2.7
Blackhat (2015),Metacritic (u),2.7
Blackhat (2015),Metacritic,2.55
Blackhat (2015),Rotten Tomatoes (u),1.25
Blackhat (2015),Rotten Tomatoes,1.7
Self/less (2015),Fandango,3.8
Self/less (2015),IMDB,3.3
Self/less (2015),Metacritic (u),4.2
Self/less (2015),Metacritic,1.7
Self/less (2015),Rotten Tomatoes (u),2.55
Self/less (2015),Rotten Tomatoes,1
Sinister 2 (2015),Fandango,3.3
Sinister 2 (2015),IMDB,2.75
Sinister 2 (2015),Metacritic (u),2.5
Sinister 2 (2015),Metacritic,1.55
Sinister 2 (2015),Rotten Tomatoes (u),1.7
Sinister 2 (2015),Rotten Tomatoes,0.65
Little Boy (2015),Fandango,4.3
Little Boy (2015),IMDB,3.7
Little Boy (2015),Metacritic (u),2.95
Little Boy (2015),Metacritic,1.5
Little Boy (2015),Rotten Tomatoes (u),4.05
Little Boy (2015),Rotten Tomatoes,1
Me and Earl and The Dying Girl (2015),Fandango,4.3
Me and Earl and The Dying Girl (2015),IMDB,4.1
Me and Earl and The Dying Girl (2015),Metacritic (u),4.2
Me and Earl and The Dying Girl (2015),Metacritic,3.7
Me and Earl and The Dying Girl (2015),Rotten Tomatoes (u),4.45
Me and Earl and The Dying Girl (2015),Rotten Tomatoes,4.05
Maggie (2015),Fandango,3.3
Maggie (2015),IMDB,2.8
Maggie (2015),Metacritic (u),3.25
Maggie (2015),Metacritic,2.6
Maggie (2015),Rotten Tomatoes (u),1.6
Maggie (2015),Rotten Tomatoes,2.7
Mad Max: Fury Road (2015),Fandango,4.3
Mad Max: Fury Road (2015),IMDB,4.15
Mad Max: Fury Road (2015),Metacritic (u),4.35
Mad Max: Fury Road (2015),Metacritic,4.45
Mad Max: Fury Road (2015),Rotten Tomatoes (u),4.4
Mad Max: Fury Road (2015),Rotten Tomatoes,4.85
Spy (2015),Fandango,4.3
Spy (2015),IMDB,3.65
Spy (2015),Metacritic (u),3.15
Spy (2015),Metacritic,3.75
Spy (2015),Rotten Tomatoes (u),4.1
Spy (2015),Rotten Tomatoes,4.65
The SpongeBob Movie: Sponge Out of Water (2015),Fandango,3.3
The SpongeBob Movie: Sponge Out of Water (2015),IMDB,3.05
The SpongeBob Movie: Sponge Out of Water (2015),Metacritic (u),3.25
The SpongeBob Movie: Sponge Out of Water (2015),Metacritic,3.1
The SpongeBob Movie: Sponge Out of Water (2015),Rotten Tomatoes (u),2.75
The SpongeBob Movie: Sponge Out of Water (2015),Rotten Tomatoes,3.9
Paddington (2015),Fandango,4.3
Paddington (2015),IMDB,3.6
Paddington (2015),Metacritic (u),4.1
Paddington (2015),Metacritic,3.85
Paddington (2015),Rotten Tomatoes (u),4.05
Paddington (2015),Rotten Tomatoes,4.9
Dope (2015),Fandango,4.3
Dope (2015),IMDB,3.75
Dope (2015),Metacritic (u),3.6
Dope (2015),Metacritic,3.6
Dope (2015),Rotten Tomatoes (u),4.3
Dope (2015),Rotten Tomatoes,4.35
What We Do in the Shadows (2015),Fandango,4.3
What We Do in the Shadows (2015),IMDB,3.8
What We Do in the Shadows (2015),Metacritic (u),4.15
What We Do in the Shadows (2015),Metacritic,3.75
What We Do in the Shadows (2015),Rotten Tomatoes (u),4.3
What We Do in the Shadows (2015),Rotten Tomatoes,4.8
The Overnight (2015),Fandango,3.3
The Overnight (2015),IMDB,3.45
The Overnight (2015),Metacritic (u),4.3
The Overnight (2015),Metacritic,3.25
The Overnight (2015),Rotten Tomatoes (u),3.25
The Overnight (2015),Rotten Tomatoes,4.1
The Salt of the Earth (2015),Fandango,4.3
The Salt of the Earth (2015),IMDB,4.2
The Salt of the Earth (2015),Metacritic (u),3.9
The Salt of the Earth (2015),Metacritic,4.15
The Salt of the Earth (2015),Rotten Tomatoes (u),4.5
The Salt of the Earth (2015),Rotten Tomatoes,4.8
Fifty Shades of Grey (2015),Fandango,3.9
Fifty Shades of Grey (2015),IMDB,2.1
Fifty Shades of Grey (2015),Metacritic (u),1.6
Fifty Shades of Grey (2015),Metacritic,2.3
Fifty Shades of Grey (2015),Rotten Tomatoes (u),2.1
Fifty Shades of Grey (2015),Rotten Tomatoes,1.25
Get Hard (2015),Fandango,3.9
Get Hard (2015),IMDB,3.05
Get Hard (2015),Metacritic (u),1.9
Get Hard (2015),Metacritic,1.7
Get Hard (2015),Rotten Tomatoes (u),2.4
Get Hard (2015),Rotten Tomatoes,1.45
Focus (2015),Fandango,3.9
Focus (2015),IMDB,3.3
Focus (2015),Metacritic (u),3.1
Focus (2015),Metacritic,2.8
Focus (2015),Rotten Tomatoes (u),2.7
Focus (2015),Rotten Tomatoes,2.85
Jupiter Ascending (2015),Fandango,3.4
Jupiter Ascending (2015),IMDB,2.75
Jupiter Ascending (2015),Metacritic (u),2.25
Jupiter Ascending (2015),Metacritic,2
Jupiter Ascending (2015),Rotten Tomatoes (u),2
Jupiter Ascending (2015),Rotten Tomatoes,1.3
The Gallows (2015),Fandango,2.9
The Gallows (2015),IMDB,2.2
The Gallows (2015),Metacritic (u),3.5
The Gallows (2015),Metacritic,1.5
The Gallows (2015),Rotten Tomatoes (u),1.35
The Gallows (2015),Rotten Tomatoes,0.8
The Second Best Exotic Marigold Hotel (2015),Fandango,3.9
The Second Best Exotic Marigold Hotel (2015),IMDB,3.3
The Second Best Exotic Marigold Hotel (2015),Metacritic (u),3.05
The Second Best Exotic Marigold Hotel (2015),Metacritic,2.55
The Second Best Exotic Marigold Hotel (2015),Rotten Tomatoes (u),3.15
The Second Best Exotic Marigold Hotel (2015),Rotten Tomatoes,3.1
Strange Magic (2015),Fandango,3.4
Strange Magic (2015),IMDB,2.85
Strange Magic (2015),Metacritic (u),2.65
Strange Magic (2015),Metacritic,1.25
Strange Magic (2015),Rotten Tomatoes (u),2.5
Strange Magic (2015),Rotten Tomatoes,0.85
The Gunman (2015),Fandango,3.4
The Gunman (2015),IMDB,2.9
The Gunman (2015),Metacritic (u),2.15
The Gunman (2015),Metacritic,1.95
The Gunman (2015),Rotten Tomatoes (u),1.7
The Gunman (2015),Rotten Tomatoes,0.85
Hitman: Agent 47 (2015),Fandango,3.9
Hitman: Agent 47 (2015),IMDB,2.95
Hitman: Agent 47 (2015),Metacritic (u),1.65
Hitman: Agent 47 (2015),Metacritic,1.4
Hitman: Agent 47 (2015),Rotten Tomatoes (u),2.45
Hitman: Agent 47 (2015),Rotten Tomatoes,0.35
Cake (2015),Fandango,3.4
Cake (2015),IMDB,3.25
Cake (2015),Metacritic (u),3.2
Cake (2015),Metacritic,2.45
Cake (2015),Rotten Tomatoes (u),2.35
Cake (2015),Rotten Tomatoes,2.45
The Vatican Tapes (2015),Fandango,2.9
The Vatican Tapes (2015),IMDB,2.3
The Vatican Tapes (2015),Metacritic (u),2.7
The Vatican Tapes (2015),Metacritic,1.85
The Vatican Tapes (2015),Rotten Tomatoes (u),1.05
The Vatican Tapes (2015),Rotten Tomatoes,0.65
A Little Chaos (2015),Fandango,3.9
A Little Chaos (2015),IMDB,3.2
A Little Chaos (2015),Metacritic (u),3.5
A Little Chaos (2015),Metacritic,2.55
A Little Chaos (2015),Rotten Tomatoes (u),2.35
A Little Chaos (2015),Rotten Tomatoes,2
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),Fandango,3.9
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),IMDB,3.55
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),Metacritic (u),2.3
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),Metacritic,2.9
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),Rotten Tomatoes (u),3.45
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),Rotten Tomatoes,3.35
Escobar: Paradise Lost (2015),Fandango,3.9
Escobar: Paradise Lost (2015),IMDB,3.3
Escobar: Paradise Lost (2015),Metacritic (u),3.45
Escobar: Paradise Lost (2015),Metacritic,2.8
Escobar: Paradise Lost (2015),Rotten Tomatoes (u),2.6
Escobar: Paradise Lost (2015),Rotten Tomatoes,2.6
It Follows (2015),Fandango,2.9
It Follows (2015),IMDB,3.45
It Follows (2015),Metacritic (u),3.75
It Follows (2015),Metacritic,4.15
It Follows (2015),Rotten Tomatoes (u),3.25
It Follows (2015),Rotten Tomatoes,4.8
While We're Young (2015),Fandango,2.9
While We're Young (2015),IMDB,3.2
While We're Young (2015),Metacritic (u),3.35
While We're Young (2015),Metacritic,3.8
While We're Young (2015),Rotten Tomatoes (u),2.6
