date,value,,,,,,,,,,,,
2012-04-01T04:00Z,426321,,,,,,,,,,,,
2012-05-01T04:00Z,448045,,,,,,,,,,,,
2012-06-01T04:00Z,463839,,,,,,,,,,,,
2012-07-01T04:00Z,460830,,,,,,,,,,,,
2012-08-01T04:00Z,363254,,,,,,,,,,,,
2012-09-01T04:00Z,450072,,,,,,,,,,,,
2012-10-01T04:00Z,454716,,,,,,,,,,,,
2012-11-01T04:00Z,482406,,,,,,,,,,,,
2012-12-01T05:00Z,340499,,,,,,,,,,,,
2013-01-01T05:00Z,397634,,,,,,,,,,,,
2013-02-01T05:00Z,459180,,,,,,,,,,,,
2013-03-01T05:00Z,474467,,,,,,,,,,,,
2013-04-01T04:00Z,502411,,,,,,,,,,,,
2013-05-01T04:00Z,428684,,,,,,,,,,,,
2013-06-01T04:00Z,475779,,,,,,,,,,,,
2013-07-01T04:00Z,444960,,,,,,,,,,,,
2013-08-01T04:00Z,394991,,,,,,,,,,,,
2013-09-01T04:00Z,514468,,,,,,,,,,,,
2013-10-01T04:00Z,456669,,,,,,,,,,,,
2013-11-01T04:00Z,537383,,,,,,,,,,,,
2013-12-01T05:00Z,353278,,,,,,,,,,,,
2014-01-01T05:00Z,442430,,,,,,,,,,,,
2014-02-01T05:00Z,513041,,,,,,,,,,,,
2014-03-01T05:00Z,522428,,,,,,,,,,,,
2014-04-01T04:00Z,494416,,,,,,,,,,,,
2014-05-01T04:00Z,482483,,,,,,,,,,,,
2014-06-01T04:00Z,456069,,,,,,,,,,,,
2014-07-01T04:00Z,535001,,,,,,,,,,,,
2014-08-01T04:00Z,272744,,,,,,,,,,,,
2014-09-01T04:00Z,524072,,,,,,,,,,,,
2014-10-01T04:00Z,478999,,,,,,,,,,,,
2014-11-01T04:00Z,515340,,,,,,,,,,,,
2014-12-01T05:00Z,367003,,,,,,,,,,,,
2015-01-01T05:00Z,421510,,,,,,,,,,,,
2015-02-01T05:00Z,501118,,,,,,,,,,,,
2015-03-01T05:00Z,556049,,,,,,,,,,,,
2015-04-01T04:00Z,479631,,,,,,,,,,,,
2015-05-01T04:00Z,447925,,,,,,,,,,,,
2015-06-01T04:00Z,513315,,,,,,,,,,,,
2015-07-01T04:00Z,533264,,,,,,,,,,,,
2015-08-01T04:00Z,338834,,,,,,,,,,,,
2015-09-01T04:00Z,538149,,,,,,,,,,,,
2015-10-01T04:00Z,529856,,,,,,,,,,,,
2015-11-01T04:00Z,518512,,,,,,,,,,,,
2015-12-01T05:00Z,329975,,,,,,,,,,,,
2016-01-01T05:00Z,416983,,,,,,,,,,,,
2016-02-01T05:00Z,529061,,,,,,,,,,,,
2016-03-01T05:00Z,523210,,,,,,,,,,,,
2016-04-01T04:00Z,550158,,,,,,,,,,,,
2016-05-01T04:00Z,445393,,,,,,,,,,,,
2016-06-01T04:00Z,563546,,,,,,,,,,,,
2016-07-01T04:00Z,410630,,,,,,,,,,,,
2016-08-01T04:00Z,410256,,,,,,,,,,,,
2016-09-01T04:00Z,529463,,,,,,,,,,,,
2016-10-01T04:00Z,464434,,,,,,,,,,,,
2016-11-01T04:00Z,535180,,,,,,,,,,,,
2016-12-01T05:00Z,368494,,,,,,,,,,,,
