age,value
20-29,0.146400924
20-29,0.15778549
20-29,0.130563083
20-29,0.140865415
20-29,0.142005834
20-29,0.125685502
20-29,0.132230706
20-29,0.142185037
20-29,0.136053165
30-39,0.124559507
30-39,0.138437006
30-39,0.127375224
30-39,0.125653198
30-39,0.138513051
30-39,0.143000525
30-39,0.118400923
30-39,0.122032321
30-39,0.184398089
30-39,0.121206047
30-39,0.134386276
30-39,0.132696883
30-39,0.128096715
30-39,0.133986643
30-39,0.125514259
30-39,0.123491714
30-39,0.127223896
30-39,0.126519128
30-39,0.132469805
30-39,0.111055302
30-39,0.131562063
30-39,0.125673098
30-39,0.1172788
30-39,0.131278725
30-39,0.125359629
30-39,0.125915172
30-39,0.122146863
30-39,0.129825824
30-39,0.13745592
30-39,0.114055486
30-39,0.128255021
30-39,0.125117818
30-39,0.132268597
30-39,0.127652948
30-39,0.128657823
30-39,0.120715554
30-39,0.129371819
30-39,0.135040418
30-39,0.11893083
30-39,0.119965936
30-39,0.123379469
30-39,0.123962174
30-39,0.127872915
30-39,0.139875098
30-39,0.147878852
30-39,0.111923532
30-39,0.133823191
30-39,0.137225076
30-39,0.119438251
30-39,0.124153619
30-39,0.131917966
30-39,0.125189516
40-49,0.129224914
40-49,0.124229326
40-49,0.123843422
40-49,0.12469614
40-49,0.133989507
40-49,0.131631119
40-49,0.138290461
40-49,0.125803604
40-49,0.122259332
40-49,0.129202254
40-49,0.139088374
40-49,0.12513785
40-49,0.119033949
40-49,0.132050321
40-49,0.128089993
40-49,0.119333134
40-49,0.118837922
40-49,0.131585324
40-49,0.123123468
40-49,0.133021235
40-49,0.136894029
40-49,0.135877569
40-49,0.129482724
40-49,0.126989133
40-49,0.126176238
40-49,0.123932715
40-49,0.113839188
40-49,0.118260697
40-49,0.136403149
40-49,0.137629068
40-49,0.140722135
40-49,0.117323492
40-49,0.132876391
40-49,0.136582788
40-49,0.109115928
40-49,0.128675808
40-49,0.121119654
40-49,0.127521836
40-49,0.128699465
40-49,0.130766408
40-49,0.128199098
40-49,0.113139175
40-49,0.132306324
40-49,0.131536162
40-49,0.111438743
40-49,0.127715972
40-49,0.13656882
40-49,0.130239783
40-49,0.129039073
40-49,0.127246864
40-49,0.117428121
40-49,0.12920353
50-59,0.139194623
50-59,0.141912588
50-59,0.124076458
50-59,0.133088673
50-59,0.130441019
50-59,0.135402324
50-59,0.152250339
50-59,0.142646532
50-59,0.113471895
50-59,0.138603416
50-59,0.132482682
50-59,0.133296738
50-59,0.125449179
50-59,0.137987053
50-59,0.138366675
50-59,0.137628119
50-59,0.134504736
50-59,0.141243326
50-59,0.136026881
50-59,0.162255258
50-59,0.14476379
50-59,0.145225042
50-59,0.146773028
50-59,0.143583554
50-59,0.13387029
50-59,0.141515411
50-59,0.146376116
50-59,0.13337398
50-59,0.131642958
50-59,0.16418042
50-59,0.146628843
50-59,0.134617167
50-59,0.139897247
50-59,0.136418918
50-59,0.134057449
50-59,0.144800427
50-59,0.132328273
50-59,0.134200193
50-59,0.147166879
50-59,0.148059111
50-59,0.137220724
50-59,0.137490042
50-59,0.138098772
50-59,0.124086512
50-59,0.102290476
50-59,0.158916022
50-59,0.139829833
50-59,0.137195952
50-59,0.145900638
50-59,0.147472075
50-59,0.138960498
50-59,0.128210156
60-69,0.113273585
60-69,0.095640255
60-69,0.109664198
60-69,0.111078696
60-69,0.096689633
60-69,0.105121289
60-69,0.111742282
60-69,0.118564879
60-69,0.086469229
60-69,0.120628303
60-69,0.098843586
60-69,0.116686815
60-69,0.109710098
60-69,0.103186555
60-69,0.106914737
60-69,0.110744292
60-69,0.103771118
60-69,0.112361114
60-69,0.105226157
60-69,0.135000297
60-69,0.106765011
60-69,0.109431823
60-69,0.115860479
60-69,0.105912123
60-69,0.106866003
60-69,0.110382265
60-69,0.127983342
60-69,0.104028738
60-69,0.10906384
60-69,0.123756406
60-69,0.106152619
60-69,0.11477772
60-69,0.106369416
60-69,0.110183981
60-69,0.100283633
60-69,0.113988325
60-69,0.10442387
60-69,0.123269987
60-69,0.1166723
60-69,0.111573261
60-69,0.119938651
60-69,0.109068947
60-69,0.113171042
60-69,0.090200874
60-69,0.078010071
60-69,0.131155499
60-69,0.106104821
60-69,0.110871174
60-69,0.131687912
60-69,0.112082996
60-69,0.115747244
60-69,0.116712685
70-79,0.065397082
70-79,0.038572039
70-79,0.069279582
70-79,0.06669593
70-79,0.052042926
70-79,0.051213079
70-79,0.060700223
70-79,0.069936182
70-79,0.047589638
70-79,0.081042964
70-79,0.052291441
70-79,0.060371104
70-79,0.059689401
70-79,0.056710156
70-79,0.058393421
70-79,0.063485385
70-79,0.057310996
70-79,0.06209467
70-79,0.057284095
70-79,0.073612532
70-79,0.05549353
70-79,0.059614725
70-79,0.062537539
70-79,0.057404802
70-79,0.060616715
70-79,0.064044282
70-79,0.068915986
70-79,0.057222318
70-79,0.061109013
70-79,0.063872549
70-79,0.058731713
70-79,0.064826912
70-79,0.058893643
70-79,0.061286042
70-79,0.056166985
70-79,0.062842988
70-79,0.061896914
70-79,0.064237029
70-79,0.066559647
70-79,0.060084913
70-79,0.066618266
70-79,0.059218056
70-79,0.063368728
70-79,0.047910119
70-79,0.041945756
70-79,0.068627654
70-79,0.057174945
70-79,0.056706591
70-79,0.07482509
70-79,0.060952965
70-79,0.05629051
70-79,0.076155761
≥80,0.036103094
≥80,0.01696806
≥80,0.03785585
≥80,0.038224379
≥80,0.033925778
≥80,0.028954368
≥80,0.044439707
≥80,0.038447836
≥80,0.029829638
≥80,0.051145928
≥80,0.026653478
≥80,0.046729336
≥80,0.033160846
≥80,0.037267334
≥80,0.036896293
≥80,0.046218859
≥80,0.040588388
≥80,0.03514832
≥80,0.0327322
≥80,0.046624504
≥80,0.034913158
≥80,0.042776903
≥80,0.040193651
≥80,0.039623964
≥80,0.033684353
≥80,0.040027718
≥80,0.040961861
≥80,0.041729501
≥80,0.028977815
≥80,0.039587105
≥80,0.041212923
≥80,0.03572003
≥80,0.040822072
≥80,0.034453569
≥80,0.043748523
≥80,0.041589061
≥80,0.035621682
≥80,0.0394632
≥80,0.048112493
≥80,0.048384481
≥80,0.034486168
≥80,0.04528481
≥80,0.034740789
≥80,0.027161566
≥80,0.023982619
≥80,0.042564539
≥80,0.03304405
≥80,0.034297185
≥80,0.042901979
≥80,0.042007904
≥80,0.033758184
≥80,0.042206503
