name,Attribute,Value
AMC Rebel SST (Wagon),displacement(cc),360
AMC Rebel SST (Wagon),power(hp),175
AMC Rebel SST,economy(mpg),16
AMC Rebel SST,cylinders,8
AMC Rebel SST,displacement(cc),304
AMC Rebel SST,power(hp),150
AMC Spirit DL,economy(mpg),27.4
AMC Spirit DL,cylinders,4
AMC Spirit DL,displacement(cc),121
AMC Spirit DL,power(hp),80
Audi 100 LS,economy(mpg),20
Audi 100 LS,cylinders,4
Audi 100 LS,displacement(cc),114
Audi 100 LS,power(hp),91
Audi 100 LS,economy(mpg),23
Audi 100 LS,cylinders,4
Audi 100 LS,displacement(cc),115
Audi 100 LS,power(hp),95
Audi 100 LS,economy(mpg),24
Audi 100 LS,cylinders,4
Audi 100 LS,displacement(cc),107
Audi 100 LS,power(hp),90
Audi 4000,economy(mpg),34.3
Audi 4000,cylinders,4
Audi 4000,displacement(cc),97
Audi 4000,power(hp),78
Audi 5000,economy(mpg),20.3
Audi 5000,cylinders,5
Audi 5000,displacement(cc),131
Audi 5000,power(hp),103
Audi 5000S (Diesel),economy(mpg),36.4
Audi 5000S (Diesel),cylinders,5
Audi 5000S (Diesel),displacement(cc),121
Audi 5000S (Diesel),power(hp),67
Audi Fox,economy(mpg),29
Audi Fox,cylinders,4
Audi Fox,displacement(cc),98
Audi Fox,power(hp),83
BMW 2002,economy(mpg),26
BMW 2002,cylinders,4
BMW 2002,displacement(cc),121
BMW 2002,power(hp),113
BMW 320i,economy(mpg),21.5
BMW 320i,cylinders,4
BMW 320i,displacement(cc),121
BMW 320i,power(hp),110
Buick Century 350,economy(mpg),13
Buick Century 350,cylinders,8
Buick Century 350,displacement(cc),350
Buick Century 350,power(hp),175
Buick Century Limited,economy(mpg),25
Buick Century Limited,cylinders,6
Buick Century Limited,displacement(cc),181
Buick Century Limited,power(hp),110
Buick Century Luxus (Wagon),economy(mpg),13
Buick Century Luxus (Wagon),cylinders,8
Buick Century Luxus (Wagon),displacement(cc),350
Buick Century Luxus (Wagon),power(hp),150
Buick Century Special,economy(mpg),20.6
Buick Century Special,cylinders,6
Buick Century Special,displacement(cc),231
Buick Century Special,power(hp),105
Buick Century,economy(mpg),17
Buick Century,cylinders,6
Buick Century,displacement(cc),231
Buick Century,power(hp),110
Buick Century,economy(mpg),22.4
Buick Century,cylinders,6
Buick Century,displacement(cc),231
Buick Century,power(hp),110
Buick Electra 225 Custom,economy(mpg),12
Buick Electra 225 Custom,cylinders,8
Buick Electra 225 Custom,displacement(cc),455
Buick Electra 225 Custom,power(hp),225
Buick Estate Wagon (Wagon),economy(mpg),14
Buick Estate Wagon (Wagon),cylinders,8
Buick Estate Wagon (Wagon),displacement(cc),455
Buick Estate Wagon (Wagon),power(hp),225
Buick Estate Wagon (Wagon),economy(mpg),16.9
Buick Estate Wagon (Wagon),cylinders,8
Buick Estate Wagon (Wagon),displacement(cc),350
Buick Estate Wagon (Wagon),power(hp),155
Buick Lesabre Custom,economy(mpg),13
Buick Lesabre Custom,cylinders,8
Buick Lesabre Custom,displacement(cc),350
Buick Lesabre Custom,power(hp),155
Buick Opel Isuzu Deluxe,economy(mpg),30
Buick Opel Isuzu Deluxe,cylinders,4
Buick Opel Isuzu Deluxe,displacement(cc),111
Buick Opel Isuzu Deluxe,power(hp),80
Buick Regal Sport Coupe (Turbo),economy(mpg),17.7
Buick Regal Sport Coupe (Turbo),cylinders,6
Buick Regal Sport Coupe (Turbo),displacement(cc),231
Buick Regal Sport Coupe (Turbo),power(hp),165
Buick Skyhawk,economy(mpg),21
Buick Skyhawk,cylinders,6
Buick Skyhawk,displacement(cc),231
Buick Skyhawk,power(hp),110
Buick Skylark 320,economy(mpg),15
Buick Skylark 320,cylinders,8
Buick Skylark 320,displacement(cc),350
Buick Skylark 320,power(hp),165
Buick Skylark Limited,economy(mpg),28.4
Buick Skylark Limited,cylinders,4
Buick Skylark Limited,displacement(cc),151
Buick Skylark Limited,power(hp),90
Buick Skylark,economy(mpg),20.5
Buick Skylark,cylinders,6
Buick Skylark,displacement(cc),231
Buick Skylark,power(hp),105
Buick Skylark,economy(mpg),26.6
Buick Skylark,cylinders,4
Buick Skylark,displacement(cc),151
Buick Skylark,power(hp),84
Cadillac Eldorado,economy(mpg),23
Cadillac Eldorado,cylinders,8
Cadillac Eldorado,displacement(cc),350
Cadillac Eldorado,power(hp),125
Cadillac Seville,economy(mpg),16.5
Cadillac Seville,cylinders,8
Cadillac Seville,displacement(cc),350
Cadillac Seville,power(hp),180
Chevroelt Chevelle Malibu,economy(mpg),16
Chevroelt Chevelle Malibu,cylinders,6
Chevroelt Chevelle Malibu,displacement(cc),250
Chevroelt Chevelle Malibu,power(hp),105
Chevrolet Bel Air,economy(mpg),15
Chevrolet Bel Air,cylinders,8
Chevrolet Bel Air,displacement(cc),350
Chevrolet Bel Air,power(hp),145
Chevrolet Camaro,economy(mpg),27
Chevrolet Camaro,cylinders,4
Chevrolet Camaro,displacement(cc),151
Chevrolet Camaro,power(hp),90
Chevrolet Caprice Classic,economy(mpg),13
Chevrolet Caprice Classic,cylinders,8
Chevrolet Caprice Classic,displacement(cc),400
Chevrolet Caprice Classic,power(hp),150
Chevrolet Caprice Classic,economy(mpg),17
Chevrolet Caprice Classic,cylinders,8
Chevrolet Caprice Classic,displacement(cc),305
Chevrolet Caprice Classic,power(hp),130
Chevrolet Caprice Classic,economy(mpg),17.5
Chevrolet Caprice Classic,cylinders,8
Chevrolet Caprice Classic,displacement(cc),305
Chevrolet Caprice Classic,power(hp),145
Chevrolet Cavalier 2-Door,economy(mpg),34
Chevrolet Cavalier 2-Door,cylinders,4
Chevrolet Cavalier 2-Door,displacement(cc),112
Chevrolet Cavalier 2-Door,power(hp),88
Chevrolet Cavalier Wagon,economy(mpg),27
Chevrolet Cavalier Wagon,cylinders,4
Chevrolet Cavalier Wagon,displacement(cc),112
Chevrolet Cavalier Wagon,power(hp),88
Chevrolet Cavalier,economy(mpg),28
Chevrolet Cavalier,cylinders,4
Chevrolet Cavalier,displacement(cc),112
Chevrolet Cavalier,power(hp),88
Chevrolet Chevelle Concours (Wagon),economy(mpg),-1
Chevrolet Chevelle Concours (Wagon),cylinders,8
Chevrolet Chevelle Concours (Wagon),displacement(cc),350
Chevrolet Chevelle Concours (Wagon),power(hp),165
Chevrolet Chevelle Concours (Wagon),economy(mpg),13
Chevrolet Chevelle Concours (Wagon),cylinders,8
Chevrolet Chevelle Concours (Wagon),displacement(cc),307
Chevrolet Chevelle Concours (Wagon),power(hp),130
Chevrolet Chevelle Malibu Classic,economy(mpg),16
Chevrolet Chevelle Malibu Classic,cylinders,6
Chevrolet Chevelle Malibu Classic,displacement(cc),250
Chevrolet Chevelle Malibu Classic,power(hp),100
Chevrolet Chevelle Malibu Classic,economy(mpg),17.5
Chevrolet Chevelle Malibu Classic,cylinders,8
Chevrolet Chevelle Malibu Classic,displacement(cc),305
Chevrolet Chevelle Malibu Classic,power(hp),140
Chevrolet Chevelle Malibu,economy(mpg),17
Chevrolet Chevelle Malibu,cylinders,6
Chevrolet Chevelle Malibu,displacement(cc),250
Chevrolet Chevelle Malibu,power(hp),100
Chevrolet Chevelle Malibu,economy(mpg),18
Chevrolet Chevelle Malibu,cylinders,8
Chevrolet Chevelle Malibu,displacement(cc),307
Chevrolet Chevelle Malibu,power(hp),130
Chevrolet Chevette,economy(mpg),29
Chevrolet Chevette,cylinders,4
Chevrolet Chevette,displacement(cc),85
Chevrolet Chevette,power(hp),52
Chevrolet Chevette,economy(mpg),30
Chevrolet Chevette,cylinders,4
Chevrolet Chevette,displacement(cc),98
Chevrolet Chevette,power(hp),68
Chevrolet Chevette,economy(mpg),30.5
Chevrolet Chevette,cylinders,4
Chevrolet Chevette,displacement(cc),98
Chevrolet Chevette,power(hp),63
Chevrolet Chevette,economy(mpg),32.1
Chevrolet Chevette,cylinders,4
Chevrolet Chevette,displacement(cc),98
Chevrolet Chevette,power(hp),70
Chevrolet Citation,economy(mpg),23.5
Chevrolet Citation,cylinders,6
Chevrolet Citation,displacement(cc),173
Chevrolet Citation,power(hp),110
Chevrolet Citation,economy(mpg),28
Chevrolet Citation,cylinders,4
Chevrolet Citation,displacement(cc),151
Chevrolet Citation,power(hp),90
Chevrolet Citation,economy(mpg),28.8
Chevrolet Citation,cylinders,6
Chevrolet Citation,displacement(cc),173
Chevrolet Citation,power(hp),115
Chevrolet Concours,economy(mpg),17.5
Chevrolet Concours,cylinders,6
Chevrolet Concours,displacement(cc),250
Chevrolet Concours,power(hp),110
Chevrolet Impala,economy(mpg),11
Chevrolet Impala,cylinders,8
Chevrolet Impala,displacement(cc),400
Chevrolet Impala,power(hp),150
Chevrolet Impala,economy(mpg),13
Chevrolet Impala,cylinders,8
Chevrolet Impala,displacement(cc),350
Chevrolet Impala,power(hp),165
Chevrolet Impala,economy(mpg),14
Chevrolet Impala,cylinders,8
Chevrolet Impala,displacement(cc),350
Chevrolet Impala,power(hp),165
Chevrolet Impala,economy(mpg),14
Chevrolet Impala,cylinders,8
Chevrolet Impala,displacement(cc),454
Chevrolet Impala,power(hp),220
Chevrolet Malibu Classic (Wagon),economy(mpg),19.2
Chevrolet Malibu Classic (Wagon),cylinders,8
Chevrolet Malibu Classic (Wagon),displacement(cc),267
Chevrolet Malibu Classic (Wagon),power(hp),125
Chevrolet Malibu,economy(mpg),13
Chevrolet Malibu,cylinders,8
Chevrolet Malibu,displacement(cc),350
Chevrolet Malibu,power(hp),145
Chevrolet Malibu,economy(mpg),20.5
Chevrolet Malibu,cylinders,6
Chevrolet Malibu,displacement(cc),200
Chevrolet Malibu,power(hp),95
Chevrolet Monte Carlo Landau,economy(mpg),15.5
Chevrolet Monte Carlo Landau,cylinders,8
Chevrolet Monte Carlo Landau,displacement(cc),350
Chevrolet Monte Carlo Landau,power(hp),170
Chevrolet Monte Carlo Landau,economy(mpg),19.2
Chevrolet Monte Carlo Landau,cylinders,8
Chevrolet Monte Carlo Landau,displacement(cc),305
Chevrolet Monte Carlo Landau,power(hp),145
Chevrolet Monte Carlo S,economy(mpg),15
Chevrolet Monte Carlo S,cylinders,8
Chevrolet Monte Carlo S,displacement(cc),350
Chevrolet Monte Carlo S,power(hp),145
Chevrolet Monte Carlo,economy(mpg),15
Chevrolet Monte Carlo,cylinders,8
Chevrolet Monte Carlo,displacement(cc),400
Chevrolet Monte Carlo,power(hp),150
Chevrolet Monza 2+2,economy(mpg),20
Chevrolet Monza 2+2,cylinders,8
Chevrolet Monza 2+2,displacement(cc),262
Chevrolet Monza 2+2,power(hp),110
Chevrolet Nova Custom,economy(mpg),16
Chevrolet Nova Custom,cylinders,6
Chevrolet Nova Custom,displacement(cc),250
Chevrolet Nova Custom,power(hp),100
Chevrolet Nova,economy(mpg),15
Chevrolet Nova,cylinders,6
Chevrolet Nova,displacement(cc),250
Chevrolet Nova,power(hp),100
Chevrolet Nova,economy(mpg),18
Chevrolet Nova,cylinders,6
Chevrolet Nova,displacement(cc),250
Chevrolet Nova,power(hp),105
Chevrolet Nova,economy(mpg),22
Chevrolet Nova,cylinders,6
Chevrolet Nova,displacement(cc),250
Chevrolet Nova,power(hp),105
Chevrolet Vega (Wagon),economy(mpg),22
Chevrolet Vega (Wagon),cylinders,4
Chevrolet Vega (Wagon),displacement(cc),140
Chevrolet Vega (Wagon),power(hp),72
Chevrolet Vega 2300,economy(mpg),28
Chevrolet Vega 2300,cylinders,4
Chevrolet Vega 2300,displacement(cc),140
Chevrolet Vega 2300,power(hp),90
Chevrolet Vega,economy(mpg),20
Chevrolet Vega,cylinders,4
Chevrolet Vega,displacement(cc),140
Chevrolet Vega,power(hp),90
Chevrolet Vega,economy(mpg),21
Chevrolet Vega,cylinders,4
Chevrolet Vega,displacement(cc),140
Chevrolet Vega,power(hp),72
Chevrolet Vega,economy(mpg),25
Chevrolet Vega,cylinders,4
Chevrolet Vega,displacement(cc),140
Chevrolet Vega,power(hp),75
Chevrolet Woody,economy(mpg),24.5
Chevrolet Woody,cylinders,4
Chevrolet Woody,displacement(cc),98
Chevrolet Woody,power(hp),60
Chevy C10,economy(mpg),13
Chevy C10,cylinders,8
Chevy C10,displacement(cc),350
Chevy C10,power(hp),145
Chevy C20,economy(mpg),10
Chevy C20,cylinders,8
Chevy C20,displacement(cc),307
Chevy C20,power(hp),200
Chevy S-10,economy(mpg),31
Chevy S-10,cylinders,4
Chevy S-10,displacement(cc),119
Chevy S-10,power(hp),82
Chrysler Cordoba,economy(mpg),15.5
Chrysler Cordoba,cylinders,8
Chrysler Cordoba,displacement(cc),400
Chrysler Cordoba,power(hp),190
Chrysler Lebaron Medallion,economy(mpg),26
Chrysler Lebaron Medallion,cylinders,4
Chrysler Lebaron Medallion,displacement(cc),156
Chrysler Lebaron Medallion,power(hp),92
Chrysler Lebaron Salon,economy(mpg),17.6
Chrysler Lebaron Salon,cylinders,6
Chrysler Lebaron Salon,displacement(cc),225
Chrysler Lebaron Salon,power(hp),85
Chrysler Lebaron Town & Country (Wagon),economy(mpg),18.5
Chrysler Lebaron Town & Country (Wagon),cylinders,8
Chrysler Lebaron Town & Country (Wagon),displacement(cc),360
Chrysler Lebaron Town & Country (Wagon),power(hp),150
Chrysler New Yorker Brougham,economy(mpg),13
Chrysler New Yorker Brougham,cylinders,8
Chrysler New Yorker Brougham,displacement(cc),440
Chrysler New Yorker Brougham,power(hp),215
Chrysler Newport Royal,economy(mpg),13
Chrysler Newport Royal,cylinders,8
Chrysler Newport Royal,displacement(cc),400
Chrysler Newport Royal,power(hp),190
Citroen DS-21 Pallas,economy(mpg),-1
Citroen DS-21 Pallas,cylinders,4
Citroen DS-21 Pallas,displacement(cc),133
Citroen DS-21 Pallas,power(hp),115
Datsun 1200,economy(mpg),35
Datsun 1200,cylinders,4
Datsun 1200,displacement(cc),72
Datsun 1200,power(hp),69
Datsun 200SX,economy(mpg),23.9
Datsun 200SX,cylinders,4
Datsun 200SX,displacement(cc),119
Datsun 200SX,power(hp),97
Datsun 200SX,economy(mpg),32.9
Datsun 200SX,cylinders,4
Datsun 200SX,displacement(cc),119
Datsun 200SX,power(hp),100
Datsun 210,economy(mpg),31.8
Datsun 210,cylinders,4
Datsun 210,displacement(cc),85
Datsun 210,power(hp),65
Datsun 210,economy(mpg),37
Datsun 210,cylinders,4
Datsun 210,displacement(cc),85
Datsun 210,power(hp),65
Datsun 210,economy(mpg),40.8
Datsun 210,cylinders,4
Datsun 210,displacement(cc),85
Datsun 210,power(hp),65
Datsun 280ZX,economy(mpg),32.7
Datsun 280ZX,cylinders,6
Datsun 280ZX,displacement(cc),168
Datsun 280ZX,power(hp),132
Datsun 310 GX,economy(mpg),38
Datsun 310 GX,cylinders,4
Datsun 310 GX,displacement(cc),91
Datsun 310 GX,power(hp),67
Datsun 310,economy(mpg),37.2
Datsun 310,cylinders,4
Datsun 310,displacement(cc),86
Datsun 310,power(hp),65
Datsun 510 (Wagon),economy(mpg),28
Datsun 510 (Wagon),cylinders,4
Datsun 510 (Wagon),displacement(cc),97
Datsun 510 (Wagon),power(hp),92
Datsun 510 Hatchback,economy(mpg),37
Datsun 510 Hatchback,cylinders,4
Datsun 510 Hatchback,displacement(cc),119
Datsun 510 Hatchback,power(hp),92
Datsun 510,economy(mpg),27.2
Datsun 510,cylinders,4
Datsun 510,displacement(cc),119
Datsun 510,power(hp),97
Datsun 610,economy(mpg),22
Datsun 610,cylinders,4
Datsun 610,displacement(cc),108
Datsun 610,power(hp),94
Datsun 710,economy(mpg),24
Datsun 710,cylinders,4
Datsun 710,displacement(cc),119
Datsun 710,power(hp),97
Datsun 710,economy(mpg),32
Datsun 710,cylinders,4
Datsun 710,displacement(cc),83
Datsun 710,power(hp),61
Datsun 810 Maxima,economy(mpg),24.2
Datsun 810 Maxima,cylinders,6
Datsun 810 Maxima,displacement(cc),146
Datsun 810 Maxima,power(hp),120
Datsun 810,economy(mpg),22
Datsun 810,cylinders,6
Datsun 810,displacement(cc),146
Datsun 810,power(hp),97
Datsun B-210,economy(mpg),32
Datsun B-210,cylinders,4
Datsun B-210,displacement(cc),85
Datsun B-210,power(hp),70
Datsun B210 GX,economy(mpg),39.4
Datsun B210 GX,cylinders,4
Datsun B210 GX,displacement(cc),85
Datsun B210 GX,power(hp),70
Datsun B210,economy(mpg),31
Datsun B210,cylinders,4
Datsun B210,displacement(cc),79
Datsun B210,power(hp),67
Datsun F-10 Hatchback,economy(mpg),33.5
Datsun F-10 Hatchback,cylinders,4
Datsun F-10 Hatchback,displacement(cc),85
Datsun F-10 Hatchback,power(hp),70
Datsun PL510,economy(mpg),27
Datsun PL510,cylinders,4
Datsun PL510,displacement(cc),97
Datsun PL510,power(hp),88
Datsun PL510,economy(mpg),27
Datsun PL510,cylinders,4
Datsun PL510,displacement(cc),97
Datsun PL510,power(hp),88
Dodge Aries SE,economy(mpg),29
Dodge Aries SE,cylinders,4
Dodge Aries SE,displacement(cc),135
Dodge Aries SE,power(hp),84
Dodge Aries Wagon (Wagon),economy(mpg),25.8
Dodge Aries Wagon (Wagon),cylinders,4
Dodge Aries Wagon (Wagon),displacement(cc),156
Dodge Aries Wagon (Wagon),power(hp),92
Dodge Aspen 6,economy(mpg),20.6
Dodge Aspen 6,cylinders,6
Dodge Aspen 6,displacement(cc),225
Dodge Aspen 6,power(hp),110
Dodge Aspen SE,economy(mpg),20
Dodge Aspen SE,cylinders,6
Dodge Aspen SE,displacement(cc),225
Dodge Aspen SE,power(hp),100
Dodge Aspen,economy(mpg),18.6
Dodge Aspen,cylinders,6
Dodge Aspen,displacement(cc),225
Dodge Aspen,power(hp),110
Dodge Aspen,economy(mpg),19.1
Dodge Aspen,cylinders,6
Dodge Aspen,displacement(cc),225
Dodge Aspen,power(hp),90
Dodge Challenger SE,economy(mpg),15
Dodge Challenger SE,cylinders,8
Dodge Challenger SE,displacement(cc),383
Dodge Challenger SE,power(hp),170
Dodge Charger 2.2,economy(mpg),36
Dodge Charger 2.2,cylinders,4
Dodge Charger 2.2,displacement(cc),135
Dodge Charger 2.2,power(hp),84
Dodge Colt (Wagon),economy(mpg),28
Dodge Colt (Wagon),cylinders,4
Dodge Colt (Wagon),displacement(cc),98
Dodge Colt (Wagon),power(hp),80
Dodge Colt Hardtop,economy(mpg),25
Dodge Colt Hardtop,cylinders,4
Dodge Colt Hardtop,displacement(cc),97.5
Dodge Colt Hardtop,power(hp),80
Dodge Colt Hatchback Custom,economy(mpg),35.7
Dodge Colt Hatchback Custom,cylinders,4
Dodge Colt Hatchback Custom,displacement(cc),98
Dodge Colt Hatchback Custom,power(hp),80
Dodge Colt M/M,economy(mpg),33.5
Dodge Colt M/M,cylinders,4
Dodge Colt M/M,displacement(cc),98
Dodge Colt M/M,power(hp),83
Dodge Colt,economy(mpg),26
Dodge Colt,cylinders,4
Dodge Colt,displacement(cc),98
Dodge Colt,power(hp),79
Dodge Colt,economy(mpg),27.9
Dodge Colt,cylinders,4
Dodge Colt,displacement(cc),156
Dodge Colt,power(hp),105
Dodge Colt,economy(mpg),28
Dodge Colt,cylinders,4
Dodge Colt,displacement(cc),90
Dodge Colt,power(hp),75
Dodge Coronet Brougham,economy(mpg),16
Dodge Coronet Brougham,cylinders,8
Dodge Coronet Brougham,displacement(cc),318
Dodge Coronet Brougham,power(hp),150
Dodge Coronet Custom (Wagon),economy(mpg),14
Dodge Coronet Custom (Wagon),cylinders,8
Dodge Coronet Custom (Wagon),displacement(cc),318
Dodge Coronet Custom (Wagon),power(hp),150
Dodge Coronet Custom,economy(mpg),15
Dodge Coronet Custom,cylinders,8
Dodge Coronet Custom,displacement(cc),318
Dodge Coronet Custom,power(hp),150
Dodge D100,economy(mpg),13
Dodge D100,cylinders,8
Dodge D100,displacement(cc),318
Dodge D100,power(hp),150
Dodge D200,economy(mpg),11
Dodge D200,cylinders,8
Dodge D200,displacement(cc),318
Dodge D200,power(hp),210
Dodge Dart Custom,economy(mpg),15
Dodge Dart Custom,cylinders,8
Dodge Dart Custom,displacement(cc),318
Dodge Dart Custom,power(hp),150
Dodge Diplomat,economy(mpg),19.4
Dodge Diplomat,cylinders,8
Dodge Diplomat,displacement(cc),318
Dodge Diplomat,power(hp),140
Dodge Magnum XE,economy(mpg),17.5
Dodge Magnum XE,cylinders,8
Dodge Magnum XE,displacement(cc),318
Dodge Magnum XE,power(hp),140
Dodge Monaco (Wagon),economy(mpg),12
Dodge Monaco (Wagon),cylinders,8
Dodge Monaco (Wagon),displacement(cc),383
Dodge Monaco (Wagon),power(hp),180
Dodge Monaco Brougham,economy(mpg),15.5
Dodge Monaco Brougham,cylinders,8
Dodge Monaco Brougham,displacement(cc),318
Dodge Monaco Brougham,power(hp),145
Dodge Omni,economy(mpg),30.9
Dodge Omni,cylinders,4
Dodge Omni,displacement(cc),105
Dodge Omni,power(hp),75
Dodge Rampage,economy(mpg),32
Dodge Rampage,cylinders,4
Dodge Rampage,displacement(cc),135
Dodge Rampage,power(hp),84
Dodge St. Regis,economy(mpg),18.2
Dodge St. Regis,cylinders,8
Dodge St. Regis,displacement(cc),318
Dodge St. Regis,power(hp),135
Fiat 124 Sport Coupe,economy(mpg),26
Fiat 124 Sport Coupe,cylinders,4
Fiat 124 Sport Coupe,displacement(cc),98
Fiat 124 Sport Coupe,power(hp),90
Fiat 124 TC,economy(mpg),26
Fiat 124 TC,cylinders,4
Fiat 124 TC,displacement(cc),116
Fiat 124 TC,power(hp),75
Fiat 124B,economy(mpg),30
Fiat 124B,cylinders,4
Fiat 124B,displacement(cc),88
Fiat 124B,power(hp),76
Fiat 128,economy(mpg),24
Fiat 128,cylinders,4
Fiat 128,displacement(cc),90
Fiat 128,power(hp),75
Fiat 128,economy(mpg),29
Fiat 128,cylinders,4
Fiat 128,displacement(cc),68
Fiat 128,power(hp),49
Fiat 131,economy(mpg),28
Fiat 131,cylinders,4
Fiat 131,displacement(cc),107
Fiat 131,power(hp),86
Fiat Strada Custom,economy(mpg),37.3
Fiat Strada Custom,cylinders,4
Fiat Strada Custom,displacement(cc),91
Fiat Strada Custom,power(hp),69
Fiat X1.9,economy(mpg),31
Fiat X1.9,cylinders,4
Fiat X1.9,displacement(cc),79
Fiat X1.9,power(hp),67
Ford Capri II,economy(mpg),25
Ford Capri II,cylinders,4
Ford Capri II,displacement(cc),140
Ford Capri II,power(hp),92
Ford Country Squire (Wagon),economy(mpg),13
Ford Country Squire (Wagon),cylinders,8
Ford Country Squire (Wagon),displacement(cc),400
Ford Country Squire (Wagon),power(hp),170
Ford Country Squire (Wagon),economy(mpg),15.5
Ford Country Squire (Wagon),cylinders,8
Ford Country Squire (Wagon),displacement(cc),351
Ford Country Squire (Wagon),power(hp),142
Ford Country,economy(mpg),12
Ford Country,cylinders,8
Ford Country,displacement(cc),400
Ford Country,power(hp),167
Ford Escort 2H,economy(mpg),29.9
Ford Escort 2H,cylinders,4
Ford Escort 2H,displacement(cc),98
Ford Escort 2H,power(hp),65
Ford Escort 4W,economy(mpg),34.4
Ford Escort 4W,cylinders,4
Ford Escort 4W,displacement(cc),98
Ford Escort 4W,power(hp),65
Ford F108,economy(mpg),13
Ford F108,cylinders,8
Ford F108,displacement(cc),302
Ford F108,power(hp),130
Ford F250,economy(mpg),10
Ford F250,cylinders,8
Ford F250,displacement(cc),360
Ford F250,power(hp),215
Ford Fairmont (Auto),economy(mpg),20.2
Ford Fairmont (Auto),cylinders,6
Ford Fairmont (Auto),displacement(cc),200
Ford Fairmont (Auto),power(hp),85
Ford Fairmont (Man),economy(mpg),25.1
Ford Fairmont (Man),cylinders,4
Ford Fairmont (Man),displacement(cc),140
Ford Fairmont (Man),power(hp),88
Ford Fairmont 4,economy(mpg),22.3
Ford Fairmont 4,cylinders,4
Ford Fairmont 4,displacement(cc),140
Ford Fairmont 4,power(hp),88
Ford Fairmont Futura,economy(mpg),24
Ford Fairmont Futura,cylinders,4
Ford Fairmont Futura,displacement(cc),140
Ford Fairmont Futura,power(hp),92
Ford Fairmont,economy(mpg),26.4
Ford Fairmont,cylinders,4
