,pol,char
217,0.0,Kanna
218,0.882,Kanna
219,0.4767,Sokka
220,0.25,Kanna
221,-0.4404,Katara
222,0.0,Katara
223,0.3612,Sokka
224,0.5106,Zuko
225,0.0,Iroh
226,0.2411,Aang
227,0.0,Firebender
228,0.0,Firebender
229,0.0,Sokka
230,0.7717,Katara
231,0.0,Sokka
232,0.6081,Katara
233,0.0,Sokka
234,0.0,Katara
235,0.0,Sokka
236,0.0,Sokka
237,0.0,Aang
238,0.4926,Aang
239,-0.1511,Aang
240,0.0,Aang
241,0.1027,Zuko
242,0.0,Zuko
243,0.0,Aang
244,-0.4184,Katara
245,0.0,Katara
246,0.0,Katara
247,0.0,Sokka
248,0.2942,Katara
249,0.4404,Aang
250,0.6808,Sokka
251,0.0,Aang
252,0.0,Sokka
253,0.4559,Sokka
254,0.0,Sokka
255,0.0,Katara
256,0.0,Sokka
257,0.0,Iroh
258,-0.4003,Zuko
259,-0.0258,Iroh
260,0.2914,Zuko
261,0.0,Zuko
262,0.7216,Katara
263,0.0,Aang
264,0.0,Katara
265,0.0,Aang
266,-0.8145,Katara
267,0.0,Aang
268,-0.34,Katara
269,0.0,Aang
270,0.3382,Katara
271,0.0,Aang
272,0.3182,Katara
273,0.6124,Sokka
274,0.0,Katara
275,-0.1154,Aang
276,0.0,Katara
277,0.6233,Aang
278,0.6982,Aang
279,0.1779,Katara
280,0.528,Aang
281,0.0,Katara
282,0.0,Aang
283,0.0,Aang
284,0.0,Sokka
285,-0.4359,Aang
286,0.0,Sokka
287,0.7163,Aang
288,-0.4767,Zuko
289,0.0,Iroh
290,0.4519,Zuko
291,0.0,Zhao
292,0.0,Zuko
293,0.8271,Zhao
294,0.0,Iroh
295,0.1531,Zhao
296,0.0,Iroh
297,-0.5367,Zhao
298,0.4574,Zuko
299,0.0,Iroh
300,0.508,Zuko
301,0.6868,Zhao
302,-0.0387,Zuko
303,0.9022,Iroh
304,0.0,Sokka
305,0.0,Sokka
306,-0.0772,Aang
307,0.4278,Sokka
308,0.0,Aang
309,0.0772,Katara
310,0.0,Aang
311,-0.5574,Katara
312,-0.7146,Aang
313,0.296,Katara
314,-0.636,Aang
315,0.0,Aang
316,0.0,Aang
317,0.6239,Katara
318,0.0,Aang
319,-0.792,Zhao
320,-0.4926,Zuko
321,-0.3657,Zhao
322,-0.4019,Iroh
323,0.0,Zuko
324,-0.3313,Zhao
325,-0.296,Zuko
326,-0.3237,Zhao
327,-0.2732,Zuko
328,0.0644,Soldier
329,-0.4404,Zhao
330,0.0,Sokka
331,0.4215,Katara
332,0.0,Sokka
333,0.6705,Aang
334,-0.4767,Katara
335,0.0,Aang
336,0.34,Sokka
337,0.0,Aang
338,-0.128,Sokka
339,-0.34,Katara
340,0.0,Sokka
341,0.0,Katara
342,0.2942,Aang
343,0.0,Aang
344,0.0,Katara
345,0.3578,Aang
346,-0.2924,Sokka
347,0.0762,Sokka
348,-0.7506,Katara
349,0.2225,Aang
350,0.0,Sokka
351,0.6696,Aang
352,0.5719,Gyatso
353,0.0,Aang
354,0.0,Gyatso
355,-0.34,Aang
356,-0.1779,Gyatso
357,0.5588,Aang
358,0.0,Gyatso
359,0.0,Aang
360,0.6369,Gyatso
361,0.0,Aang
362,0.0,Gyatso
363,0.4767,Gyatso
364,-0.1531,Katara
365,0.296,Aang
366,0.0,Katara
367,0.3612,Aang
368,0.3919,Katara
369,-0.4023,Aang
370,0.4404,Katara
371,0.4574,Aang
372,0.6114,Sokka
373,0.0,Sokka
374,0.0,Aang
375,0.0,Aang
376,-0.6115,Zhao
377,-0.2124,Zuko
378,-0.4479,Zhao
379,0.0,Zuko
380,-0.4574,Zhao
381,0.0,Zhao
382,0.3774,Iroh
383,0.0,Sokka
384,0.0,Katara
385,0.4698,Aang
386,-0.34,Katara
387,0.0,Aang
388,0.0,Katara
389,0.658,Aang
390,0.0,Sokka
391,0.4215,Katara
392,0.0,Katara
393,0.0,Aang
394,0.0,Katara
395,0.0,Aang
396,-0.5996,Sokka
397,-0.296,Katara
398,-0.2411,Aang
399,0.0951,Sokka
400,0.0,Sokka
401,0.0,Katara
402,0.0,Aang and Sokka
403,0.0,Sokka
404,0.0,Aang
405,0.0,Sokka
406,0.0,Aang
407,0.0,Sokka
408,0.0,Aang
409,0.1511,Sokka
410,0.1739,Sokka
411,0.8176,Zhao
412,-0.5803,Zuko
413,-0.3736,Zhao
414,0.3553,Zuko
415,0.0,Iroh
416,-0.8187,Zhao
417,0.7081,Zuko
418,-0.9253,Zhao
419,-0.3252,Zuko
420,0.0,Zhao
421,0.4199,Zuko
422,0.0772,Zhao
423,0.0,Zuko
424,-0.6674,Zhao
425,-0.2263,Iroh
426,0.1695,Zuko
427,0.4427,Aang
428,0.0,Aang
429,0.0,Aang
430,0.372,Sokka
431,0.0,Katara
432,-0.4559,Fire Sage
433,0.0,Sokka
434,0.0,Sokka
435,0.0,Katara
436,-0.6996,Sokka
437,0.453,Katara
438,0.3987,Sokka
439,0.3182,Iroh
440,0.3818,Zuko
441,0.0,Zhao
442,0.0,Iroh
443,0.0,Zhao
444,-0.4588,Zhao
445,0.3182,Zuko
446,0.8832,Iroh
447,0.0,Zuko
448,0.4588,Iroh
449,-0.4168,Katara
450,0.3182,Sokka
451,-0.0772,Aang
452,0.4867,Katara
453,0.0,Aang
454,0.3612,Katara
455,0.4019,Aang
456,0.0,Katara
457,0.7177,Aang
458,0.0,Sokka
459,0.0,Aang
460,0.0,Aang
461,0.0,Katara
462,0.0,Aang
463,-0.296,Zuko
464,0.1682,Iroh
465,0.7506,Zuko
466,-0.0772,Iroh
467,0.0,Zuko
468,0.0,Iroh
469,0.0,Zuko
470,0.1406,Iroh
471,0.4019,Zuko
472,-0.296,Sokka
473,0.2732,Aang
474,0.0,Sokka
475,0.3382,Aang
476,0.6249,Katara
477,0.0,Aang
478,0.6588,Katara
479,0.0,Aang
480,-0.296,Sokka
481,0.0,Katara
482,0.8074,Sokka
483,0.6892,Katara
484,0.5538,Sokka
485,0.4404,Aang
486,-0.296,Sokka
487,0.0,Katara
488,-0.5927,Aang
489,0.0,Aang
490,0.2732,Sokka
491,0.0,Aang
492,0.0,Aang
493,0.0,Aang
494,0.8172,Aang
495,0.0,Katara
496,0.7269,Katara
497,0.1027,Sokka
498,-0.3595,Katara
499,0.0,Aang
500,0.0,Sokka
501,-0.4767,Katara
502,-0.4574,Sokka
503,0.0,Katara
504,0.0,Sokka
505,0.0,Aang
506,0.0,Aang
507,0.0,Katara
508,0.0,Aang
509,0.2732,Sokka
510,0.0,Sokka
511,0.0,Oyaji
512,0.0,Suki
513,0.0,Sokka
514,0.0,Sokka
515,-0.296,Suki
516,-0.296,Sokka
517,0.2732,Suki
518,-0.4617,Katara
519,-0.4588,Aang
520,-0.4864,Oyaji
521,0.0,Aang
522,0.4003,Oyaji
523,-0.6486,Oyaji
524,0.0,Aang
525,-0.2942,Suki
526,0.0,Aang
527,0.0,Oyaji
528,0.0,Katara
529,0.658,Spectators
530,0.4753,Oyaji
531,0.0,Aang
532,0.0,Little girl
533,0.0,Fisherman
534,0.3612,Zuko
535,0.0,Iroh
536,0.5411,Zuko
537,0.0,Aang
538,0.6476,Aang
539,0.0,Aang
540,0.2732,Katara
541,-0.4574,Aang
542,0.0,Sokka
543,0.0,Aang
544,-0.3818,Katara
545,0.0,Sokka
546,0.0,Katara
547,-0.2681,Sokka
548,0.3717,Aang
549,-0.5426,Katara
550,0.8832,Aang
551,0.8481,Katara
552,0.4404,Aang
553,0.749,Painter
554,0.0,Sokka
555,0.1867,Sokka
556,0.5994,Suki
557,0.0,Sokka
558,0.8041,Suki
559,0.9095,Sokka
560,0.921,Suki
561,0.2732,Sokka
562,-0.3404,Suki
563,-0.2272,Sokka
564,0.5983,Sokka
565,0.0,Suki
566,0.0,Sokka
567,0.0,Sokka
568,0.0772,Suki
569,0.0,Aang
570,0.0,Fangirls
571,0.5411,Koko
572,0.0772,Aang
573,0.7088,Katara
574,0.0,Aang
575,0.0,Katara
576,0.7263,Aang
577,-0.5875,Katara
578,0.2732,Aang
579,-0.0516,Katara
580,0.5651,Aang
581,0.0,Koko
582,0.0,Katara
583,0.0,Aang
584,0.3612,Katara
585,-0.4976,Aang
586,-0.5204,Katara
587,0.1477,Aang
588,-0.3612,Katara
589,-0.154,Aang
590,0.0,Katara
591,0.0,Sokka
592,0.4215,Suki
593,-0.0258,Sokka
594,0.1511,Suki
595,0.5859,Sokka
596,0.0,Suki
597,-0.7717,Sokka
598,-0.25,Suki
599,0.3182,Sokka
600,0.0,Suki
601,0.0,Sokka
602,0.0,Suki
603,0.0,Sokka
604,0.8658,Suki
605,0.7506,Sokka
606,0.5242,Aang
607,0.0,Aang
608,0.296,Katara
609,-0.25,Aang
610,0.4404,Katara
611,0.2235,Aang
612,-0.4023,Katara
613,0.0,Aang
614,0.6249,Katara
615,0.6249,Aang
616,0.4588,Katara
617,0.7184,Aang
618,0.4926,Katara
619,0.2714,Aang
620,-0.3412,Suki
621,0.0,Sokka
622,0.0,Sokka
623,-0.0844,Suki
624,0.0,Sokka
625,0.4926,Suki
626,0.3365,Sokka
627,0.5719,Suki
628,0.0,Koko
629,0.3802,Aang
630,0.308,Little Girl
631,0.0,Koko
632,0.1129,Aang
633,-0.1511,Koko
634,0.0,Aang
635,0.4091,Katara
636,-0.033,Aang
637,-0.0772,Katara
638,-0.34,Aang
639,-0.1511,Katara
640,0.0,Aang
641,0.0,Katara
642,0.0,Katara
643,0.0,Katara
644,0.4404,Zuko
645,0.0,Katara
646,-0.4023,Aang
647,0.431,Suki
648,0.0,Oyaji
649,0.0,Sokka
650,0.2737,Zuko
651,0.0,Sokka
652,-0.3482,Zuko
653,0.0,Aang
654,0.0,Zuko
655,0.0,Katara
656,0.0,Aang
657,0.3089,Katara
658,0.2732,Aang
659,-0.2846,Katara
660,0.0,Aang
661,-0.296,Suki
662,0.0,Sokka
663,0.0,Suki
664,0.6124,Sokka
665,0.0,Suki
666,0.0,Aang
667,0.4295,Zuko
668,-0.4854,Katara
669,0.0,Katara
670,0.3612,Oyaji
671,-0.7579,Aang
672,0.4019,Katara
673,0.5411,Aang
674,0.4556,Katara
675,0.0,Sokka
676,0.3382,Aang
677,-0.5255,Katara
678,-0.25,Sokka
679,0.0,Aang
680,-0.6748,Aang
681,0.784,Sokka
682,0.0,Katara
683,0.1511,Aang
684,0.8316,Aang
685,-0.6421,Gate guard
686,-0.4184,Cabbage merchant
687,0.5093,Aang
688,0.0,Gate guard
689,0.0,Aang
690,0.0,Gate guard
691,0.0,Aang
692,0.4215,Katara
693,0.68,Gate guard
694,0.0,Katara
695,0.8061,Gate guard
696,0.4926,Aang
697,0.0,Aang
698,0.0,Aang
699,0.6249,Sokka
700,0.8462,Aang
701,0.0,Bumi
702,0.0,Aang
703,0.0772,Bumi
704,0.0,Aang
705,0.6696,Bumi
706,-0.5411,Aang
707,0.4939,Aang
708,0.4926,Katara
709,0.0,Aang
710,0.0772,Soldier
711,0.0,Katara
712,0.7163,Aang
713,-0.1511,Aang
714,-0.2462,Cabbage merchant
715,0.3182,Aang
716,-0.7783,Guard
717,0.0,Cabbage merchant
718,0.0,Guard
719,0.0,Bumi
720,0.6491,Bumi
721,0.2382,Aang
722,0.3612,Bumi
723,0.0,Katara
724,0.0,Bumi
725,0.0,Aang
726,0.0,Bumi
727,0.7269,Sokka
728,0.4767,Bumi
729,0.0,Bumi
730,0.0,Bumi
731,0.9284,Aang
732,-0.1984,Katara
733,0.0,Bumi
734,-0.6486,Sokka
735,0.0387,Bumi
736,-0.1531,Chamberlain
737,0.0,Bumi
738,0.0,Chamberlain
739,-0.7524,Bumi
740,0.5823,Katara
741,0.0,Aang
742,0.6998,Sokka
743,0.0772,Aang
744,0.0,Katara
745,0.0,Aang
746,0.34,Sokka
747,0.0,Aang
748,0.0,Aang
749,0.0,Aang
750,0.4939,Sokka
751,0.0,Aang
752,-0.1531,Katara
753,0.5632,Aang
754,0.5574,Guard
755,-0.5423,Aang
756,0.3182,Guard
757,0.5574,Bumi
758,0.2023,Aang
759,0.6114,Bumi
760,0.0,Aang
761,0.507,Bumi
762,0.3769,Aang
763,0.5574,Bumi
764,0.1682,Bumi
765,0.0,Sokka
766,0.0772,Aang
767,-0.3802,Bumi
768,-0.296,Bumi
769,0.3818,Bumi
770,0.8164,Aang
771,-0.5358,Bumi
772,0.3578,Aang
773,0.4753,Bumi
774,0.0,Aang
775,0.0,Aang
776,0.0,Aang
777,0.0,Aang
778,0.6808,Bumi
779,0.2263,Aang
780,0.6588,Katara
781,0.4019,Bumi
782,0.4753,Aang
783,0.6597,Bumi
784,0.0,Bumi
785,-0.3818,Aang
786,0.4753,Bumi
787,0.0,Aang
788,-0.5255,Bumi
789,0.6297,Bumi
790,-0.4588,Aang
791,-0.296,Bumi
792,0.1027,Bumi
793,0.1759,Bumi
794,0.495,Bumi
795,0.4515,Bumi
796,0.0,Bumi
797,-0.4404,Bumi
798,0.3464,Aang
799,0.0,Bumi
800,0.0,Sokka
801,0.8591,Bumi
802,0.0,Aang
803,0.0772,Katara
804,0.0,Sokka
805,0.296,Aang
806,0.0,Sokka
807,0.5927,Katara
808,0.6124,Aang
809,0.0,Katara
810,0.2732,Aang
811,0.0,Katara
812,0.3036,Aang
813,0.0772,Aang
814,0.4404,Bumi
815,0.0,Katara
816,0.3415,Sokka
817,0.6114,Bumi
818,0.1335,Katara
819,0.2263,Bumi
820,0.0,Sokka
821,0.3919,Bumi
822,0.4767,Aang
823,0.0,Cabbage merchant
824,0.6588,Aang
825,0.0,Aang
826,-0.7345,Sokka
827,-0.1779,Katara
828,0.0,Sokka
829,0.0,Aang
830,0.3939,Sokka
831,0.0,Katara
832,0.0,Aang
833,0.0202,Sokka
834,0.0,Katara
835,0.4753,Aang
836,0.0,Katara
837,0.0,Aang
838,-0.5848,Katara
839,-0.6988,Sokka
840,0.4753,Aang
841,0.0,Katara
842,0.0,Haru
843,0.0,Haru's mother
844,0.0,Katara
845,-0.3182,Haru
846,-0.296,Aang
847,0.0,Haru's mother
848,-0.4003,Haru
849,-0.5696,Haru's mother
850,0.0,Tax collector
851,0.1739,Sokka
852,0.1511,Haru's mother
853,-0.2345,Tax collector
854,0.0,Tax collector
855,0.1027,Sokka
856,-0.34,Haru's mother
857,-0.7351,Haru
858,-0.3404,Haru's mother
859,0.5916,Katara
860,0.3136,Haru's mother
861,0.69,Katara
862,0.0,Haru's mother
863,-0.3182,Katara
864,0.4199,Haru's mother
865,-0.0772,Haru
866,0.6369,Aang
867,-0.0772,Katara
868,0.5859,Haru
869,0.4404,Katara
870,-0.319,Haru
871,0.765,Katara
872,-0.4767,Haru
873,-0.1779,Katara
874,-0.128,Haru
875,0.0,Katara
876,0.5994,Haru
877,-0.5719,Katara
878,0.0,Haru
879,-0.296,Katara
880,0.69,Old man
881,0.0,Haru
882,0.4574,Old man
883,-0.2444,Katara
884,-0.3595,Haru
885,0.4019,Katara
886,0.0,Haru
887,0.1007,Katara
888,0.0,Katara
889,0.7944,Katara
890,0.5413,Aang
891,0.0,Katara
892,0.0,Sokka
893,0.0,Katara
894,-0.4003,Sokka
895,-0.3182,Katara
896,0.0,Sokka
897,0.0,Old man
898,0.0,Katara
899,0.0,Aang
900,-0.8122,Katara
901,0.0,Sokka
902,0.0,Katara
903,0.0,Sokka
904,-0.34,Katara
905,0.0,Aang
906,-0.34,Katara
907,-0.7304,Sokka
908,0.0,Katara
909,0.5574,Aang
910,0.0,Sokka
911,0.8625,Aang
912,0.0,Sokka
913,0.5972,Aang
914,0.0,Sokka
915,0.0,Sokka
916,0.0,Katara
917,0.0,Sokka
918,0.0,Katara
919,0.3595,Sokka
920,0.5972,Katara
921,0.0,Sokka
922,0.0,Katara
923,0.0,Guard
924,-0.6996,Sokka
925,0.0,Guard
926,0.0,Sokka
927,0.0,Sokka
928,0.2023,Sokka
929,0.9747,Warden
930,0.7568,Warden
931,0.0,Warden
932,-0.481,Warden
933,0.0,Haru
934,0.0,Katara
935,0.0,Haru
936,0.1531,Katara
937,-0.4767,Haru
938,0.0,Katara
939,0.0772,Haru
940,0.0,Haru
941,0.4939,Katara
942,0.836,Tyro
943,-0.6249,Prisoner
944,0.8625,Tyro
945,0.1779,Katara
946,0.0772,Tyro
947,-0.6641,Katara
948,-0.561,Tyro
949,0.4199,Katara
950,-0.5994,Tyro
951,0.0,Katara
952,0.9756,Katara
953,0.0,Sokka
954,0.0,Katara
955,0.0,Sokka
956,-0.4767,Aang
957,-0.2584,Katara
958,0.0,Sokka
959,0.6595,Katara
960,0.0,Aang
961,-0.3561,Sokka
962,-0.3595,Katara
963,-0.0,Sokka
964,-0.1779,Aang
965,0.0,Captain
966,0.0,Warden
967,0.5574,Captain
968,0.0,Warden
969,-0.2023,Guard
970,0.0,Warden
971,-0.1232,Captain
972,-0.4926,Warden
973,-0.2695,Warden
974,0.0,Guard
975,0.0,Warden
976,0.0,Guard
977,-0.4408,Warden
978,0.0,Sokka
979,0.4574,Aang
980,-0.5411,Aang
981,0.0,Sokka
982,0.0,Aang
983,0.7678,Katara
984,0.0,Sokka
985,0.0,Katara
986,-0.3595,Aang
987,0.3802,Katara
988,0.4582,Sokka
989,0.0,Guard
990,-0.4559,Sokka
991,-0.8341,Tyro
992,-0.0772,Warden
993,0.4359,Katara
994,-0.5506,Warden
995,0.1511,Warden
996,-0.5255,Tyro
997,0.0,Tyro
998,-0.2047,Warden
999,0.0,Aang
1000,0.1739,Warden
1001,0.3412,Tyro
1002,0.4215,Haru
1003,0.0,Katara
1004,0.0,Haru
1005,0.7845,Tyro
1006,0.0,Katara
1007,-0.4738,Tyro
1008,0.0,Haru
1009,0.0,Katara
1010,0.6369,Haru
1011,0.0,Katara
1012,-0.3549,Katara
1013,0.0,Sokka
1014,0.4019,Katara
1015,0.4184,Aang
1016,0.0,Aang
1017,0.0,Katara
1018,0.3612,Sokka
1019,-0.3535,Sokka
1020,0.3094,Katara
1021,-0.9214,Sokka
1022,0.0,Katara
1023,-0.5661,Sokka
1024,0.0,Aang
1025,0.0,Katara
1026,0.3919,Aang
1027,0.0,Katara
1028,0.3291,Aang
1029,-0.6072,Sokka
1030,0.0,Aang
1031,-0.2677,Zuko
1032,0.0,Iroh
1033,0.2584,Zuko
1034,-0.7775,Iroh
1035,-0.5093,Zuko
1036,0.4404,Iroh
1037,-0.1984,Zuko
1038,0.3989,Iroh
1039,0.0,Zuko
1040,0.7263,Katara
1041,0.3382,Aang
1042,0.6705,Sokka
1043,0.0,Katara
1044,0.4404,Aang
1045,0.0,Sokka
1046,0.1862,Kay-fon
1047,0.0,Kay-fon
1048,0.8883,Senlin Village leader
1049,0.6996,Aang
1050,-0.2411,Senlin Village leader
1051,-0.4574,Kay-fon
1052,-0.4588,Sokka
1053,-0.8804,Senlin Village leader
1054,0.0,Katara
1055,0.4939,Kay-fon
1056,-0.8271,Senlin Village leader
1057,0.0772,Aang
1058,0.7351,Kay-fon
1059,0.0,Aang
1060,0.5256,Katara
1061,0.2691,Aang
1062,0.4019,Katara
1063,0.0,Aang
1064,0.0,Katara
1065,0.4404,Sokka
1066,0.5833,Iroh
1067,-0.34,Soldier
1068,-0.7935,Earthbender captain
1069,0.5803,Aang
1070,0.0,Sokka
1071,0.4939,Kay-fon
1072,-0.3071,Sokka
1073,0.886,Aang
1074,0.1779,Aang
1075,0.6988,Aang
1076,0.0,Senlin Village leader
1077,0.1134,Sokka
1078,-0.0516,Kay-fon
1079,0.0,Katara
1080,-0.2833,Aang
1081,0.4019,Sokka
1082,0.0,Katara
1083,-0.4015,Senlin Village leader
1084,0.0,Sokka
1085,0.0,Aang
1086,-0.3818,Sokka
1087,0.2411,Aang
1088,0.0,Katara
1089,0.0,Zuko
1090,0.0,Fire Nation Soldier
1091,0.0,Zuko
1092,0.3612,Fire Nation Soldier
1093,0.0,Zuko
1094,0.5538,Sokka
1095,0.0,Aang
1096,-0.5562,Aang
1097,0.0,Iroh
1098,0.5267,Earthbender captain
1099,0.0,Iroh
1100,0.0,Earthbender captain
1101,0.6249,Iroh
1102,0.3612,Earthbender captain
1103,-0.8934,Iroh
1104,0.3182,Kay-fon
1105,0.0,Katara
1106,0.0,Kay-fon
1107,0.2263,Katara
1108,0.1531,Kay-fon
1109,-0.3182,Aang
1110,0.0,Kay-fon
1111,-0.2695,Aang
1112,0.296,Zuko
1113,-0.674,Aang
1114,0.6179,Katara
1115,0.9374,Aang
1116,-0.4019,Earthbender captain
1117,-0.8658,Iroh
1118,-0.3182,Earthbender captain
1119,0.5395,Iroh
1120,0.3384,Earthbender captain
1121,0.8012,Aang
1122,-0.6093,Soldier
1123,-0.128,Earthbender captain
1124,0.7096,Katara
1125,0.0,Zuko
1126,0.0,Aang
1127,0.0,Katara
1128,-0.2411,Aang
1129,-0.7096,Earthbender captain
1130,0.5719,Iroh
1131,0.2732,Zuko
1132,0.4019,Earthbender captain
1133,0.7227,Iroh
1134,0.3182,Zuko
1135,0.0,Katara
1136,0.6114,Aang
1137,0.0,Katara
1138,0.0,Sokka
1139,-0.3595,Katara
1140,0.2023,Sokka
1141,0.3612,Senlin Village leader
1142,0.0,Sokka
1143,0.0,Katara
1144,0.0,Sokka
1145,0.7096,Senlin Village leader
1146,0.5256,Katara
1147,0.3415,Aang
1148,0.0,Sokka
1149,0.1779,Aang
1150,0.6588,Katara
1151,0.7684,Sokka
1152,0.0,Aang
1153,0.0,Katara
1154,-0.4927,Aang
1155,-0.8989,Aang
1156,0.0,Sokka
1157,0.2865,Katara
1158,-0.2924,Aang
1159,-0.34,Katara
1160,0.3489,Sokka
1161,0.7845,Senlin Village leader
1162,0.3612,Aang
1163,0.0,Senlin Village leader
1164,-0.4696,Zuko
1165,0.0,Aang
1166,-0.7088,Iroh
1167,-0.296,Zuko
1168,-0.6063,Iroh
1169,0.0,Zuko
1170,0.4389,Iroh
1171,0.0,Zuko
1172,-0.4574,Katara
1173,0.6792,Sokka
1174,0.2584,Iroh
1175,-0.4559,Zuko
1176,0.0,Katara
1177,0.0,Aang
1178,-0.4199,Katara
1179,0.0,Sokka
1180,-0.3634,Aang
1181,0.0,Zuko
1182,0.2584,Iroh
1183,-0.5983,Aang
1184,-0.3595,Katara
1185,-0.6002,Aang
1186,0.0,Katara
1187,0.0,Sokka
1188,0.0,Aang
1189,0.0,Zuko
1190,-0.1739,Iroh
1191,-0.1511,Zuko
1192,0.4215,Zhao
1193,0.0,Captain
1194,-0.34,Zhao
1195,-0.5696,Captain
1196,0.0,Zhao
1197,0.2263,Aang
1198,-0.7163,Engineer
1199,0.2235,Zuko
1200,0.0,Zhao
1201,0.0,Aang
1202,0.3612,Zhao
1203,-0.4003,Zhao
1204,0.0,Aang
1205,0.4019,Sokka
1206,0.0,Captain
1207,0.289,Zhao
1208,-0.4199,Iroh
1209,0.0,Zuko
1210,0.6369,Captain
1211,-0.3382,Zhao
