Movie,Fandango,IMDB,Metacritic (u),Metacritic,Rotten Tomatoes (u),Rotten Tomatoes
Monkey Kingdom (2015),4.2,3.65,3.75,3.6,3.85,4.7
Seymour: An Introduction (2015),4.2,3.85,3,4.15,4.35,5
The Wrecking Crew (2015),4.2,3.9,3.5,3.35,4.2,4.65
American Sniper (2015),4.8,3.7,3.3,3.6,4.25,3.6
Furious 7 (2015),4.8,3.7,3.4,3.35,4.2,4.05
San Andreas (2015),4.3,3.25,2.75,2.15,2.9,2.5
Straight Outta Compton (2015),4.8,4.2,3.65,3.6,4.7,4.5
Vacation (2015),3.8,3.15,3.1,1.7,2.75,1.35
Chappie (2015),3.8,3.5,3.7,2.05,2.85,1.5
Poltergeist (2015),2.8,2.5,1.85,2.35,1.2,1.55
Paper Towns (2015),3.8,3.45,3.1,2.8,2.85,2.75
Blackhat (2015),2.8,2.7,2.7,2.55,1.25,1.7
Self/less (2015),3.8,3.3,4.2,1.7,2.55,1
Sinister 2 (2015),3.3,2.75,2.5,1.55,1.7,0.65
Little Boy (2015),4.3,3.7,2.95,1.5,4.05,1
Me and Earl and The Dying Girl (2015),4.3,4.1,4.2,3.7,4.45,4.05
Maggie (2015),3.3,2.8,3.25,2.6,1.6,2.7
Mad Max: Fury Road (2015),4.3,4.15,4.35,4.45,4.4,4.85
Spy (2015),4.3,3.65,3.15,3.75,4.1,4.65
The SpongeBob Movie: Sponge Out of Water (2015),3.3,3.05,3.25,3.1,2.75,3.9
Paddington (2015),4.3,3.6,4.1,3.85,4.05,4.9
Dope (2015),4.3,3.75,3.6,3.6,4.3,4.35
What We Do in the Shadows (2015),4.3,3.8,4.15,3.75,4.3,4.8
The Overnight (2015),3.3,3.45,4.3,3.25,3.25,4.1
The Salt of the Earth (2015),4.3,4.2,3.9,4.15,4.5,4.8
Fifty Shades of Grey (2015),3.9,2.1,1.6,2.3,2.1,1.25
Get Hard (2015),3.9,3.05,1.9,1.7,2.4,1.45
Focus (2015),3.9,3.3,3.1,2.8,2.7,2.85
Jupiter Ascending (2015),3.4,2.75,2.25,2,2,1.3
The Gallows (2015),2.9,2.2,3.5,1.5,1.35,0.8
The Second Best Exotic Marigold Hotel (2015),3.9,3.3,3.05,2.55,3.15,3.1
Strange Magic (2015),3.4,2.85,2.65,1.25,2.5,0.85
The Gunman (2015),3.4,2.9,2.15,1.95,1.7,0.85
Hitman: Agent 47 (2015),3.9,2.95,1.65,1.4,2.45,0.35
Cake (2015),3.4,3.25,3.2,2.45,2.35,2.45
The Vatican Tapes (2015),2.9,2.3,2.7,1.85,1.05,0.65
A Little Chaos (2015),3.9,3.2,3.5,2.55,2.35,2
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),3.9,3.55,2.3,2.9,3.45,3.35
Escobar: Paradise Lost (2015),3.9,3.3,3.45,2.8,2.6,2.6
It Follows (2015),2.9,3.45,3.75,4.15,3.25,4.8
While We're Young (2015),2.9,3.2,3.35,3.8,2.6,4.15
Clouds of Sils Maria (2015),3.4,3.4,3.55,3.9,3.35,4.45
Testament of Youth (2015),3.9,3.65,3.95,3.85,3.95,4.05
Infinitely Polar Bear (2015),3.9,3.6,3.95,3.2,3.8,4
Phoenix (2015),3.4,3.6,4,4.55,4.05,4.95
The Wolfpack (2015),3.4,3.55,3.5,3.75,3.65,4.2
The Stanford Prison Experiment (2015),3.9,3.55,4.25,3.4,4.35,4.2
Tangerine (2015),3.9,3.7,3.65,4.3,4.3,4.75
Magic Mike XXL (2015),4.4,3.15,2.7,3,3.2,3.1
Home (2015),4.4,3.35,3.65,2.75,3.25,2.25
The Wedding Ringer (2015),4.4,3.35,1.65,1.75,3.3,1.35
Woman in Gold (2015),4.4,3.7,3.6,2.55,4.05,2.6
The Last Five Years (2015),4.4,3,3.45,3,3,3
Mission: Impossible Rogue Nation (2015),4.4,3.9,4,3.75,4.5,4.6
Amy (2015),4.4,4,4.4,4.25,4.55,4.85
Jurassic World (2015),4.5,3.65,3.5,2.95,4.05,3.55
Minions (2015),4,3.35,2.85,2.8,2.6,2.7
Max (2015),4.5,3.5,2.95,2.35,3.65,1.75
Paul Blart: Mall Cop 2 (2015),3.5,2.15,1.2,0.65,1.8,0.25
The Longest Ride (2015),4.5,3.6,2.4,1.65,3.65,1.55
The Lazarus Effect (2015),3,2.6,2.45,1.55,1.15,0.7
The Woman In Black 2 Angel of Death (2015),3,2.45,2.2,2.1,1.25,1.1
Danny Collins (2015),4,3.55,3.55,2.9,3.75,3.85
Spare Parts (2015),4.5,3.6,3.55,2.5,4.15,2.6
Serena (2015),3,2.7,2.65,1.8,1.25,0.9
Inside Out (2015),4.5,4.3,4.45,4.7,4.5,4.9
Mr. Holmes (2015),4,3.7,3.95,3.35,3.9,4.35
'71 (2015),3.5,3.6,3.75,4.15,4.1,4.85
Gett: The Trial of Viviane Amsalem (2015),3.5,3.9,3.65,4.5,4.05,5
"Kumiko, The Treasure Hunter (2015)",3.5,3.35,3.2,3.4,3.15,4.35
