"DateTime","reactJS","AngularJS","VuejS","NodeJS"
"2017-07-31 20:00:00",9,70,9,47
"2017-08-31 20:00:00",9,65,10,49
"2017-09-30 20:00:00",9,62,10,48
"2017-10-31 20:00:00",9,64,11,50
"2017-11-30 19:00:00",9,53,10,46
"2017-12-31 19:00:00",10,55,11,49
"2018-01-31 19:00:00",10,58,12,51
"2018-02-28 19:00:00",11,55,12,53
"2018-03-31 20:00:00",10,52,12,53
"2018-04-30 20:00:00",11,51,13,54
"2018-05-31 20:00:00",11,48,12,52
"2018-06-30 20:00:00",11,45,13,54
"2018-07-31 20:00:00",11,43,13,52
"2018-08-31 20:00:00",10,40,12,50
"2018-09-30 20:00:00",11,40,13,52
"2018-10-31 20:00:00",11,35,12,52
"2018-11-30 19:00:00",10,30,11,45
"2018-12-31 19:00:00",10,32,12,48
"2019-01-31 19:00:00",11,34,13,52
"2019-02-28 19:00:00",11,32,13,53
"2019-03-31 20:00:00",11,29,13,52
"2019-04-30 20:00:00",11,30,13,52
"2019-05-31 20:00:00",12,27,13,53
"2019-06-30 20:00:00",12,29,14,55
"2019-07-31 20:00:00",12,25,13,53
"2019-08-31 20:00:00",13,25,14,54
"2019-09-30 20:00:00",12,24,14,53
"2019-10-31 20:00:00",11,21,13,50
"2019-11-30 19:00:00",11,17,12,47
"2019-12-31 19:00:00",12,19,12,49
"2020-01-31 19:00:00",12,19,14,54
"2020-02-29 19:00:00",11,16,13,51
"2020-03-31 20:00:00",11,14,13,54
"2020-04-30 20:00:00",11,12,13,52
"2020-05-31 20:00:00",12,14,14,53
"2020-06-30 20:00:00",12,13,14,55
"2020-07-31 20:00:00",11,12,12,48
"2020-08-31 20:00:00",11,12,12,50
"2020-09-30 20:00:00",9,10,10,38
"2020-10-31 20:00:00",8,9,9,35
"2020-11-30 19:00:00",9,8,9,34
"2020-12-31 19:00:00",8,8,9,35
"2021-01-31 19:00:00",9,9,9,37
"2021-02-28 19:00:00",9,9,9,41
"2021-03-31 20:00:00",9,9,9,40
"2021-04-30 20:00:00",9,8,9,40
"2021-05-31 20:00:00",10,8,9,40
"2021-06-30 20:00:00",10,8,9,40
"2021-07-31 20:00:00",9,7,8,38
"2021-08-31 20:00:00",10,8,9,42
"2021-09-30 20:00:00",9,8,9,40
"2021-10-31 20:00:00",10,8,9,43
"2021-11-30 19:00:00",10,7,9,42
"2021-12-31 19:00:00",10,7,9,42
"2022-01-31 19:00:00",11,8,8,43
