date,id,count,streak
2016-07-12,57,3,active
2016-07-13,57,4,active
2016-07-14,57,5,active
2016-07-15,57,6,active
2016-07-16,57,7,active
2016-07-17,58,-1,inactive
2016-07-18,59,1,active
2016-07-19,60,-1,inactive
2016-07-20,60,-2,inactive
2016-07-21,60,-3,inactive
2016-07-22,61,1,active
2016-07-23,61,2,active
2016-07-24,62,-1,inactive
2016-07-25,62,-2,inactive
2016-07-26,63,1,active
2016-07-27,64,-1,inactive
2016-07-28,65,1,active
2016-07-29,66,-1,inactive
2016-07-30,67,1,active
2016-07-31,67,2,active
2016-08-01,68,-1,inactive
2016-08-02,69,1,active
2016-08-03,69,2,active
2016-08-04,69,3,active
2016-08-05,69,4,active
2016-08-06,69,5,active
2016-08-07,69,6,active
2016-08-08,69,7,active
2016-08-09,69,8,active
2016-08-10,69,9,active
2016-08-11,70,-1,inactive
2016-08-12,71,1,active
2016-08-13,71,2,active
2016-08-14,72,-1,inactive
2016-08-15,73,1,active
2016-08-16,73,2,active
2016-08-17,73,3,active
2016-08-18,73,4,active
2016-08-19,73,5,active
2016-08-20,73,6,active
2016-08-21,73,7,active
2016-08-22,73,8,active
2016-08-23,73,9,active
2016-08-24,73,10,active
2016-08-25,73,11,active
2016-08-26,73,12,active
2016-08-27,73,13,active
2016-08-28,73,14,active
2016-08-29,73,15,active
2016-08-30,73,16,active
2016-08-31,73,17,active
2016-09-01,73,18,active
2016-09-02,73,19,active
2016-09-03,73,20,active
2016-09-04,73,21,active
2016-09-05,73,22,active
2016-09-06,73,23,active
2016-09-07,73,24,active
2016-09-08,73,25,active
2016-09-09,73,26,active
2016-09-10,73,27,active
2016-09-11,73,28,active
2016-09-12,73,29,active
2016-09-13,73,30,active
2016-09-14,73,31,active
2016-09-15,74,-1,inactive
2016-09-16,74,-2,inactive
2016-09-17,74,-3,inactive
2016-09-18,74,-4,inactive
2016-09-19,75,1,active
2016-09-20,76,-1,inactive
2016-09-21,76,-2,inactive
2016-09-22,76,-3,inactive
2016-09-23,77,1,active
2016-09-24,77,2,active
2016-09-25,77,3,active
2016-09-26,77,4,active
2016-09-27,78,-1,inactive
2016-09-28,78,-2,inactive
2016-09-29,78,-3,inactive
2016-09-30,78,-4,inactive
2016-10-01,78,-5,inactive
2016-10-02,79,1,active
2016-10-03,80,-1,inactive
2016-10-04,81,1,active
2016-10-05,82,-1,inactive
2016-10-06,82,-2,inactive
2016-10-07,82,-3,inactive
2016-10-08,83,1,active
2016-10-09,83,2,active
2016-10-10,84,-1,inactive
2016-10-11,84,-2,inactive
2016-10-12,84,-3,inactive
2016-10-13,84,-4,inactive
2016-10-14,84,-5,inactive
2016-10-15,84,-6,inactive
2016-10-16,84,-7,inactive
2016-10-17,84,-8,inactive
2016-10-18,84,-9,inactive
2016-10-19,85,1,active
2016-10-20,86,-1,inactive
2016-10-21,87,1,active
2016-10-22,88,-1,inactive
2016-10-23,89,1,active
2016-10-24,90,-1,inactive
2016-10-25,90,-2,inactive
2016-10-26,90,-3,inactive
2016-10-27,90,-4,inactive
2016-10-28,90,-5,inactive
2016-10-29,91,1,active
2016-10-30,91,2,active
2016-10-31,92,-1,inactive
2016-11-01,92,-2,inactive
2016-11-02,92,-3,inactive
2016-11-03,92,-4,inactive
2016-11-04,93,1,active
2016-11-05,93,2,active
2016-11-06,93,3,active
2016-11-07,94,-1,inactive
2016-11-08,95,1,active
2016-11-09,96,-1,inactive
2016-11-10,96,-2,inactive
2016-11-11,96,-3,inactive
2016-11-12,97,1,active
2016-11-13,98,-1,inactive
2016-11-14,98,-2,inactive
2016-11-15,98,-3,inactive
2016-11-16,98,-4,inactive
2016-11-17,99,1,active
2016-11-18,100,-1,inactive
2016-11-19,101,1,active
2016-11-20,101,2,active
2016-11-21,102,-1,inactive
2016-11-22,103,1,active
2016-11-23,103,2,active
2016-11-24,103,3,active
2016-11-25,104,-1,inactive
2016-11-26,105,1,active
2016-11-27,105,2,active
2016-11-28,106,-1,inactive
2016-11-29,106,-2,inactive
2016-11-30,107,1,active
2016-12-01,108,-1,inactive
2016-12-02,109,1,active
2016-12-03,109,2,active
2016-12-04,110,-1,inactive
2016-12-05,110,-2,inactive
2016-12-06,111,1,active
2016-12-07,112,-1,inactive
2016-12-08,112,-2,inactive
2016-12-09,113,1,active
2016-12-10,113,2,active
2016-12-11,113,3,active
2016-12-12,114,-1,inactive
2016-12-13,114,-2,inactive
2016-12-14,114,-3,inactive
2016-12-15,114,-4,inactive
2016-12-16,114,-5,inactive
2016-12-17,114,-6,inactive
2016-12-18,115,1,active
2016-12-19,116,-1,inactive
2016-12-20,117,1,active
2016-12-21,117,2,active
2016-12-22,117,3,active
2016-12-23,117,4,active
2016-12-24,117,5,active
2016-12-25,117,6,active
2016-12-26,117,7,active
2016-12-27,117,8,active
2016-12-28,117,9,active
2016-12-29,117,10,active
2016-12-30,117,11,active
2016-12-31,117,12,active
2017-01-01,117,13,active
2017-01-02,117,14,active
2017-01-03,117,15,active
2017-01-04,117,16,active
2017-01-05,118,-1,inactive
2017-01-06,119,1,active
2017-01-07,119,2,active
2017-01-08,119,3,active
2017-01-09,120,-1,inactive
2017-01-10,121,1,active
2017-01-11,122,-1,inactive
2017-01-12,122,-2,inactive
2017-01-13,123,1,active
2017-01-14,123,2,active
2017-01-15,124,-1,inactive
2017-01-16,125,1,active
2017-01-17,126,-1,inactive
2017-01-18,127,1,active
2017-01-19,128,-1,inactive
2017-01-20,128,-2,inactive
2017-01-21,129,1,active
2017-01-22,129,2,active
2017-01-23,129,3,active
2017-01-24,130,-1,inactive
2017-01-25,131,1,active
2017-01-26,131,2,active
2017-01-27,131,3,active
2017-01-28,131,4,active
2017-01-29,131,5,active
2017-01-30,131,6,active
2017-01-31,131,7,active
2017-02-01,131,8,active
2017-02-02,131,9,active
2017-02-03,131,10,active
2017-02-04,131,11,active
2017-02-05,132,-1,inactive
2017-02-06,132,-2,inactive
2017-02-07,132,-3,inactive
2017-02-08,132,-4,inactive
2017-02-09,132,-5,inactive
2017-02-10,132,-6,inactive
2017-02-11,133,1,active
2017-02-12,133,2,active
2017-02-13,134,-1,inactive
2017-02-14,134,-2,inactive
2017-02-15,134,-3,inactive
2017-02-16,134,-4,inactive
2017-02-17,134,-5,inactive
2017-02-18,134,-6,inactive
2017-02-19,134,-7,inactive
2017-02-20,134,-8,inactive
2017-02-21,134,-9,inactive
2017-02-22,135,1,active
2017-02-23,136,-1,inactive
2017-02-24,136,-2,inactive
2017-02-25,137,1,active
2017-02-26,138,-1,inactive
2017-02-27,138,-2,inactive
2017-02-28,139,1,active
2017-03-01,139,2,active
2017-03-02,139,3,active
2017-03-03,139,4,active
2017-03-04,139,5,active
2017-03-05,140,-1,inactive
2017-03-06,141,1,active
2017-03-07,141,2,active
2017-03-08,141,3,active
2017-03-09,141,4,active
2017-03-10,142,-1,inactive
2017-03-11,142,-2,inactive
2017-03-12,143,1,active
2017-03-13,144,-1,inactive
2017-03-14,145,1,active
2017-03-15,146,-1,inactive
2017-03-16,147,1,active
2017-03-17,147,2,active
2017-03-18,147,3,active
2017-03-19,147,4,active
2017-03-20,147,5,active
2017-03-21,147,6,active
2017-03-22,147,7,active
2017-03-23,147,8,active
2017-03-24,148,-1,inactive
2017-03-25,149,1,active
2017-03-26,149,2,active
2017-03-27,149,3,active
2017-03-28,149,4,active
2017-03-29,149,5,active
2017-03-30,149,6,active
2017-03-31,149,7,active
2017-04-01,149,8,active
2017-04-02,149,9,active
2017-04-03,149,10,active
2017-04-04,149,11,active
2017-04-05,149,12,active
2017-04-06,150,-1,inactive
2017-04-07,151,1,active
2017-04-08,151,2,active
2017-04-09,152,-1,inactive
2017-04-10,153,1,active
2017-04-11,153,2,active
2017-04-12,153,3,active
2017-04-13,153,4,active
2017-04-14,153,5,active
2017-04-15,153,6,active
2017-04-16,153,7,active
2017-04-17,153,8,active
2017-04-18,154,-1,inactive
2017-04-19,155,1,active
2017-04-20,155,2,active
2017-04-21,155,3,active
2017-04-22,155,4,active
2017-04-23,155,5,active
2017-04-24,155,6,active
2017-04-25,155,7,active
2017-04-26,155,8,active
2017-04-27,155,9,active
2017-04-28,155,10,active
2017-04-29,156,-1,inactive
2017-04-30,157,1,active
2017-05-01,157,2,active
2017-05-02,157,3,active
2017-05-03,157,4,active
2017-05-04,157,5,active
2017-05-05,157,6,active
2017-05-06,157,7,active
2017-05-07,158,-1,inactive
2017-05-08,159,1,active
2017-05-09,159,2,active
2017-05-10,160,-1,inactive
2017-05-11,161,1,active
2017-05-12,161,2,active
2017-05-13,161,3,active
2017-05-14,161,4,active
2017-05-15,161,5,active
2017-05-16,162,-1,inactive
2017-05-17,162,-2,inactive
2017-05-18,162,-3,inactive
2017-05-19,163,1,active
2017-05-20,163,2,active
2017-05-21,163,3,active
2017-05-22,163,4,active
2017-05-23,163,5,active
2017-05-24,163,6,active
2017-05-25,163,7,active
2017-05-26,163,8,active
2017-05-27,163,9,active
2017-05-28,164,-1,inactive
2017-05-29,165,1,active
2017-05-30,165,2,active
2017-05-31,165,3,active
2017-06-01,165,4,active
2017-06-02,165,5,active
2017-06-03,165,6,active
2017-06-04,165,7,active
2017-06-05,165,8,active
2017-06-06,165,9,active
2017-06-07,165,10,active
2017-06-08,165,11,active
2017-06-09,165,12,active
2017-06-10,165,13,active
2017-06-11,165,14,active
2017-06-12,165,15,active
2017-06-13,165,16,active
2017-06-14,165,17,active
2017-06-15,165,18,active
2017-06-16,165,19,active
2017-06-17,165,20,active
2017-06-18,165,21,active
2017-06-19,165,22,active
2017-06-20,165,23,active
2017-06-21,165,24,active
2017-06-22,166,-1,inactive
2017-06-23,167,1,active
2017-06-24,167,2,active
2017-06-25,167,3,active
2017-06-26,167,4,active
2017-06-27,167,5,active
2017-06-28,167,6,active
2017-06-29,168,-1,inactive
2017-06-30,169,1,active
2017-07-01,169,2,active
2017-07-02,169,3,active
2017-07-03,169,4,active
2017-07-04,169,5,active
2017-07-05,169,6,active
2017-07-06,169,7,active
2017-07-07,169,8,active
2017-07-08,169,9,active
2017-07-09,169,10,active
2017-07-10,169,11,active
2017-07-11,169,12,active
2017-07-12,169,13,active
2017-07-13,169,14,active
2017-07-14,170,-1,inactive
2017-07-15,171,1,active
2017-07-16,172,-1,inactive
2017-07-17,173,1,active
2017-07-18,173,2,active
2017-07-19,173,3,active
2017-07-20,173,4,active
2017-07-21,173,5,active
2017-07-22,173,6,active
2017-07-23,173,7,active
2017-07-24,173,8,active
2017-07-25,173,9,active
2017-07-26,173,10,active
2017-07-27,173,11,active
2017-07-28,173,12,active
2017-07-29,173,13,active
2017-07-30,173,14,active
2017-07-31,173,15,active
2017-08-01,173,16,active
2017-08-02,173,17,active
2017-08-03,173,18,active
2017-08-04,173,19,active
2017-08-05,173,20,active
2017-08-06,173,21,active
2017-08-07,173,22,active
2017-08-08,173,23,active
2017-08-09,173,24,active
2017-08-10,173,25,active
2017-08-11,173,26,active
2017-08-12,173,27,active
2017-08-13,173,28,active
2017-08-14,173,29,active
2017-08-15,173,30,active
2017-08-16,173,31,active
2017-08-17,173,32,active
2017-08-18,173,33,active
2017-08-19,173,34,active
2017-08-20,173,35,active
2017-08-21,173,36,active
2017-08-22,173,37,active
2017-08-23,173,38,active
2017-08-24,173,39,active
2017-08-25,173,40,active
2017-08-26,173,41,active
2017-08-27,174,-1,inactive
2017-08-28,175,1,active
2017-08-29,175,2,active
2017-08-30,175,3,active
2017-08-31,175,4,active
2017-09-01,175,5,active
2017-09-02,175,6,active
2017-09-03,175,7,active
2017-09-04,175,8,active
2017-09-05,176,-1,inactive
2017-09-06,177,1,active
2017-09-07,177,2,active
2017-09-08,177,3,active
2017-09-09,177,4,active
2017-09-10,178,-1,inactive
2017-09-11,179,1,active
2017-09-12,179,2,active
2017-09-13,179,3,active
2017-09-14,179,4,active
2017-09-15,179,5,active
2017-09-16,179,6,active
2017-09-17,179,7,active
2017-09-18,180,-1,inactive
2017-09-19,181,1,active
2017-09-20,181,2,active
2017-09-21,181,3,active
2017-09-22,181,4,active
2017-09-23,181,5,active
2017-09-24,181,6,active
2017-09-25,181,7,active
2017-09-26,181,8,active
2017-09-27,181,9,active
2017-09-28,181,10,active
2017-09-29,181,11,active
2017-09-30,181,12,active
2017-10-01,181,13,active
2017-10-02,181,14,active
2017-10-03,181,15,active
2017-10-04,181,16,active
2017-10-05,181,17,active
2017-10-06,181,18,active
2017-10-07,181,19,active
2017-10-08,181,20,active
2017-10-09,182,-1,inactive
2017-10-10,182,-2,inactive
2017-10-11,182,-3,inactive
2017-10-12,183,1,active
2017-10-13,183,2,active
2017-10-14,183,3,active
2017-10-15,183,4,active
2017-10-16,183,5,active
2017-10-17,183,6,active
2017-10-18,183,7,active
2017-10-19,183,8,active
2017-10-20,183,9,active
2017-10-21,183,10,active
2017-10-22,183,11,active
2017-10-23,183,12,active
2017-10-24,183,13,active
2017-10-25,183,14,active
2017-10-26,183,15,active
2017-10-27,183,16,active
2017-10-28,183,17,active
2017-10-29,183,18,active
2017-10-30,183,19,active
2017-10-31,183,20,active
2017-11-01,183,21,active
2017-11-02,183,22,active
2017-11-03,183,23,active
2017-11-04,183,24,active
2017-11-05,183,25,active
2017-11-06,183,26,active
2017-11-07,183,27,active
2017-11-08,183,28,active
2017-11-09,183,29,active
2017-11-10,183,30,active
2017-11-11,183,31,active
2017-11-12,183,32,active
2017-11-13,183,33,active
2017-11-14,183,34,active
2017-11-15,183,35,active
2017-11-16,183,36,active
2017-11-17,183,37,active
2017-11-18,183,38,active
2017-11-19,183,39,active
2017-11-20,183,40,active
2017-11-21,183,41,active
2017-11-22,183,42,active
2017-11-23,183,43,active
2017-11-24,183,44,active
2017-11-25,183,45,active
2017-11-26,183,46,active
2017-11-27,183,47,active
2017-11-28,184,-1,inactive
2017-11-29,185,1,active
2017-11-30,185,2,active
2017-12-01,185,3,active
2017-12-02,185,4,active
2017-12-03,186,-1,inactive
2017-12-04,187,1,active
2017-12-05,187,2,active
2017-12-06,188,-1,inactive
2017-12-07,188,-2,inactive
2017-12-08,189,1,active
2017-12-09,189,2,active
2017-12-10,190,-1,inactive
2017-12-11,191,1,active
2017-12-12,191,2,active
2017-12-13,192,-1,inactive
2017-12-14,193,1,active
2017-12-15,194,-1,inactive
2017-12-16,195,1,active
2017-12-17,196,-1,inactive
2017-12-18,197,1,active
2017-12-19,197,2,active
2017-12-20,197,3,active
2017-12-21,198,-1,inactive
2017-12-22,199,1,active
2017-12-23,200,-1,inactive
2017-12-24,201,1,active
2017-12-25,201,2,active
2017-12-26,201,3,active
2017-12-27,201,4,active
2017-12-28,201,5,active
2017-12-29,201,6,active
2017-12-30,201,7,active
2017-12-31,202,-1,inactive
2018-01-01,203,1,active
2018-01-02,203,2,active
2018-01-03,203,3,active
2018-01-04,203,4,active
2018-01-05,203,5,active
2018-01-06,203,6,active
2018-01-07,204,-1,inactive
2018-01-08,205,1,active
2018-01-09,205,2,active
2018-01-10,205,3,active
2018-01-11,205,4,active
2018-01-12,205,5,active
2018-01-13,205,6,active
2018-01-14,205,7,active
2018-01-15,206,-1,inactive
2018-01-16,207,1,active
2018-01-17,207,2,active
2018-01-18,207,3,active
2018-01-19,207,4,active
2018-01-20,207,5,active
2018-01-21,208,-1,inactive
2018-01-22,209,1,active
2018-01-23,209,2,active
2018-01-24,209,3,active
2018-01-25,209,4,active
2018-01-26,209,5,active
2018-01-27,209,6,active
2018-01-28,209,7,active
2018-01-29,209,8,active
2018-01-30,209,9,active
2018-01-31,209,10,active
2018-02-01,209,11,active
2018-02-02,209,12,active
2018-02-03,210,-1,inactive
2018-02-04,210,-2,inactive
2018-02-05,211,1,active
2018-02-06,212,-1,inactive
2018-02-07,213,1,active
2018-02-08,213,2,active
2018-02-09,213,3,active
2018-02-10,213,4,active
2018-02-11,214,-1,inactive
2018-02-12,215,1,active
2018-02-13,215,2,active
2018-02-14,215,3,active
2018-02-15,215,4,active
2018-02-16,216,-1,inactive
2018-02-17,217,1,active
2018-02-18,217,2,active
2018-02-19,217,3,active
2018-02-20,217,4,active
2018-02-21,217,5,active
2018-02-22,217,6,active
2018-02-23,217,7,active
2018-02-24,217,8,active
2018-02-25,218,-1,inactive
2018-02-26,218,-2,inactive
2018-02-27,219,1,active
2018-02-28,219,2,active
2018-03-01,219,3,active
2018-03-02,220,-1,inactive
2018-03-03,220,-2,inactive
2018-03-04,221,1,active
2018-03-05,221,2,active
2018-03-06,222,-1,inactive
2018-03-07,223,1,active
2018-03-08,223,2,active
2018-03-09,223,3,active
2018-03-10,223,4,active
2018-03-11,223,5,active
2018-03-12,223,6,active
2018-03-13,223,7,active
2018-03-14,223,8,active
2018-03-15,223,9,active
2018-03-16,223,10,active
2018-03-17,223,11,active
2018-03-18,223,12,active
2018-03-19,223,13,active
2018-03-20,223,14,active
2018-03-21,223,15,active
2018-03-22,223,16,active
2018-03-23,223,17,active
2018-03-24,223,18,active
2018-03-25,223,19,active
2018-03-26,223,20,active
2018-03-27,223,21,active
2018-03-28,223,22,active
2018-03-29,223,23,active
2018-03-30,223,24,active
2018-03-31,223,25,active
2018-04-01,223,26,active
2018-04-02,223,27,active
2018-04-03,223,28,active
2018-04-04,223,29,active
2018-04-05,223,30,active
2018-04-06,224,-1,inactive
2018-04-07,225,1,active
2018-04-08,225,2,active
2018-04-09,225,3,active
2018-04-10,225,4,active
2018-04-11,225,5,active
2018-04-12,225,6,active
2018-04-13,225,7,active
2018-04-14,225,8,active
2018-04-15,225,9,active
2018-04-16,225,10,active
2018-04-17,225,11,active
2018-04-18,225,12,active
2018-04-19,225,13,active
2018-04-20,225,14,active
2018-04-21,225,15,active
2018-04-22,225,16,active
2018-04-23,225,17,active
2018-04-24,225,18,active
2018-04-25,225,19,active
2018-04-26,225,20,active
2018-04-27,225,21,active
2018-04-28,225,22,active
2018-04-29,225,23,active
2018-04-30,225,24,active
2018-05-01,225,25,active
2018-05-02,226,-1,inactive
2018-05-03,227,1,active
2018-05-04,227,2,active
2018-05-05,227,3,active
2018-05-06,227,4,active
2018-05-07,227,5,active
2018-05-08,228,-1,inactive
2018-05-09,229,1,active
2018-05-10,230,-1,inactive
2018-05-11,231,1,active
2018-05-12,231,2,active
2018-05-13,231,3,active
2018-05-14,231,4,active
2018-05-15,231,5,active
2018-05-16,231,6,active
2018-05-17,231,7,active
2018-05-18,231,8,active
2018-05-19,231,9,active
2018-05-20,231,10,active
2018-05-21,231,11,active
2018-05-22,231,12,active
2018-05-23,231,13,active
2018-05-24,231,14,active
2018-05-25,231,15,active
2018-05-26,232,-1,inactive
2018-05-27,232,-2,inactive
2018-05-28,232,-3,inactive
2018-05-29,233,1,active
2018-05-30,233,2,active
2018-05-31,234,-1,inactive
2018-06-01,234,-2,inactive
2018-06-02,234,-3,inactive
2018-06-03,234,-4,inactive
2018-06-04,234,-5,inactive
2018-06-05,234,-6,inactive
2018-06-06,234,-7,inactive
2018-06-07,234,-8,inactive
2018-06-08,234,-9,inactive
2018-06-09,234,-10,inactive
2018-06-10,234,-11,inactive
2018-06-11,234,-12,inactive
2018-06-12,235,1,active
2018-06-13,236,-1,inactive
2018-06-14,236,-2,inactive
2018-06-15,237,1,active
2018-06-16,237,2,active
2018-06-17,237,3,active
2018-06-18,237,4,active
2018-06-19,237,5,active
2018-06-20,237,6,active
2018-06-21,237,7,active
2018-06-22,237,8,active
2018-06-23,237,9,active
2018-06-24,237,10,active
2018-06-25,237,11,active
2018-06-26,237,12,active
2018-06-27,237,13,active
2018-06-28,238,-1,inactive
2018-06-29,239,1,active
2018-06-30,239,2,active
2018-07-01,239,3,active
2018-07-02,239,4,active
2018-07-03,239,5,active
2018-07-04,239,6,active
2018-07-05,240,-1,inactive
2018-07-06,241,1,active
2018-07-07,241,2,active
2018-07-08,241,3,active
2018-07-09,242,-1,inactive
2018-07-10,243,1,active
2018-07-11,243,2,active
2018-07-12,243,3,active
2018-07-13,244,-1,inactive
2018-07-14,244,-2,inactive
2018-07-15,245,1,active
2018-07-16,245,2,active
2018-07-17,245,3,active
2018-07-18,245,4,active
2018-07-19,246,-1,inactive
2018-07-20,247,1,active
2018-07-21,247,2,active
2018-07-22,247,3,active
2018-07-23,247,4,active
2018-07-24,247,5,active
2018-07-25,247,6,active
2018-07-26,247,7,active
2018-07-27,247,8,active
2018-07-28,248,-1,inactive
2018-07-29,248,-2,inactive
2018-07-30,249,1,active
2018-07-31,250,-1,inactive
2018-08-01,250,-2,inactive
2018-08-02,250,-3,inactive
2018-08-03,251,1,active
2018-08-04,251,2,active
2018-08-05,251,3,active
2018-08-06,251,4,active
2018-08-07,251,5,active
2018-08-08,251,6,active
2018-08-09,251,7,active
2018-08-10,251,8,active
2018-08-11,251,9,active
2018-08-12,251,10,active
2018-08-13,251,11,active
2018-08-14,251,12,active
2018-08-15,251,13,active
2018-08-16,251,14,active
2018-08-17,251,15,active
2018-08-18,251,16,active
2018-08-19,252,-1,inactive
2018-08-20,253,1,active
2018-08-21,253,2,active
2018-08-22,253,3,active
2018-08-23,253,4,active
2018-08-24,253,5,active
2018-08-25,253,6,active
2018-08-26,253,7,active
2018-08-27,253,8,active
2018-08-28,253,9,active
2018-08-29,253,10,active
2018-08-30,253,11,active
2018-08-31,253,12,active
2018-09-01,253,13,active
2018-09-02,253,14,active
2018-09-03,253,15,active
2018-09-04,253,16,active
2018-09-05,253,17,active
2018-09-06,253,18,active
2018-09-07,253,19,active
2018-09-08,253,20,active
2018-09-09,253,21,active
2018-09-10,253,22,active
2018-09-11,253,23,active
2018-09-12,253,24,active
2018-09-13,253,25,active
2018-09-14,253,26,active
2018-09-15,253,27,active
2018-09-16,253,28,active
2018-09-17,253,29,active
2018-09-18,253,30,active
2018-09-19,253,31,active
2018-09-20,253,32,active
2018-09-21,253,33,active
2018-09-22,254,-1,inactive
2018-09-23,255,1,active
2018-09-24,255,2,active
2018-09-25,255,3,active
2018-09-26,255,4,active
2018-09-27,255,5,active
2018-09-28,255,6,active
2018-09-29,255,7,active
2018-09-30,256,-1,inactive
2018-10-01,256,-2,inactive
2018-10-02,257,1,active
2018-10-03,257,2,active
2018-10-04,257,3,active
2018-10-05,257,4,active
2018-10-06,258,-1,inactive
2018-10-07,258,-2,inactive
2018-10-08,258,-3,inactive
2018-10-09,258,-4,inactive
2018-10-10,258,-5,inactive
2018-10-11,258,-6,inactive
2018-10-12,258,-7,inactive
2018-10-13,258,-8,inactive
2018-10-14,258,-9,inactive
2018-10-15,258,-10,inactive
2018-10-16,258,-11,inactive
2018-10-17,258,-12,inactive
