Filename,Description,Tags,Dataset,Visual Elements,Tasks,Relevant Topics,sourceLink,comments
img-011.jpg,"Disparities in food insecurity by income Population experiencing moderate or severe food insecurity (%), by income group","point, line,  annotation, categories, three or more variables, comparison, economy","categories, three or more variables","point, line,  annotation",comparison,economy,https://datatopics.worldbank.org/sdgatlas/goal-2-zero-hunger/,
img-012.png,Visualizing mean temperatures in Pittsburg in the year 2016,"time series, two variables, temperature,  density plot,  distribution","time series, continuous"," density, ",distribution,"climate, temperature",https://towardsdatascience.com/pgh-weather-data-plot-and-code-19d8e8b670f,
img-013.png,"Today’s infographic from Alberto Lucas Lopez condenses the 7,102 known living languages today into a stunning visualization, with individual colors representing each world region.Only 23 languages are spoken by at least 50 million native speakers. What’s more, over half the planet speaks at least one of these 23 languages.","language, geographic, Hierarchies, categories, two variables, bubble ,  nominal, composition","Hierarchies, categories, two variables","bubble, ",composition,"culture, geographic",https://www.visualcapitalist.com/a-world-of-languages/,
img-014.png,"In this graphic, we visualize the year’s biggest tech deals above $1 billion using data from Computerworld, which tracked the year’s biggest acquisitions.","bubble, annotation, time series, categories, three or more variables, comparison, economy, bespoke","time series, categories, three or more variables","bubble, line, bespoke, annotation",comparison,economy,https://markets.businessinsider.com/news/stocks/visualizing-biggest-tech-mergers-and-acquisitions-of-2020-1029912010,
img-015.png,"Discover how some of the world’s most original artists, writers and musicians structured their day, based on ‘Daily Rituals’ by Mason Currey."," time series, bar, comparison, categories, three or more variables","time series, categories, three or more variables", bar,comparison,,https://podio.com/site/creative-routines,
img-016.jpg,"Quantum Journal created this data visualization to show what types of particles light and dark matter might be made of. Axions, weakly interacting massive particles, ultralight dark matter or primordial black holes -- these could all be stellar candidates. In addition to distributing each particle type on a scale according to its mass, the figure provides a clear, concise description of each type of particle."," science, two variables, composition, annotation",two variables,  annotation,composition,science,https://www.wired.com/story/the-search-for-dark-matter-is-dramatically-expanding/,
img-017.png,"The United States Department of Agriculture keeps track of food availability for over 200 items, which can be used to estimate food consumption at the national level. They have data for 1970 through 2019, so we can for example, see how much beef Americans consume per year on average and how that has changed over four decades."," food, time series, categories, three or more variables, annotation, composition","time series, categories, three or more variables",  annotation,"composition, trend",food,https://flowingdata.com/2021/06/08/seeing-how-much-we-ate-over-the-years/,
img-018.jpg,"73 teams tested the same hypotheses with the same data. Some found negative results, some positive, some nada. No effect of expertise or confirmation bias. ""Idiosyncratic researcher variability is a threat to the reliability of scientific findings.","line, annotation, science, categories, three or more variables,  relationship, distribution, bar","categories, three or more variables","line,  annotation, bar","relationship, distribution",science,https://osf.io/preprints/metaarxiv/cd5j9/,
img-019.png,"Between 1965 and 2016, an American's Beef, Pork and Chicken consumption has increased by 30%. This has primiarily been driven by a 150% increase in chicken consumption during this time, whilst beef has seen a 25% decrease.","food, line, time series, annotation, trend, comparison, categories, three or more variables","time series, categories, three or more variables"," line, annotation","trend, comparison",food,https://www.storytellingwithdata.com/blog/2018/1/22/88-annotated-line-graphs,
img-020.jpeg,A historical view of wealth ownership in the US.,"trend, comparison, annotation, economy, line, time series, categories, three or more variables","time series, categories, three or more variables"," line, annotation ","trend, comparison",economy,http://speakingppt.com/10-rules-for-graph-annotations/,
img-021.gif,The visualization shows the Human Rights Protection index (from 1950 to 2014) and the Human Rights Violations index (in 2014) for 50 countries. The selected countries are the top 25 ones and the bottom 25 ones for human rights violation. The countries are sorted along the horizontal axis by GDP per capita and along the vertical axis by population.,"categories, three or more variables, point, bespoke, glyph, economy, human rights","categories, three or more variables,"," glyph, bespoke",comparison,"economy, Human rights",https://www.behance.net/gallery/76461997/The-Geography-of-Human-Rights,
img-022.jpeg,Reported covid cases across US states,"bar, density, categories, distribution",categories,"bar, density, line",distribution,COVID,http://www.thefunctionalart.com/2020/05/the-problem-with-unlabeled-scales.html,
img-023.jpeg,The visualization consists of a dynamic beeswarm plot in which each bubble represents a query reaching the top searches in a U.S. state (states may appear more than once in the plot.),"bubble, covid, time series, three or more variables, trend","time series, three or more variables",bubble,trend,COVID,http://www.thefunctionalart.com/2020/04/latest-project-search-waves-during.html,
img-024.jpg,"The Markup gathered and analyzed more than 800,000 internet service offers from AT&T, Verizon, Earthlink, and CenturyLink in 38 cities across America and found that all four routinely offered fast base speeds at or above 200 Mbps in some neighborhoods for the same price as connections below 25 Mbps in others.","geographic map,  ordinal, nominal, annotation, relationship","ordinal, nominal"," annotation, geographic map","distribution, relationship",Human rights,https://flowingdata.com/2022/10/20/slow-internet-for-the-same-price-as-fast-internet/,
img-025.png," Based on data from the American Time Use Survey, this chart shows the percentage of people doing activities on a non-holiday weekday.","distribution, density, annotation, categories, two variables","categories, two variables","density,  annotation",distribution,,https://flowingdata.com/2021/08/19/daily-routine-2020/,
img-026.png,"The data on bill dimension of brush-tailed penguins were collected from 2007 - 2009 by Dr. Kristen Gorman with the Palmer Station Longer Term Ecological Research Program, part of the US Long Term Ecological Research Network. The so-called palmerpenguins data set contains size measurements, clutch observations, and blood isotope ratios for three penguin species of the genus Pygoscelis, the brush-tailed penguins, observed on three islands in the Palmer Archipelago, Antarctica over a study period of three years.","point, density, correlation, error bar, science, distribution, comparison, categories, two variables, time series","categories, two variables, timeseries","point, density,  error bar","distribution, correlation, comparision",science,https://www.behance.net/gallery/101517403/Bill-Dimensions-of-Penguins,
img-027.png,US cities give thousands of homeless people one-way bus tickets out of town. This distribution chart demonstrates how the homeless are often relocated to areas with lower median incomes.,"sankey, economy, categories, three or more variables","categories, three or more variables",sankey,composition,economy,https://www.behance.net/gallery/75551735/Bussed-Out-How-America-moves-its-homeless,
img-028.png,"This visualizaiton shows how do Americans spend their time. It is an animated visualization. We just provided a screenshot of the animation. s based on data from the American Time Use Survey, and it conveys in time-elapse fashion what people are generally doing at different times of the day.","relationship, point, categories, two variables","categories, two variables","point, ",relationship ,,https://flowingdata.com/2015/12/15/a-day-in-the-life-of-americans/,
img-029.png,This visualization of 200 years of immigration to the United States shows how the proportion of immigrants from different parts of the world has changed through the years.,"stream, country, time series,  categories, three or more varibales","time series, categories, three or more variables", stream,"composition, trend",,https://insightfulinteraction.com/immigration200years.html,
img-030.png,"We plotted the number of nights spent per month in each park. We separated four categories of accommodation: lodging, RV, tent, and backcountry. Each accommodation type comes with their own characteristics which determine their popularity over time.","spiral,  annotation, categories, two variables,  comparison","categories, two variables"," spiral, ",comparison,,https://jordan-vincent.com/night-under-the-stars/,
img-031.png,This visualization shows the number of lines of code are included in different codebases,"bar, categories, three or more variables, comparison","categories, three or more variables,","bar, ",comparison,,https://www.informationisbeautiful.net/visualizations/million-lines-of-code/,
img-033.png,This data visualization illustrates data compiled from over 1000 major Hollywood films of the last eight years. This resource can be used to see and compare things such as worldwide gross budget vs. budget and actual budget recovered.,"bubble,  time series, security, categories, three or more variables","time series, categories, three or more variables","bubble, ","relationship, distribution",security,https://www.informationisbeautiful.net/visualizations/worlds-biggest-data-breaches-hacks/,
img-034.png,"This data visualization from the Washington Post shows how much of your life the U.S. has been at war, and which wars the U.S. has been fighting during your lifetime. The dark blue represents percent spent in war, the light blue represents percent spent in peace, the dark red represents time spent in war, and the light red represents time spent in peace.","bar, stacked, composition,  population, time series, categories, three or more variables","time series, categories, three or more variables","bar, stacked, ",composition,population,https://www.washingtonpost.com/news/the-fix/wp/2015/05/18/heres-how-much-of-your-life-the-united-states-has-been-at-war/,
img-035.png,"This resource paints and interesting picture about the behaviors and attitudes of people before, during, and after the holidays. The example highlighted below is showing daily volumes of searched for the word “diet” throughout the year. As you can see, there is a significant drop in the weeks and months leading up to the holiday season, followed by an almost immediate spike once New Year hits. It’s an interesting trend that might not have been as compelling without the visualization that was created.","bar, categories, health,three or more variables, time series, comparison","time series, categories, three or more variables","bar, ",comparison,health,https://www.maptive.com/8-great-examples-complex-data-visualized/,
img-036.png,This map below is an example of how you can use heat mapping and color to illustrate trends and contrast. It’s an enjoyable map that you can use to determine when peak fall foliage occurs around the country.,"geographic map,  categories, three or more varibales,climate, time series, composition, climate","time series, categories, three or more variables","geographic map, ",composition,climate,https://smokymountains.com/fall-foliage-map/,
img-037.png,"In this example, the chart shows the wind speed distribution. This is achieved with a polar stacked column chart.","composition, comparison, climate, bar,  categories, three or more variables","categories, three or more variables", bar,"composition, comparison",climate,https://www.tutlane.com/tutorial/highcharts/highcharts-wind-rose-chart,
img-038.png,"This force directed graph shows an example of a network graph, where the nodes represent languages and the language families they belong to. The nodes can be dragged around and will be repositioned dynamically. Network graphs are typically used to show relations in data. In this case, we are showing a hierarchical structure.","graph, relationship, categories, three or more variables ","categories, three or more variables"," point, graph",relationship,culture,https://www.highcharts.com/demo/network-graph,
img-039.png,Demonstrating an arearange chart with a low and high value per point. Area range charts are commonly used to visualize a range that changes over time.,"line, time series, climate, two variables, trend","time series, two variables",line,trend,climate,https://www.highcharts.com/demo/sparkline,
img-040.png,"A basic column chart comparing emissions by pollutant. Oil and gas extraction has the overall highest amount of emissions, followed by manufacturing industries and mining. The chart is making use of the axis crosshair feature, to highlight years as they are hovered over.","climate, bar,  time series, three or more variables","time series, three or more variables","bar, ",comparison,climate,https://www.highcharts.com/demo/column-basic,
img-041.png,"In particular, richer and poorer countries set very different poverty lines in order to measure poverty in a way that is informative and relevant to the level of incomes of their citizens. To measure poverty globally, however, we need to apply a poverty line that is consistent across countries. This is the goal of the International Poverty Line of $2.15 per day – shown in red in the chart – which is set by the World Bank and used by the UN to monitor extreme poverty around the world.","distribution, density, annotation, categories, three or more variables, comparison, economy","time series, three or more variables","density,  annotation","distribution, comparison",economy,https://ourworldindata.org/poverty,
img-042.jpg,A dearth of tent-pole movies to attract audiences to the big screen means box office takings are further off pre-pandemic levels than originally hoped.,"bar, comparison, annotation, time series, categories, three or more variables","time series, categories, three or more variables","bar, ",comparison,entertainment,https://www.ft.com/content/ec2d54cf-8612-41d4-9ae2-1fbf9f06dd0b,
img-043.jpeg,Estimated single-use costs for appliances from October under the UK’s Energy Price Guarantee,"bubble, relationship, annotation, energy, categories, two variables, comparison","categories, two variables","bubble, annotation","relationship, comparison",energy,https://www.bloomberg.com/news/articles/2022-09-02/price-breakdown-how-much-will-it-cost-to-run-appliances-in-uk-energy-crisis,
img-044.png,Percentage of world wide natural gas production by country,"composition, categories, two variables,   energy","categories, two variables", ,composition,energy,https://informationisbeautiful.net/visualizations/ukraine-russian-war-infographics-data-visuals/#RussianGas,
img-045.png,Estimated percentage of Russian gas exports by importing country,"sankey, categories, two variables,  energy, composition","categories, two variables",sankey,composition,energy,https://informationisbeautiful.net/visualizations/ukraine-russian-war-infographics-data-visuals/#RussianGas,
img-046.png,Visualization highlighting the share of natural gas consumption that is dependent on Russian gas explorts ,"bubble, categories, three or more variables, comparison, relationship,  energy","categories, three or more variables","bubble, ","relationship, comparision",energy,https://informationisbeautiful.net/visualizations/ukraine-russian-war-infographics-data-visuals/#RussianGas,
img-047.png,This visualization shows the College Football Playoff weekly rankings of each team for the last four years.,"line, relationship, comparision, time series, two variables, entertainment","time series, two variables",line,"relationship, comparison",entertainment,https://www.sirvizalot.com/2019/01/path-to-playoff-clemson-and-alabama.html,
img-048.gif,"In this example, we are looking at NFL Combine statistics for Wide Receivers.","point, correlation, comparision, categories, two variables, interactive","categories, two variables","point, ","correlation, comparision",entertainment,https://www.sirvizalot.com/2017/05/how-to-dynamic-clusters-in-tableau.html,
img-049.png,"Some reviews say the movie is great while others don't offer as much praise. I took a look at the critic and audience ratings on Rotten Tomatoes, and there is definitely a large variance between the ratings of critics and the audience for the latest film.","line, comparison, annotation, entertainment, two variables, categories","two variables, categories","line,  annotation ",comparison,entertainment,https://public.tableau.com/app/profile/matt.chambers/viz/StarWarsDivisiveness/StarWarsDivisiveness,
img-050.png,"In this visualization, each city's sports league is represented by a petal; the size of the petal indicates number of championships.","entertainment, bespoke, categories, two variables, glyph, comparison","categories, two variables","bespoke, glyph",comparison,entertainment,https://www.sirvizalot.com/2018/10/sports-city.html,
img-051.png,"A visualization to identify the airports and flights that are more affected by precipitation based on the Weather Delay Minutes per Inch of Precipitation (WDMIP), and it is simply the average weather delay divided by the average precipitation in inches. ","relationship, categorical, three or more variables, time series, bar, line,  climate, airplanes, geographic map","categorical, three or more variables, time series","bar, line,  geographic map",relationship,climate,https://www.sirvizalot.com/2015/06/iron-viz-entry-blame-weather.html,
ArcDiagram1.png,"Arc Diagram 1","arc, climate","time series, two variables","arc","comparison","climate","https://en.wikipedia.org/wiki/Arc_diagram",
ArcDiagram2.png,"Arc Diagram 2","arc","","arc","","","https://www.highcharts.com/docs/chart-and-series-types/arc-diagram",
ArcDiagram3.png,"Arc Diagram 3","arc","","arc","","",https://www.highcharts.com/docs/chart-and-series-types/arc-diagram,
ArcDiagram4.png,"Arc Diagram 4","arc","","arc","","",https://www.highcharts.com/docs/chart-and-series-types/arc-diagram,
ArcDiagram5.png,"Arc Diagram 5","arc","","arc","","",https://sandeshkalantre.github.io/TopNum2/,
ArcDiagram6.png,"Arc Diagram 6","arc","","arc","","",https://abjago.net/transit-patronage-visualiser/,
ArcDiagram7.png,"Arc Diagram 7","arc","","arc","","",https://ganbatte.world/cities/what-is-the-circular-economy/,
ArcDiagram8.png,"Arc Diagram 8","arc","","arc","","",https://www.data-to-viz.com/graph/arc.html,
ArcDiagram9.png,"Arc Diagram 9","arc","","arc","","",https://observablehq.com/@stefanreifenberg/basic-arc-diagram,
ArcDiagram10.png,"Arc Diagram 10","arc","",arc,"","",https://observablehq.com/@lvngd/nyc-taxi-rides-d3-arc-diagram,
BarChart1.png,Bar Chart 1,bar,,bar,,,https://playground.anychart.com/docs/v8/samples/BCT_Bar_Chart_03,
BarChart2.png,Bar Chart 2,bar,,bar,,,https://apexcharts.com/javascript-chart-demos/bar-charts/,
BarChart3.png,Bar Chart 3,bar,,bar,,,https://vega.github.io/vega-lite/examples/bar.html,
BarChart4.png,Bar Chart 4,bar,,bar,,,https://observablehq.com/@d3/bar-chart,
BarChart5.png,Bar Chart 5,bar,,bar,,,https://observablehq.com/@d3/diverging-bar-chart,
BarChart6.png,Bar Chart 6,bar,,bar,,,https://insights.datylon.com/stories/nIWdVHXAxLrae7nECdRFFQ,
BarChart13.png,Bar Chart 13,bar,,bar,,,https://observablehq.com/@observablehq/plot-bar,
BarChart8.png,Bar Chart 8,bar,,bar,,,https://observablehq.com/@d3/hierarchical-bar-chart,
BarChart9.png,Bar Chart 9,bar,,bar,,,https://doc.sagemath.org/html/en/reference/plotting/sage/plot/bar_chart.html,
BarChart10.png,Bar Chart 10,bar,,bar,,,https://bl.ocks.org/tlfrd/187e45e0629711c4560cf6bcd0767b27,
BarChart11.png,Bar Chart 11,bar,,bar,,,https://www.diagrammm.com/bar_chart,
BarChart12.png,Bar Chart 12,bar,,bar,,,https://xari.dev/horizontal-bar-plot/,
LineGraph1.png,Line Graph 1,line,,line,,,https://bl.ocks.org/mbostock/3883245,
LineGraph2.png,Line Graph 2,line,,line,,,https://www.datawrapper.de/_/hBToO/,
LineGraph3.png,Line Graph 3,line,,line,,,https://www.datawrapper.de/_/SD6eX/,
LineGraph4.png,Line Graph 4,line,,line,,,https://www.datawrapper.de/_/Wa2Ci/,
LineGraph5.png,Line Graph 5,line,,line,,,https://insights.datylon.com/stories/utSCFQQ8mh-RzpGVG4pKSQ,
LineGraph6.png,Line Graph 6,line,,line,,,https://public.flourish.studio/story/959/,
LineGraph7.png,Line Graph 7,line,,line,,,https://plotly.com/javascript/line-charts/,
LineGraph8.png,Line Graph 8,line,,line,,,https://www.quadrigram.com/hosting/yacintha_aakster/fertility_vs_gdp/#p/Page1,
LineGraph9.png,Line Graph 9,line,,line,,,https://vega.github.io/vega/examples/line-chart/,
LineGraph10.png,Line Graph 10,line,,line,,,https://mascot-vis.github.io/gallery.html#MultiLineGraph2,
LineGraph11.png,Line Graph 11,line,,line,,,https://www.tibco.com/reference-center/what-is-a-line-chart,
LineGraph12.png,Line Graph 12,line,,line,,,https://apexcharts.com/docs/chart-types/line-chart/,
LineGraph13.png,Line Graph 13,line,,line,,,https://apexcharts.com/javascript-chart-demos/line-charts/basic/,
LineGraph14.png,Line Graph 14,line,,line,,,https://community.visualdatatools.com/datagraph/knowledge-base/line-graph/,
LineGraph15.png,Line Graph 15,line,,line,,,https://diagrammm.com/basic_line,
LineGraph16.png,Line Graph 16,line,,line,,,https://diagrammm.com/basic_line,
LineGraph17.png,Line Graph 17,line,,line,,,https://www.dataquest.io/blog/data-visualization-in-r-with-ggplot2-a-beginner-tutorial/,
LineGraph18.png,Line Graph 18,line,,line,,,https://www.highcharts.com/demo/line-basic,
LineGraph19.png,Line Graph 19,line,,line,,,https://www.highcharts.com/demo/line-ajax,
DotPlot1.png,Dot Plot 1,dot,,dot,,,https://plotly.com/python/dot-plots/,
DotPlot2.png,Dot Plot 2,dot,,dot,,,https://public.flourish.studio/visualisation/114249/,
DotPlot3.png,Dot Plot 3,dot,,dot,,,https://plotly.com/python/dot-plots/,
DotPlot4.png,Dot Plot 4,dot,,dot,,,https://jscharting.com/examples/chart-types/point-marker/csv-data/,
DotPlot5.png,Dot Plot 5,dot,,dot,,,https://mathspace.co/textbooks/syllabuses/Syllabus-862/topics/Topic-19221/subtopics/Subtopic-258372/,
DotPlot6.png,Dot Plot 6,dot,,dot,,,https://www.khanacademy.org/math/cc-third-grade-math/represent-and-interpret-data/imp-line-plots/a/line-plots-review,
DotPlot7.png,Dot Plot 7,dot,,dot,,,https://observablehq.com/@d3/dot-strip-plot,
DotPlot8.png,Dot Plot 8,dot,,dot,,,https://www.khanacademy.org/math/cc-third-grade-math/represent-and-interpret-data/imp-line-plots/a/line-plots-review,
DotPlot9.png,Dot Plot 9,dot,,dot,,,https://jscharting.com/examples/chart-types/point-marker/,
DotPlot10.png,Dot Plot 10,dot,,dot,,,https://mathworld.wolfram.com/DotPlot.html,
DotPlot11.png,Dot Plot 11,dot,,dot,,,https://quantamental.amadeus.ch/post/the-feds-new-dot-plot-in-python,
DotPlot12.png,Dot Plot 12,dot,,dot,,,https://www.hcbravo.org/IntroDataSci/bookdown-notes/basic-plotting-with-ggplot.html,
DotPlot13.png,Dot Plot 13,dot,,dot,,,https://visithungary.com/weather-around-the-year,
DotPlot14.png,Dot Plot 14,dot,,dot,,,http://pklab.med.harvard.edu/peterk/conos/scripts/cluster/scripts/seurat3/ggplot2/tests/figs/geom-dotplot/basic-dotplot-with-dot-density-binning-binwidth-4.svg,
MarimekkoChart1.png,Marimekko Chart 1,marimekko,,marimekko,,,http://jsfiddle.net/fusioncharts/bdmTg/?utm_source=visualisingdata&utm_medium=website,
MarimekkoChart2.png,Marimekko Chart 2,marimekko,,marimekko,,,https://plotdb.com/chart/1118/,
MarimekkoChart3.png,Marimekko Chart 3,marimekko,,marimekko,,,https://docs.anychart.com/Basic_Charts/Marimekko_Chart/Mekko_Chart,
MarimekkoChart4.png,Marimekko Chart 4,marimekko,,marimekko,,,https://www.fusioncharts.com/resources/chart-primers/marimekko-chart,
MarimekkoChart5.png,Marimekko Chart 5,marimekko,,marimekko,,,https://www.fusioncharts.com/charts/marimekko-charts/market-share-as-percent?framework=javascript,
MarimekkoChart6.png,Marimekko Chart 6,marimekko,,marimekko,,,https://jscharting.com/examples/chart-types/variwide/marimekko/,
MarimekkoChart7.png,Marimekko Chart 7,marimekko,,marimekko,,,https://vega.github.io/vega-lite/examples/rect_mosaic_labelled_with_offset.html,
MarimekkoChart8.png,Marimekko Chart 8,marimekko,,marimekko,,,https://plotdb.com/chart/1118/#,
MarimekkoChart9.png,Marimekko Chart 9,marimekko,,marimekko,,,https://bl.ocks.org/mbostock/1005090,
MarimekkoChart10.png,Marimekko Chart 10,marimekko,,marimekko,,,https://www.mekkographics.com/why-use-a-marimekko-chart/,
GanttChart1.png,Gantt Chart 1,gantt,,gantt,,,https://www.edrawsoft.com/edraw-project/,
GanttChart2.png,Gantt Chart 2,gantt,,gantt,,,https://jscharting.com/examples/chart-types/gantt/axis-details/,
GanttChart3.png,Gantt Chart 3,gantt,,gantt,,,https://plotly.com/r/gantt/,
GanttChart4.png,Gantt Chart 4,gantt,,gantt,,,http://bl.ocks.org/dk8996/5449641,
GanttChart5.png,Gantt Chart 5,gantt,,gantt,,,http://jsfiddle.net/fusioncharts/fLqSL/?utm_source=visualisingdata&utm_medium=website,
GanttChart6.png,Gantt Chart 6,gantt,,gantt,,,https://www.highcharts.com/demo/gantt/interactive-gantt,
GanttChart7.png,Gantt Chart 7,gantt,,gantt,,,https://www.officetimeline.com/gantt-chart/templates/gantt,
GanttChart8.png,Gantt Chart 8,gantt,,gantt,,,https://doc.cuba-platform.com/charts-6.4/gantt_chart.html,
GanttChart9.png,Gantt Chart 9,gantt,,gantt,,,https://en.wikipedia.org/wiki/Gantt_chart,
GanttChart10.png,Gantt Chart 10,gantt,,gantt,,,https://www.tibco.com/reference-center/what-is-a-gantt-chart,
GroupedBarChart1.png,Grouped Bar Chart 1,grouped,,grouped,,,https://mascot-vis.github.io/gallery.html#BarChartVert,
GroupedBarChart2.png,Grouped Bar Chart 2,grouped,,grouped,,,https://mascot-vis.github.io/gallery.html#BarChartHorz,
GroupedBarChart3.png,Grouped Bar Chart 3,grouped,,grouped,,,https://vega.github.io/vega/examples/grouped-bar-chart/,
GroupedBarChart4.png,Grouped Bar Chart 4,grouped,,grouped,,,https://plotly.com/javascript/bar-charts/#stacked-bar-chart,
GroupedBarChart5.png,Grouped Bar Chart 5,grouped,,grouped,,,https://commons.wikimedia.org/wiki/File:Charts_SVG_Example_6_-_Grouped_Bar_Chart.svg,
GroupedBarChart6.png,Grouped Bar Chart 6,grouped,,grouped,,,https://apexcharts.com/react-chart-demos/bar-charts/grouped/,
GroupedBarChart7.png,Grouped Bar Chart 7,grouped,,grouped,,,https://d3-graph-gallery.com/graph/barplot_grouped_basicWide.html,
GroupedBarChart8.png,Grouped Bar Chart 8,grouped,,grouped,,,https://developers.google.com/chart/interactive/docs/gallery/barchart#creating-material-bar-charts,
GroupedBarChart9.png,Grouped Bar Chart 9,grouped,,grouped,,,https://www.highcharts.com/demo/bar-basic,
GroupedBarChart10.png,Grouped Bar Chart 10,grouped,,grouped,,,https://nvd3.org/examples/multiBar.html,
PieChart1.png,Pie Chart 1,pie,,pie,,,https://www.datylon.com/product/chart-library/pie-chart,
PieChart2.png,Pie Chart 2,pie,,pie,,,https://vega.github.io/editor/#/examples/vega-lite/arc_pie,
PieChart12.png,Pie Chart 12,pie,,pie,,,https://observablehq.com/@jasper/pie-chart-starter,
PieChart4.png,Pie Chart 4,pie,,pie,,,https://mascot-vis.github.io/gallery.html#PieChart,
PieChart13.png,Pie Chart 13,pie,,pie,,,https://observablehq.com/@rayelder/breakpoint-pie-chart,
PieChart5.png,Pie Chart 5,pie,,pie,,,https://insights.datylon.com/stories/s4b8jB8WtRRDNbwylQxJTw,
PieChart6.png,Pie Chart 6,pie,,pie,,,https://vega.github.io/vega-lite/examples/layer_arc_label.html,
PieChart11.png,Pie Chart 11,pie,,pie,,,https://observablehq.com/d/f1afba96577cc72f,
PieChart8.png,Pie Chart 8,pie,,pie,,,https://dash.gallery/dashr-svm/,
PieChart9.png,Pie Chart 9,pie,,pie,,,https://apexcharts.com/javascript-chart-demos/pie-charts/monochrome-pie/,
PieChart10.png,Pie Chart 10,pie,,pie,,,https://apexcharts.com/javascript-chart-demos/pie-charts/simple-pie-chart/,
StackedBarChart1.png,Stacked Bar Chart 1,stacked,,stacked,,,https://observablehq.com/@d3/stacked-horizontal-bar-chart,
StackedBarChart2.png,Stacked Bar Chart 2,stacked,,stacked,,,https://observablehq.com/@d3/stacked-normalized-horizontal-bar,
StackedBarChart12.png,Stacked Bar Chart 12,stacked,,stacked,,,https://apexcharts.com/javascript-chart-demos/bar-charts/stacked/,
StackedBarChart3.png,Stacked Bar Chart 3,stacked,,stacked,,,https://apexcharts.com/javascript-chart-demos/bar-charts/patterned/,
StackedBarChart13.png,Stacked Bar Chart 13,stacked,,stacked,,,https://apexcharts.com/javascript-chart-demos/column-charts/stacked/,
StackedBarChart4.png,Stacked Bar Chart 4,stacked,,stacked,,,https://vega.github.io/vega-lite/examples/stacked_bar_count_corner_radius_mark.html,
StackedBarChart5.png,Stacked Bar Chart 5,stacked,,stacked,,,https://vega.github.io/vega-lite/examples/stacked_bar_normalize.html,
StackedBarChart6.png,Stacked Bar Chart 6,stacked,,stacked,,,https://vega.github.io/vega-lite/examples/stacked_bar_h.html,
