Type,ID,charting tool,chart source,Link
Density plot,10,R,people.ohio.edu,https://people.ohio.edu/ruhil/RBookNew/05-VisualizingData_files/figure-html/05-VisualizingData-28-1.svg
Density plot,11,R,bookdown.org,https://bookdown.org/max/FES/figures/numeric-kPCA-comparison-1.svg
Diverging Stacked Bar Chart,1,D3.js,,https://observablehq.com/@d3/diverging-stacked-bar-chart
Diverging Stacked Bar Chart,2,Plotly,,https://plotly.com/javascript/bar-charts/#diverging-bar-chart
Diverging Stacked Bar Chart,3,Vega Lite,,https://vega.github.io/vega-lite/examples/bar_diverging_stack_population_pyramid.html
Diverging Stacked Bar Chart,4,Mascot.js,,https://mascot-vis.github.io/gallery.html#DivergingBarChart
Diverging Stacked Bar Chart,5,Vega Lite,,https://vega.github.io/vega-lite/examples/bar_diverging_stack_transform.html
Diverging Stacked Bar Chart,6,Datylon,,https://insights.datylon.com/stories/vyl9HVKNAlSO7vbXR6pJCw
Diverging Stacked Bar Chart,7,Datylon,,https://insights.datylon.com/stories/vlnwCk-K4g0kkrdtGSVC1Q
Diverging Stacked Bar Chart,8,Datylon,,https://insights.datylon.com/stories/jxgTr06G-ndlbUbkbZpEtw
Diverging Stacked Bar Chart,9,AnyChart,,https://www.anychart.com/products/anychart/gallery/Bar_Charts/Stacked_Bar_Chart_with_Negative_Values.php
Diverging Stacked Bar Chart,10,ElmPackage,,https://package.elm-lang.org/packages/gampleman/elm-visualization/latest/Shape
Diverging Stacked Bar Chart,11,C3.js,,https://c3js.org/samples/chart_bar_stacked.html
Diverging Stacked Bar Chart,12,,www.mckinsey.com,https://www.mckinsey.com/featured-insights/2020-year-in-review/a-tale-of-2020-in-20-mckinsey-charts
Donut Chart,1,Datylon,,https://insights.datylon.com/stories/sfoIRoAR3q-oB0eCyTFB0w
Donut Chart,3,D3.js,,https://bl.ocks.org/mbostock/3887193
Donut Chart,4,Datylon,,https://www.datylon.com/resources/chart-library/donut-chart
Donut Chart,5,ApexCharts,,https://apexcharts.com/javascript-chart-demos/pie-charts/
Donut Chart,6,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Donut-Chart.svg
Donut Chart,7,D3.js,,https://observablehq.com/@thetylerwolf/day-6-donut-chart
Donut Chart,8,GoogleChart,,https://developers.google.com/chart/interactive/docs/gallery/piechart#donut
Donut Chart,9,ApexCharts,,https://apexcharts.com/javascript-chart-demos/pie-charts/donut-with-pattern/
Donut Chart,10,Vega Lite,,https://vega.github.io/vega/examples/donut-chart/
Donut Chart,11,Datylon,,https://www.datylon.com/blog/types-of-charts-graphs-examples-data-visualization#donut-chart
Donut Chart,12,,https://accessibility.pearson.com/,https://accessibility.pearson.com/resources/dataviz/
Dot Plot,1,Plotly,,https://plotly.com/python/dot-plots/
Dot Plot,2,Flourish,,https://public.flourish.studio/visualisation/114249/
Dot Plot,3,Plotly,,https://plotly.com/python/dot-plots/
Dot Plot,4,R,pklab.med.harvard.edu,http://pklab.med.harvard.edu/peterk/conos/scripts/cluster/scripts/seurat3/ggplot2/tests/figs/geom-dotplot/basic-dotplot-with-dot-density-binning-binwidth-4.svg
Dot Plot,5,,mathspace.co,https://mathspace.co/textbooks/syllabuses/Syllabus-862/topics/Topic-19221/subtopics/Subtopic-258372/
Dot Plot,6,,www.khanacademy.org,https://www.khanacademy.org/math/cc-third-grade-math/represent-and-interpret-data/imp-line-plots/a/line-plots-review
Dot Plot,7,D3.js,,https://observablehq.com/@d3/dot-strip-plot
Dot Plot,8,Plotly,quantamental.amadeus.ch,https://quantamental.amadeus.ch/post/the-feds-new-dot-plot-in-python
Dot Plot,9,R,,https://www.hcbravo.org/IntroDataSci/bookdown-notes/basic-plotting-with-ggplot.html
Dot Plot,10,,mathworld.wolfram.com,https://mathworld.wolfram.com/DotPlot.html
Gantt Chart,1,Vega Lite,,https://vega.github.io/editor/#/examples/vega-lite/bar_gantt
Gantt Chart,2,Lib.rs,,https://lib.rs/crates/gantt_chart
Gantt Chart,3,Plotly,,https://plotly.com/r/gantt/
Gantt Chart,4,Mascot.js,,https://mascot-vis.github.io/gallery.html#GanttChart
Gantt Chart,5,FusionCharts,,http://jsfiddle.net/fusioncharts/fLqSL/?utm_source=visualisingdata&utm_medium=website
Gantt Chart,6,HighCharts,,https://www.highcharts.com/demo/gantt/interactive-gantt
Gantt Chart,7,OfficeTimeline,,https://www.officetimeline.com/gantt-chart/templates/gantt
Gantt Chart,8,CUBA Platform,,https://doc.cuba-platform.com/charts-6.4/gantt_chart.html
Gantt Chart,9,SmartSheet,,https://www.smartsheet.com/content/project-management-charts
Gantt Chart,10,,https://www.spotfire.com/,https://www.tibco.com/reference-center/what-is-a-gantt-chart
Geo Heatmap,1,D3.js,,https://observablehq.com/@parkerziegler/choropleths-four-ways
Geo Heatmap,2,D3.js,,https://observablehq.com/@lisilinhart/choropleth-map
Geo Heatmap,3,,https://www.spotfire.com/,https://www.tibco.com/reference-center/what-is-a-geographical-chart
Geo Heatmap,4,GeoPandas,https://aeturrell.github.io/,https://aeturrell.github.io/coding-for-economists/geo-vis.html
Geo Heatmap,5,Vega Lite,,https://vega.github.io/vega-lite/examples/geo_choropleth.html
Geo Heatmap,6,Vega Lite,,https://vega.github.io/vega-lite/examples/geo_repeat.html
Geo Heatmap,7,D3.js,,https://observablehq.com/@clhenrick/reusable-choropleth-map
Geo Heatmap,8,D3.js,,https://observablehq.com/@gcmleon/choropleth-map-animation
Geo Heatmap,9,D3.js,,https://observablehq.com/@z-richard/choropleth-map-of-the-covid-19-cases-in-china
Geo Heatmap,10,D3.js,,https://observablehq.com/@parthmerchant/the-energy-viz-project
Grouped Bar Chart,1,Mascot.js,,https://mascot-vis.github.io/gallery.html#BarChartVert
Grouped Bar Chart,2,Mascot.js,,https://mascot-vis.github.io/gallery.html#BarChartHorz
Grouped Bar Chart,3,Vega,,https://vega.github.io/vega/examples/grouped-bar-chart/
Grouped Bar Chart,4,D3.js,https://www.jasondavies.com/,https://www.jasondavies.com/american-forces-in-afghanistan-and-iraq/
Grouped Bar Chart,5,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Charts_SVG_Example_6_-_Grouped_Bar_Chart.svg
Grouped Bar Chart,6,ApexCharts,,https://apexcharts.com/react-chart-demos/bar-charts/grouped/
Grouped Bar Chart,7,D3.js,,https://d3-graph-gallery.com/graph/barplot_grouped_basicWide.html
Grouped Bar Chart,8,GoogleChart,,https://developers.google.com/chart/interactive/docs/gallery/barchart#creating-material-bar-charts
Grouped Bar Chart,9,HighCharts,,https://www.highcharts.com/demo/bar-basic
Grouped Bar Chart,10,NVD3.js,,https://nvd3.org/examples/multiBar.html
Heatmap,1,,https://graphics.wsj.com/,http://graphics.wsj.com/infectious-diseases-and-vaccines/
Heatmap,2,Vega,,https://vega.github.io/vega/examples/heatmap/
Heatmap,3,D3.js,,https://observablehq.com/@sjengle/zillow-affordability-heatmap
Heatmap,4,D3.js,,https://observablehq.com/@nbremer/hexagon-grid-heatmap
Heatmap,5,D3.js,,https://observablehq.com/@lorenries/political-science-rankings-heatmap
Heatmap,6,D3.js,,https://observablehq.com/@palewire/california-coronavirus-reopening-heatmap
Heatmap,7,D3.js,,https://observablehq.com/@eliaslevy/d3-heatmap
Heatmap,8,D3.js,,https://observablehq.com/@marialuisacp/heatmap
Heatmap,9,,https://datavizcatalogue.com/,https://datavizcatalogue.com/methods/heatmap.html
Heatmap,10,NIVO,,https://nivo.rocks/heatmap/
Heatmap,11,ApexCharts,,https://apexcharts.com/javascript-chart-demos/heatmap-charts/color-range/
Heatmap,12,ApexCharts,,https://apexcharts.com/javascript-chart-demos/heatmap-charts/basic/
Heatmap,13,R,,https://bookdown.org/max/FES/
Kagi Chart,1,D3.js,https://arpitnarechania.github.io/,https://arpitnarechania.github.io/d3-kagi/
Kagi Chart,2,,https://datavizcatalogue.com/,https://datavizcatalogue.com/methods/kagi_chart.html
Kagi Chart,3,Diagrammm,,https://diagrammm.com/kagi_chart
Kagi Chart,4,Diagrammm,,https://diagrammm.com/kagi_chart
Kagi Chart,5,,https://datavizcatalogue.com/,https://datavizcatalogue.com/methods/kagi_chart.html
Kagi Chart,6,D3.js,,https://arpitnarechania.github.io/d3-kagi/
Kagi Chart,7,D3.js,,https://arpitnarechania.github.io/d3-kagi/
Kagi Chart,8,D3.js,,https://arpitnarechania.github.io/d3-kagi/
Kagi Chart,9,D3.js,,https://arpitnarechania.github.io/d3-kagi/
Kagi Chart,10,D3.js,,https://arpitnarechania.github.io/d3-kagi/
Line Graph,1,D3.js,https://gist.github.com/,https://bl.ocks.org/mbostock/3883245
Line Graph,2,Datawrapper,,https://www.datawrapper.de/_/hBToO/
Line Graph,3,Datawrapper,,https://www.datawrapper.de/_/SD6eX/
Line Graph,4,Datawrapper,,https://www.datawrapper.de/_/Wa2Ci/
Line Graph,5,Datylon,,https://insights.datylon.com/stories/utSCFQQ8mh-RzpGVG4pKSQ
Line Graph,6,Flourish,,https://public.flourish.studio/story/959/
Line Graph,7,Plotly,,https://plotly.com/javascript/line-charts/
Line Graph,8,Quadrigram,,https://www.quadrigram.com/hosting/yacintha_aakster/fertility_vs_gdp/#p/Page1
Line Graph,9,Vega,,https://vega.github.io/vega/examples/line-chart/
Line Graph,10,Mascot.js,,https://mascot-vis.github.io/gallery.html#MultiLineGraph2
Line Graph,11,,https://www.spotfire.com/,https://www.tibco.com/reference-center/what-is-a-line-chart
Line Graph,12,ApexCharts,,https://apexcharts.com/docs/chart-types/line-chart/
Line Graph,13,ApexCharts,,https://apexcharts.com/javascript-chart-demos/line-charts/basic/
Line Graph,14,DataGraph,community.visualdatatools.com,https://community.visualdatatools.com/datagraph/knowledge-base/line-graph/
Line Graph,15,Diagrammm,,https://diagrammm.com/basic_line
Line Graph,16,Diagrammm,,https://diagrammm.com/basic_line
Line Graph,17,HighCharts,,https://www.highcharts.com/demo/line-ajax
Line Graph,18,HighCharts,,https://www.highcharts.com/demo/line-basic
Line Graph,19,R,bookdown.org,https://bookdown.org/max/FES/
Line Graph,20,R,bookdown.org,https://bookdown.org/max/FES/
Line Graph,21,R,bookdown.org,https://bookdown.org/max/FES/
Marimekko Chart,1,FusionCharts,,http://jsfiddle.net/fusioncharts/bdmTg/?utm_source=visualisingdata&utm_medium=website
Marimekko Chart,2,PlotDB,,https://plotdb.com/chart/1118/
Marimekko Chart,3,AnyChart,,https://docs.anychart.com/Basic_Charts/Marimekko_Chart/Mekko_Chart
Marimekko Chart,4,FusionCharts,,https://www.fusioncharts.com/resources/chart-primers/marimekko-chart
Marimekko Chart,5,FusionCharts,,https://www.fusioncharts.com/charts/marimekko-charts/market-share-as-percent?framework=javascript
Marimekko Chart,6,Mascot.js,,https://mascot-vis.github.io/gallery.html#MosaicPlot
Marimekko Chart,7,Vega Lite,,https://vega.github.io/vega-lite/examples/rect_mosaic_labelled_with_offset.html
Marimekko Chart,8,Plotly,,https://linking.plotly-r.com/bars-histograms
Marimekko Chart,9,D3.js,,https://bl.ocks.org/mbostock/1005090
Marimekko Chart,10,R,http://freerangestats.info/,http://freerangestats.info/blog/2016/09/18/nzes1
Marimekko Chart,11,Diagrammm,,https://www.diagrammm.com/marimekko_chart
Marimekko Chart,12,,www.spotfire.com,https://www.spotfire.com/glossary/what-is-a-marimekko-chart
Marimekko Chart,13,R,,https://bookdown.org/max/FES/visualizations-for-categorical-data-exploring-the-okcupid-data.html
Matrix Diagram,1,D3.js,,https://observablehq.com/@bstaats/matrix-diagram
Matrix Diagram,2,Datylon,,https://insights.datylon.com/stories/kTQJkb9CukJtArIDROJO1w
Matrix Diagram,3,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Risk_Analysis_Chart.svg
Matrix Diagram,4,R,,https://bookdown.org/max/FES/stroke-preprocessing.html
Matrix Diagram,5,D3.js,,https://observablehq.com/d/9dc0f30b60feeca0
Matrix Diagram,6,D3.js,,https://observablehq.com/@burrussmp/designing-a-customizable-confusion-matrix-in-d3
Matrix Diagram,7,D3.js,,https://observablehq.com/@arcayle/a-customizable-interactive-confusion-matrix
Matrix Diagram,8,Datylon,,https://www.datylon.com/blog/types-of-charts-graphs-examples-data-visualization#matrix-chart
Matrix Diagram,9,Creately,,https://creately.com/diagram/example/ReutHhh4gus/confrontation-matrix-template
Matrix Diagram,10,Plotly,pidnotebooks.org,https://pidnotebooks.org/pages/pidgraph-notebooks-python/user-story-3-impacts-of-organization/
Parallel Coordinates Plot,1,Mascot.js,,https://mascot-vis.github.io/gallery.html#ParallelCoordinates
Parallel Coordinates Plot,2,,datavizcatalogue.com,https://datavizcatalogue.com/methods/parallel_coordinates.html
Parallel Coordinates Plot,3,Datylon,,https://www.datylon.com/blog/types-of-charts-graphs-examples-data-visualization
Parallel Coordinates Plot,4,Data Illustrator,,https://data-illustrator.cs.umd.edu/app/index.html?project=cars_parallel_coordinates
Parallel Coordinates Plot,5,HighCharts,,https://www.highcharts.com/demo/parallel-coordinates
Parallel Coordinates Plot,6,,datavizcatalogue.com,https://datavizcatalogue.com/methods/parallel_coordinates.html
Parallel Coordinates Plot,7,Jaspersoft,www.jaspersoft.com,https://www.jaspersoft.com/articles/what-is-a-parallel-coordinate-plot
Parallel Coordinates Plot,8,Matplotlib,alandefreitas.github.io,https://alandefreitas.github.io/matplotplusplus/plot-types/data-distribution/parallel-coordinates/
Parallel Coordinates Plot,9,Rawgraphs,blog.jpl.design,https://blog.jpl.design/info-design/raw/3.svg
Parallel Coordinates Plot,10,,ourworldindata.org,https://ourworldindata.org/grapher/total-fertility-rate-slope-chart
Pie Chart,1,Datylon,,https://www.datylon.com/product/chart-library/pie-chart
Pie Chart,2,Vega Lite,,https://vega.github.io/editor/#/examples/vega-lite/arc_pie
Pie Chart,3,D3.js,,https://observablehq.com/@dagonar/pie-chart
Pie Chart,4,Mascot.js,,https://mascot-vis.github.io/gallery.html#PieChart
Pie Chart,5,Datylon,,https://insights.datylon.com/stories/s4b8jB8WtRRDNbwylQxJTw
Pie Chart,6,Vega Lite,,https://vega.github.io/vega-lite/examples/layer_arc_label.html
Pie Chart,7,,www.houseofmath.com,https://www.houseofmath.com/encyclopedia/statistics-and-probability/statistics/charts/what-does-pie-chart-mean
Pie Chart,8,Plotly,https://dash.gallery/,https://dash.gallery/dashr-svm/
Pie Chart,9,ApexCharts,,https://apexcharts.com/javascript-chart-demos/pie-charts/monochrome-pie/
Pie Chart,10,ApexCharts,,https://apexcharts.com/javascript-chart-demos/pie-charts/simple-pie-chart/
Pie Chart,11,D3.js,,https://observablehq.com/d/f1afba96577cc72f
Pie Chart,12,D3.js,,https://observablehq.com/@jasper/pie-chart-starter
Pie Chart,13,Diagrammm,,https://diagrammm.com/pie_chart
Pie Chart,14,HighCharts,,https://www.highcharts.com/demo/highcharts/accessible-pie
Polar Area Chart,1,Visual Paradigm,,https://online.visual-paradigm.com/community/share/100-stacked-rose-chart-art-m74ckhugo
