original_ranking,school,POLS16,H-Index POLS16,POLS 2,H-Index POLS2,NON-PEER-PUBS,H-Index NON-PEER-PUBS,All IR,H-Index All IR,IREx16,H-Index IREx16,POLS+IR16,H-Index POLS +IR16,TRIP Pubs,TRIP Cites,TRIP h-index,TRIP Cite N,Books,Books N,Cong Test,ProQ,ProQN,CFRIAF,APSACF
11,CHICAGO,78.81818182,2.818181818,35.72727273,0.636363636,12.58333333,0.5,228.5,3.583333333,219.8333333,3.333333333,11.66666667,0.5,5.666666667,214.5,3.416666667,7.8123631,3.153833333,0.143090726,0.416666667,90.58333333,0.04741364,0,0
12,WASHINGTON ST L,245,7.5,50.5,1.5,0,0,253,5.5,181,2.5,64.5,3,7,239.5,5,17.56593407,7.059,0.517,0.5,4.5,0.002232143,0,0
13,DUKE,403.6153846,7.615384615,86.92307692,1.846153846,0,0,304.6153846,5.461538462,150.9230769,2.846153846,162.2307692,3.692307692,9.538461538,370.6923077,6.307692308,21.10688354,12.17923077,0.536153846,0,20.46153846,0.797774014,4,0
14,NORTH CAROLINA CH,275.0833333,6.666666667,36.5,1.166666667,0,0,128.8333333,3.75,86.58333333,1.916666667,44,2.5,4.416666667,145.5833333,3.666666667,5.937384837,8.537583333,0.27725,0.166666667,3.833333333,0.188119249,1,0
15,UC DAVIS,481.625,7.75,247.875,2.75,0,0,253.875,5.375,60,2.75,196,4,9.5,463,6.625,12.47022024,10.318875,0.2865,0,3.25,0.001612103,0,0
16,ROCHESTER,173,4,72.57142857,1.714285714,0,0,115.7142857,2.285714286,38.71428571,1.142857143,75.57142857,1.571428571,4.571428571,163.1428571,3.285714286,10.80638864,4.215714286,0.205142857,0,1.428571429,0.1545105,0,0
17,PENN STATE,253.4166667,6.833333333,83.08333333,2.583333333,0,0,219.0833333,5.166666667,124.25,3.5,99.16666667,2.583333333,6.333333333,173.5,4.75,11.25432407,3.758083333,0.278,0,1.166666667,0.073975045,0,0
18,RICE,289.8571429,5.857142857,68.42857143,1.714285714,0,0,246,5.428571429,65.14285714,3,174,3.714285714,4.714285714,148.2857143,3.142857143,6.419382873,0.630285714,0.020331797,0,25.28571429,0.665735768,0,0
19,WISCONSIN MAD,100.3333333,3.555555556,48.44444444,1.111111111,0,0,254.7777778,4,227.7777778,3.111111111,28.77777778,1.444444444,5.111111111,276.6666667,4.222222222,14.97308716,8.517555556,0.634606532,0,6.777777778,0.597808782,0,0
20,TEXAS A&M,172.875,5.125,34.375,1.375,0,0,192.875,4.75,62.625,2,126.75,3.5,5.375,187.625,4.25,11.09994086,1.1275,0.133958333,0,0,0,0,0
21,WASHINGTON,217.7272727,4.727272727,54.18181818,0.909090909,0,0,134.6363636,3.545454545,40.27272727,2,103.8181818,3.181818182,4.727272727,90.27272727,3.272727273,4.575783126,7.798727273,0.208392899,0.181818182,2.636363636,0.060678875,1,0
22,UCLA,98.15384615,3.153846154,24.38461538,0.615384615,6.846153846,0.384615385,95.30769231,2.076923077,99.38461538,2.153846154,20.46153846,1.307692308,4.384615385,138.6923077,3.25,5.08800425,8.846538462,0.22068873,0.769230769,6.076923077,0.175086673,1,0
23,ILLINOIS,238.875,6.25,61.375,1.375,0,0,255,6.375,108.375,4.25,151.25,4.125,9.125,268.375,6.5,11.55404127,5.576125,0.199882193,0,0.875,0.025703463,1,0
24,NORTHWESTERN,286.625,4.25,192.625,1.25,0,0,85.875,2.375,63.375,1.75,27.25,1.375,3.5,278.625,3.375,8.659022732,10.44125,0.409907258,0.125,16.375,0.523837722,0,0
25,GEORGE WASHINGTON,89.3,3,8.25,0.45,7.7,0.7,290.7,4.55,251,3.6,43.15,1.9,6.9,281.05,4.25,12.10452843,8.5394,0.38885,1.35,67.9,2.732354528,4,0
26,EMORY,307.375,6.875,135.75,2.875,0,0,209.75,4.5,85.5,2,124.25,3,3,292.2857143,5.428571429,11.9311413,3.87275,0.17,0,2.25,0.102355073,0,0
27,OHIO STATE,258.6923077,5.538461538,157.9230769,2.307692308,0,0,302.2307692,4.153846154,264.4615385,2.769230769,51.92307692,1.923076923,6.384615385,443.7692308,5.384615385,18.15515286,5.641076923,0.277153846,0.076923077,7.461538462,0.321212382,1,0
28,FLORIDA STATE,51.4,2.4,11.2,0.4,0,0,67,2.8,33,2,35,1.2,3,62.2,2.2,4.413333333,1.9608,0.1406,0,0.2,0.013333333,0,0
29,INDIANA,217.6,6.6,49.1,1.6,1.6,0.3,163.1,5.1,46.6,2.4,120.4,3.9,10.5,187.6,5.3,4.848545621,11.7257,0.3591,0.3,6.2,0.233663906,0,0
30,MINNESOTA,124.5,4.4,40.7,1.2,0.3,0.1,318,3.5,276.2,2.1,42.9,1.7,6,352.2,4.5,13.81217007,4.5001,0.200494326,0,3.9,0.218835646,1,0
31,MARYLAND,295.875,5.3125,114,1.8125,4.8125,0.125,204.625,3.75,0,0,31.53333333,0.4,6.3125,329.5625,4.75,13.07155296,3.982875,0.253763908,0.625,37.0625,1.224570621,2,0
32,BINGHAMTON,124.8571429,4.428571429,42.14285714,1.714285714,1,0.5,64,3.428571429,79.57142857,3.857142857,12.42857143,1.285714286,7,67,3,0.286242679,1.106571429,0.03672199,0.714285714,1.571428571,0.030706582,0,0
33,MICHIGAN STATE,63.75,3.125,31.25,1.25,0.25,0.125,34.5,2.25,18,1.25,19.375,1.5,4.625,55.75,2.875,4.282420643,3.590625,0.12575,1.25,5.875,0.178087293,0,0
34,STONY BROOK,1137,10,780,3,0,0,0,0,0,0,0,0,3,781,3,30.03846154,12.647,0.486,0,10,0.384615385,0,0
35,CORNELL,56.33333333,2.444444444,3.666666667,0.333333333,0.777777778,0.111111111,82.33333333,2.555555556,56.88888889,1.666666667,25.44444444,1.333333333,2.888888889,68.44444444,2.111111111,3.032734987,5.893333333,0.309222222,0.333333333,0,0,1,0
36,PENN,252.9,5.8,139,1.7,11.8,0.3,300.9,4.9,255.2,3.3,52.3,2.3,7.8,426.9,5.4,17.46160714,6.843,0.404255,0.4,6,0.264852034,2,0
37,PITTSBURGH,87.4,2.7,18.1,0.9,0,0,76.2,2.3,29.2,1,47.2,1.1,3,81.1,2.3,5.346372843,2.6078,0.1762,0,0.9,0.035724534,0,0
38,VANDERBILT,138,3.333333333,49,0.666666667,0,0,112.3333333,3.333333333,104.3333333,2.333333333,9,1.333333333,167.6666667,137,3.333333333,0.294444444,2.974,0.275611111,0,2.333333333,0.233333333,0,0
39,UC RIVERSIDE,13,1.5,0,0,0,0,2,0.5,2,0.5,2.5,2,0.5,0.5,0,0.5,0,0,0,0,0,0,0
40,TEXAS AUSTIN,98.66666667,3.555555556,52.77777778,1.555555556,0.111111111,0.111111111,62.33333333,3.111111111,18.88888889,0.777777778,40.55555556,2.555555556,96.22222222,87.66666667,3.333333333,0.298525131,3.965111111,0.350816224,0,0.333333333,0.022446689,0,0
41,COLORADO,205,8,35,2,0,0,188.25,7,72.5,3.75,131,5,195.75,170.5,6.5,0.375,7.32825,0.303704167,0,2,0.13125,0,0
42,IOWA,167,4.8,55.8,1.4,0,0,167.6,4.8,67.4,2.8,118.2,3.2,187.2,151,4.2,0.291027569,0.8824,0.042019048,0,0.6,0.032380952,0,0
43,ARIZONA,121.4,3.5,76.2,1.6,0,0,95.3,3,59.6,1.6,40.4,1.5,108.5,89.2,2.5,0.221297447,0.7058,0.031508835,0,2.4,0.211398424,0,0
44,BROWN,141.8571429,4.714285714,19.57142857,0.571428571,4.714285714,0.571428571,70,3.428571429,39.71428571,2.571428571,34.42857143,1.857142857,69.85714286,63.14285714,3.142857143,0.409467787,7.493142857,0.575167955,0.428571429,8.428571429,0.591876751,0,0
45,UC IRVINE,24,2,0,0,0,0,18.42857143,1.428571429,12,0.857142857,21.14285714,1.714285714,5,17.85714286,1.571428571,0.081585367,7.086714286,0.499993487,0.857142857,1.714285714,0.082370981,1,0
46,NOTRE DAME,109.6,3.125,36.3125,0.5,0,0,95.1875,3.4375,40.6875,2.375,69.5625,2.0625,109.25,103.0625,3.1875,4.990290179,3.945045918,0.209027837,0.125,5.875,0.286669147,1,0
47,VIRGINIA,70.7,2.8,27.7,0.5,0,0,74.3,3.9,57.9,2.6,21.9,1.6,116.6,94.9,4.1,0.297939339,4.9216,0.291760989,0.2,6.3,0.393306392,1,0
48,UC SANTA BARBARA,33,3.333333333,0.666666667,0.333333333,1,0.333333333,49.66666667,4,18.33333333,1.666666667,44,3.666666667,19,49.33333333,4,2.766666667,15.78433333,0.689825472,1.666666667,1.666666667,0.031446541,3,0
49,GEORGETOWN,136.9130435,3.869565217,30.34782609,0.695652174,13.47826087,1.571428571,135.0434783,4.173913043,106.1304348,3.173913043,119.2173913,4.043478261,47.17391304,132.7391304,4.260869565,7.822240608,9.987304348,0.490342741,1.652173913,35,1.624900377,5,0
50,OREGON,36.8,1.2,0,0,0,0,42.4,1.6,31.6,1.4,45.6,1.8,1.4,42,1.4,1.842908903,3.4704,0.185877122,0,0.2,0.008333333,0,0
51,JOHNS HOPKINS,46.22222222,2.222222222,1.888888889,0.222222222,4.222222222,0.333333333,54,2,53.11111111,1.555555556,7.111111111,0.777777778,56.66666667,55.88888889,2.111111111,2.184743739,4.553555556,0.188298568,0.111111111,1.777777778,0.091279977,0,0
52,SYRACUSE,74.09090909,2.818181818,11.45454545,0.545454546,2,0.090909091,73.81818182,2.727272727,40.81818182,1.454545455,35.09090909,1.363636364,42.63636364,86.09090909,2.636363636,3.061098073,4.545454545,0.271621583,0.181818182,2.181818182,0.069934343,0,0
