charting tool,num_rows,main_chart_marks_precision_min,main_chart_marks_precision_max,main_chart_marks_precision_median,main_chart_marks_precision_mean,main_chart_marks_precision_iqr,main_chart_marks_recall_min,main_chart_marks_recall_max,main_chart_marks_recall_median,main_chart_marks_recall_mean,main_chart_marks_recall_iqr,main_chart_marks_f1_min,main_chart_marks_f1_max,main_chart_marks_f1_median,main_chart_marks_f1_mean,main_chart_marks_f1_iqr,axis_labels_precision_min,axis_labels_precision_max,axis_labels_precision_median,axis_labels_precision_mean,axis_labels_precision_iqr,axis_labels_recall_min,axis_labels_recall_max,axis_labels_recall_median,axis_labels_recall_mean,axis_labels_recall_iqr,axis_labels_f1_min,axis_labels_f1_max,axis_labels_f1_median,axis_labels_f1_mean,axis_labels_f1_iqr,axis_titles_precision_min,axis_titles_precision_max,axis_titles_precision_median,axis_titles_precision_mean,axis_titles_precision_iqr,axis_titles_recall_min,axis_titles_recall_max,axis_titles_recall_median,axis_titles_recall_mean,axis_titles_recall_iqr,axis_titles_f1_min,axis_titles_f1_max,axis_titles_f1_median,axis_titles_f1_mean,axis_titles_f1_iqr,legend_labels_precision_min,legend_labels_precision_max,legend_labels_precision_median,legend_labels_precision_mean,legend_labels_precision_iqr,legend_labels_recall_min,legend_labels_recall_max,legend_labels_recall_median,legend_labels_recall_mean,legend_labels_recall_iqr,legend_labels_f1_min,legend_labels_f1_max,legend_labels_f1_median,legend_labels_f1_mean,legend_labels_f1_iqr,legend_marks_precision_min,legend_marks_precision_max,legend_marks_precision_median,legend_marks_precision_mean,legend_marks_precision_iqr,legend_marks_recall_min,legend_marks_recall_max,legend_marks_recall_median,legend_marks_recall_mean,legend_marks_recall_iqr,legend_marks_f1_min,legend_marks_f1_max,legend_marks_f1_median,legend_marks_f1_mean,legend_marks_f1_iqr,legend_titles_precision_min,legend_titles_precision_max,legend_titles_precision_median,legend_titles_precision_mean,legend_titles_precision_iqr,legend_titles_recall_min,legend_titles_recall_max,legend_titles_recall_median,legend_titles_recall_mean,legend_titles_recall_iqr,legend_titles_f1_min,legend_titles_f1_max,legend_titles_f1_median,legend_titles_f1_mean,legend_titles_f1_iqr,overall_f1_min,overall_f1_max,overall_f1_median,overall_f1_mean,overall_f1_iqr
Creately,2,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5714285714285714,1.0,0.7857142857142857,0.7857142857142857,0.2142857142857142,0.7272727272727273,1.0,0.8636363636363636,0.8636363636363636,0.13636363636363646,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6212121212121212,0.8333333333333334,0.7272727272727273,0.7272727272727273,0.10606060606060597
D3.js,84,0.0,1.0,1.0,0.855469067969068,0.0,0.0,1.0,1.0,0.7552466614531578,0.5416666666666667,0.0,1.0,1.0,0.7687387586520698,0.5,0.0,1.0,1.0,0.8604106036142782,0.0024038461538461453,0.0,1.0,1.0,0.8207996791287927,0.0040322580645161255,0.0,1.0,1.0,0.8125505474910595,0.2279968140183194,0.0,1.0,1.0,0.8452380952380952,0.0,0.0,1.0,1.0,0.8452380952380952,0.0,0.0,1.0,1.0,0.8452380952380952,0.0,0.0,1.0,1.0,0.8690476190476191,0.0,0.0,1.0,1.0,0.8573517126148705,0.0,0.0,1.0,1.0,0.857553366174056,0.0,0.0,1.0,1.0,0.9077380952380952,0.0,0.0,1.0,1.0,0.9107142857142857,0.0,0.0,1.0,1.0,0.9087301587301587,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0592592592592592,1.0,0.9472628726287262,0.8535637258094779,0.17679738562091496
Data Illustrator,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
DataGraph,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
DataWrapper,5,0.3333333333333333,1.0,1.0,0.8666666666666668,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.9,0.0,0.875,1.0,1.0,0.975,0.0,0.875,1.0,1.0,0.975,0.0,0.875,1.0,1.0,0.975,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8125,1.0,0.9166666666666666,0.9125,0.16666666666666663
Datylon,17,0.0,1.0,1.0,0.9411764705882353,0.0,0.0,1.0,1.0,0.8213935574229692,0.16666666666666663,0.0,1.0,1.0,0.8449276042155299,0.09090909090909083,0.0,1.0,1.0,0.9058229352347,0.0,0.0,1.0,1.0,0.8594771241830065,0.0,0.0,1.0,1.0,0.8603246753246754,0.09090909090909083,0.0,1.0,1.0,0.9411764705882353,0.0,0.0,1.0,1.0,0.9411764705882353,0.0,0.0,1.0,1.0,0.9411764705882353,0.0,0.0,1.0,1.0,0.6470588235294118,1.0,0.0,1.0,1.0,0.6470588235294118,1.0,0.0,1.0,1.0,0.6470588235294118,1.0,0.0,1.0,1.0,0.8823529411764706,0.0,0.0,1.0,1.0,0.8568257491675916,0.0,0.0,1.0,1.0,0.8660524450744154,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0.9266666666666667,0.859923336455378,0.16190476190476188
Diagrammm,13,0.7857142857142857,1.0,1.0,0.9504013716779676,0.06382978723404242,0.25,1.0,1.0,0.8983516483516484,0.0,0.4,1.0,1.0,0.8957702126932896,0.11111111111111105,0.7692307692307693,1.0,1.0,0.9822485207100592,0.0,0.7727272727272727,1.0,1.0,0.9825174825174826,0.0,0.8695652173913044,1.0,1.0,0.9801046222450905,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.0,1.0,1.0,0.9145299145299146,0.0,0.0,1.0,1.0,0.9185520361990951,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.6611721611721612,1.0,0.9786324786324788,0.9144557605741945,0.09999999999999998
ElmPackage,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
Evidence,5,0.1,1.0,1.0,0.82,0.0,1.0,1.0,1.0,1.0,0.0,0.1818181818181818,1.0,1.0,0.8363636363636363,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.6204081632653061,0.8979591836734694,0.0,1.0,1.0,0.6370370370370371,0.8148148148148148,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6969696969696969,1.0,0.8333333333333334,0.8455667789001122,0.030864197530864113
FlexChart,20,0.5,1.0,1.0,0.975,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.9833333333333334,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.975,0.0,0.6666666666666666,1.0,1.0,0.9833333333333332,0.0,0.0,1.0,1.0,0.95,0.0,0.0,1.0,1.0,0.95,0.0,0.0,1.0,1.0,0.95,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.625,1.0,0.0,1.0,1.0,0.65,1.0,0.0,1.0,1.0,0.6333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.925,0.16666666666666663
Flourish,3,0.0,1.0,0.0,0.3333333333333333,0.5,0.0,1.0,0.0,0.3333333333333333,0.5,0.0,1.0,0.0,0.3333333333333333,0.5,0.9090909090909092,1.0,0.9473684210526316,0.952153110047847,0.045454545454545414,0.5882352941176471,1.0,0.6666666666666666,0.7516339869281046,0.2058823529411764,0.7142857142857143,0.972972972972973,0.8,0.8290862290862292,0.12934362934362942,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.5,0.0,1.0,0.0,0.3333333333333333,0.5,0.0,1.0,0.0,0.3333333333333333,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4954954954954955,0.9666666666666668,0.6190476190476191,0.6937365937365939,0.23558558558558562
FusionCharts,11,0.8620689655172413,1.0,1.0,0.987460815047022,0.0,0.3407821229050279,1.0,1.0,0.9400711020822752,0.0,0.5083333333333333,1.0,1.0,0.9485690235690235,0.0,0.8125,1.0,1.0,0.9829545454545454,0.0,0.4615384615384615,1.0,1.0,0.951048951048951,0.0,0.631578947368421,1.0,1.0,0.9571027883187593,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.7719298245614036,1.0,1.0,0.9539756050116002,0.047145061728395055
GoogleChart,10,0.0,1.0,1.0,0.9,0.0,0.0,1.0,1.0,0.8857142857142858,0.0,0.0,1.0,1.0,0.8923076923076924,0.0,0.0,1.0,1.0,0.876923076923077,0.0,0.0,1.0,1.0,0.8309090909090908,0.06818181818181812,0.0,1.0,1.0,0.8404761904761905,0.125,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.9,0.0,0.0,1.0,1.0,0.9,0.0,0.0,1.0,1.0,0.9,0.0,0.0,1.0,0.8333333333333333,0.5666666666666667,1.0,0.0,1.0,0.8333333333333333,0.5666666666666667,1.0,0.0,1.0,0.8333333333333333,0.5666666666666667,1.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.3055555555555555,1.0,0.8333333333333334,0.7999084249084248,0.27701465201465203
HighCharts,24,0.0,1.0,1.0,0.8909073380996131,0.04217954787548828,0.0,1.0,1.0,0.868640350877193,0.0,0.0,1.0,1.0,0.872289228360953,0.04335130278526489,0.0,1.0,1.0,0.8756598793363498,0.0,0.0,1.0,1.0,0.8977272727272728,0.0,0.0,1.0,1.0,0.8851311147945089,0.0,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.6979166666666666,0.8125,0.0,1.0,1.0,0.75,0.25,0.0,1.0,1.0,0.7111111111111111,0.7,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1666666666666666,1.0,0.9808802308802308,0.8419774645999842,0.20520574855252283
JSCharting,5,1.0,1.0,1.0,1.0,0.0,0.1133004926108374,1.0,0.6666666666666666,0.5524846599256763,0.3508771929824561,0.2035398230088495,1.0,0.8,0.65670796460177,0.3200000000000001,0.6666666666666666,1.0,1.0,0.9333333333333332,0.0,0.2592592592592592,1.0,1.0,0.7218518518518519,0.65,0.4117647058823529,1.0,0.8,0.7460566448801743,0.4814814814814815,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.4997530864197531,0.9666666666666668,0.7999999999999999,0.7671274349136574,0.03078257851813282
Jamovi,1,1.0,1.0,1.0,1.0,0.0,0.9781420765027322,0.9781420765027322,0.9781420765027322,0.9781420765027322,0.0,0.988950276243094,0.988950276243094,0.988950276243094,0.988950276243094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6648250460405157,0.6648250460405157,0.6648250460405157,0.6648250460405157,0.0
