charting tool,num_rows,main_chart_marks_precision_min,main_chart_marks_precision_max,main_chart_marks_precision_median,main_chart_marks_precision_mean,main_chart_marks_precision_iqr,main_chart_marks_recall_min,main_chart_marks_recall_max,main_chart_marks_recall_median,main_chart_marks_recall_mean,main_chart_marks_recall_iqr,main_chart_marks_f1_min,main_chart_marks_f1_max,main_chart_marks_f1_median,main_chart_marks_f1_mean,main_chart_marks_f1_iqr,axis_labels_precision_min,axis_labels_precision_max,axis_labels_precision_median,axis_labels_precision_mean,axis_labels_precision_iqr,axis_labels_recall_min,axis_labels_recall_max,axis_labels_recall_median,axis_labels_recall_mean,axis_labels_recall_iqr,axis_labels_f1_min,axis_labels_f1_max,axis_labels_f1_median,axis_labels_f1_mean,axis_labels_f1_iqr,axis_titles_precision_min,axis_titles_precision_max,axis_titles_precision_median,axis_titles_precision_mean,axis_titles_precision_iqr,axis_titles_recall_min,axis_titles_recall_max,axis_titles_recall_median,axis_titles_recall_mean,axis_titles_recall_iqr,axis_titles_f1_min,axis_titles_f1_max,axis_titles_f1_median,axis_titles_f1_mean,axis_titles_f1_iqr,legend_labels_precision_min,legend_labels_precision_max,legend_labels_precision_median,legend_labels_precision_mean,legend_labels_precision_iqr,legend_labels_recall_min,legend_labels_recall_max,legend_labels_recall_median,legend_labels_recall_mean,legend_labels_recall_iqr,legend_labels_f1_min,legend_labels_f1_max,legend_labels_f1_median,legend_labels_f1_mean,legend_labels_f1_iqr,legend_marks_precision_min,legend_marks_precision_max,legend_marks_precision_median,legend_marks_precision_mean,legend_marks_precision_iqr,legend_marks_recall_min,legend_marks_recall_max,legend_marks_recall_median,legend_marks_recall_mean,legend_marks_recall_iqr,legend_marks_f1_min,legend_marks_f1_max,legend_marks_f1_median,legend_marks_f1_mean,legend_marks_f1_iqr,legend_titles_precision_min,legend_titles_precision_max,legend_titles_precision_median,legend_titles_precision_mean,legend_titles_precision_iqr,legend_titles_recall_min,legend_titles_recall_max,legend_titles_recall_median,legend_titles_recall_mean,legend_titles_recall_iqr,legend_titles_f1_min,legend_titles_f1_max,legend_titles_f1_median,legend_titles_f1_mean,legend_titles_f1_iqr,overall_f1_min,overall_f1_max,overall_f1_median,overall_f1_mean,overall_f1_iqr
Creately,2,0.5454545454545454,0.75,0.6477272727272727,0.6477272727272727,0.10227272727272729,1.0,1.0,1.0,1.0,0.0,0.7058823529411764,0.8571428571428571,0.7815126050420167,0.7815126050420167,0.0756302521008404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.3636363636363636,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4509803921568627,0.5974025974025974,0.52419149477973,0.52419149477973,0.0732111026228674
D3.js,84,0.0,1.0,1.0,0.8896734006831353,0.0,0.0,1.0,1.0,0.8635873161629228,0.0,0.0,1.0,1.0,0.8632288700724432,0.0,0.0,1.0,1.0,0.802970266725997,0.0024038461538461453,0.0,1.0,1.0,0.7797388698109996,0.40458937198067635,0.0,1.0,1.0,0.7698620778640235,0.3582342954159593,0.0,1.0,1.0,0.8571428571428571,0.0,0.0,1.0,1.0,0.8690476190476191,0.0,0.0,1.0,1.0,0.861111111111111,0.0,0.0,1.0,1.0,0.8928571428571429,0.0,0.0,1.0,1.0,0.8811612364243944,0.0,0.0,1.0,1.0,0.8813628899835797,0.0,0.0,1.0,1.0,0.9167615253272624,0.0,0.0,1.0,1.0,0.9285714285714286,0.0,0.0,1.0,1.0,0.9168548842461887,0.0,0.0,1.0,1.0,0.8214285714285714,0.0,0.0,1.0,1.0,0.8214285714285714,0.0,0.0,1.0,1.0,0.8214285714285714,0.0,0.1666666666666666,1.0,0.8653846153846154,0.8523080674509861,0.1741176470588235
Data Illustrator,2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
DataGraph,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
DataWrapper,5,0.3333333333333333,1.0,1.0,0.7333333333333334,0.6666666666666667,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.8,0.5,0.875,1.0,1.0,0.975,0.0,0.875,1.0,1.0,0.975,0.0,0.875,1.0,1.0,0.975,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.9166666666666666,0.8625,0.27083333333333337
Datylon,17,0.875,1.0,1.0,0.9926470588235294,0.0,0.1875,1.0,1.0,0.9306372549019608,0.0,0.3157894736842105,1.0,1.0,0.9439472120586672,0.0,0.0,1.0,1.0,0.8890162125456244,0.0,0.0,1.0,1.0,0.8954248366013071,0.0,0.0,1.0,1.0,0.8779799612152553,0.02857142857142858,0.0,1.0,1.0,0.9411764705882353,0.0,0.0,1.0,1.0,0.9411764705882353,0.0,0.0,1.0,1.0,0.9411764705882353,0.0,0.0,1.0,1.0,0.6470588235294118,1.0,0.0,1.0,1.0,0.6470588235294118,1.0,0.0,1.0,1.0,0.6470588235294118,1.0,0.0,1.0,1.0,0.8235294117647058,0.0,0.0,1.0,1.0,0.8235294117647058,0.0,0.0,1.0,1.0,0.8235294117647058,0.0,0.0,1.0,1.0,0.7647058823529411,0.0,0.0,1.0,1.0,0.7647058823529411,0.0,0.0,1.0,1.0,0.7647058823529411,0.0,0.3859649122807018,1.0,0.8333333333333334,0.8330662935848695,0.23999999999999988
Diagrammm,13,0.5,1.0,1.0,0.9401449614215573,0.0,0.75,1.0,1.0,0.9807692307692307,0.0,0.6666666666666666,1.0,1.0,0.9516032685263455,0.03296703296703296,0.0,1.0,1.0,0.8461538461538461,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,0.0,1.0,1.0,0.8974358974358974,0.0,0.0,1.0,1.0,0.9230769230769231,0.0,0.0,1.0,1.0,0.9076923076923078,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,0.0,1.0,1.0,0.7948717948717948,0.0,0.0,1.0,1.0,0.8076923076923077,0.0,0.0,1.0,1.0,0.6923076923076923,1.0,0.0,1.0,1.0,0.6923076923076923,1.0,0.0,1.0,1.0,0.6923076923076923,1.0,0.0,1.0,1.0,0.6923076923076923,1.0,0.0,1.0,1.0,0.6923076923076923,1.0,0.0,1.0,1.0,0.6923076923076923,1.0,0.5,1.0,0.8333333333333334,0.8162928524466987,0.33882783882783885
ElmPackage,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
Evidence,5,0.0212765957446808,1.0,1.0,0.8042553191489361,0.0,1.0,1.0,1.0,1.0,0.0,0.0416666666666666,1.0,1.0,0.8083333333333332,0.0,1.0,1.0,1.0,1.0,0.0,0.1020408163265306,1.0,1.0,0.8204081632653061,0.0,0.1851851851851852,1.0,1.0,0.837037037037037,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,0.8402777777777778,0.8742283950617284,0.030864197530864113
FlexChart,20,0.5,1.0,1.0,0.9743055555555555,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.9829836829836829,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.975,0.0,0.6666666666666666,1.0,1.0,0.9833333333333334,0.0,0.0,1.0,1.0,0.9,0.0,0.0,1.0,1.0,0.9,0.0,0.0,1.0,1.0,0.9,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.65,1.0,0.0,1.0,1.0,0.6166666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.9722222222222222,0.9138306138306138,0.16666666666666663
Flourish,3,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.9473684210526316,1.0,1.0,0.9824561403508772,0.02631578947368418,1.0,1.0,1.0,1.0,0.0,0.972972972972973,1.0,1.0,0.990990990990991,0.013513513513513487,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,0.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4954954954954955,1.0,1.0,0.8318318318318317,0.25225225225225223
FusionCharts,11,0.0625,1.0,1.0,0.9022335423197493,0.0,0.3407821229050279,1.0,1.0,0.9400711020822752,0.0,0.1176470588235294,1.0,1.0,0.8683551198257081,0.03703703703703698,1.0,1.0,1.0,1.0,0.0,0.4615384615384615,1.0,1.0,0.951048951048951,0.0,0.631578947368421,1.0,1.0,0.9665071770334929,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,0.0,1.0,1.0,0.8181818181818182,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6363636363636364,1.0,0.0,1.0,1.0,0.6363636363636364,1.0,0.0,1.0,1.0,0.6363636363636364,1.0,0.6666666666666666,1.0,0.8529411764705882,0.8815679585674426,0.1728395061728395
GoogleChart,10,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,0.9857142857142858,0.0,0.923076923076923,1.0,1.0,0.9923076923076923,0.0,0.0,1.0,1.0,0.9,0.0,0.0,1.0,1.0,0.8400000000000001,0.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.8,0.0,0.0,1.0,0.0,0.36666666666666664,0.9166666666666666,0.0,1.0,0.0,0.36666666666666664,0.9166666666666666,0.0,1.0,0.0,0.36666666666666664,0.9166666666666666,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.5,0.5,1.0,0.4444444444444444,1.0,0.7142857142857142,0.7193528693528692,0.16666666666666674
HighCharts,24,0.625,1.0,1.0,0.9438850317023068,0.04217954787548828,0.0275862068965517,1.0,1.0,0.911456442831216,0.0,0.0529801324503311,1.0,1.0,0.9060811625229688,0.04615242323344426,0.0,1.0,1.0,0.8964932126696832,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.905058651026393,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.9166666666666666,0.0,0.0,1.0,1.0,0.75,0.5,0.0,1.0,1.0,0.7916666666666666,0.0,0.0,1.0,1.0,0.7638888888888888,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4186046511627907,1.0,0.9799465240641712,0.8875047837397085,0.17390405293631095
JSCharting,5,0.75,1.0,1.0,0.95,0.0,0.6666666666666666,1.0,1.0,0.8939244663382595,0.19704433497536944,0.8,1.0,0.8907103825136612,0.9095706479313037,0.1428571428571429,0.3333333333333333,1.0,1.0,0.8,0.33333333333333337,0.2592592592592592,1.0,1.0,0.7218518518518519,0.65,0.3414634146341463,1.0,0.8,0.7106456241032998,0.5882352941176471,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7,0.5,0.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,0.7333333333333333,0.33333333333333337,0.0,1.0,0.0,0.4,1.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,0.0,0.4,1.0,0.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.2,0.0,0.3902439024390243,0.8095238095238096,0.6615236258437801,0.6589249342279895,0.16666666666666663
